part_name,brand,model,previous_size,refined_group_count,largest_refined_group,smallest_refined_group,singleton_refined_groups
diesel injection pump -,skoda,octavia,29,2,18,11,0
fuel pump electric -,skoda,octavia,29,2,21,8,0
gear distributor box -,skoda,octavia,29,2,23,6,0
parking control unit -,skoda,octavia,29,2,23,6,0
piston / rod -,skoda,octavia,29,2,23,6,0
"other control unit - , e-",vw,golf,28,4,12,5,0
"ignition diesel relay - , e-",vw,golf,28,3,17,5,0
"rear sensor - , e-",vw,golf,28,3,12,6,0
air purifier -,skoda,octavia,28,2,17,11,0
"fuel tank injection - , e-",vw,golf,28,2,23,5,0
"gear lever - , e-",vw,golf,28,2,17,11,0
hand brake lever -,skoda,octavia,28,2,23,5,0
other control unit -,skoda,octavia,28,2,17,11,0
rear gear / diff. -,skoda,octavia,28,2,18,10,0
sump -,skoda,octavia,28,2,17,11,0
airbag front sensor -(right),toyota,corolla,27,2,24,3,0
"cam belt / transmission cap - , e-",vw,golf,27,2,21,6,0
"deliverer - , e-",vw,golf,27,2,17,10,0
"insp.pump diesel control unit - , e-",vw,golf,27,2,18,9,0
rain sensor -,skoda,octavia,27,2,16,11,0
"rear axle beam - , e-",vw,golf,27,2,22,5,0
"inter axle compl. - , e-",vw,golf,26,2,21,5,0
"diesel injection pump - , e-",vw,golf,25,4,10,5,0
brake caliper -(left rear),skoda,octavia,25,2,15,10,0
"fuel distributor - , e-",vw,golf,25,2,20,5,0
other sensor -,skoda,octavia,25,2,15,10,0
parkeringshjälp frontsensor -,skoda,octavia,25,2,19,6,0
gear box bracket -,toyota,corolla,24,4,12,1,1
"actuator loom - , e-",vw,golf,24,3,12,6,0
"gear distributor box - , e-",vw,golf,24,3,12,6,0
"motor bracket - , e-",vw,golf,24,3,12,6,0
alternator bracket / accessories -,skoda,octavia,24,2,12,12,0
automatic gear -,skoda,octavia,24,2,18,6,0
dragkrok styrenhet -,skoda,octavia,24,2,17,7,0
fly wheel automat -,skoda,octavia,24,2,12,12,0
"fuel injection pump - , e-",vw,golf,24,2,18,6,0
"fuel pump electric - , e-",vw,golf,24,2,18,6,0
gear box bracket -,skoda,octavia,24,2,18,6,0
gear box cushion -,skoda,octavia,24,2,12,12,0
gear lever -,skoda,octavia,24,2,18,6,0
"hand brake lever - , e-",vw,golf,24,2,18,6,0
"other airbags - , e-",vw,golf,24,2,18,6,0
"passenger airbag - , e-",vw,golf,24,2,18,6,0
"pulley - , e-(exterior)",vw,golf,24,2,18,6,0
rear axle beam -,skoda,octavia,24,2,13,11,0
steering wheel airbag -,skoda,octavia,24,2,12,12,0
"tank lid - , e-",vw,golf,24,2,18,6,0
"trailing link rear - , e-(left upper)",vw,golf,24,2,18,6,0
airbag front sensor -(right front),toyota,corolla,23,3,11,6,0
"sensor ac inner temperature - , e-",vw,golf,23,3,11,6,0
diesel tank -,skoda,octavia,23,2,17,6,0
"engine casing - , e-",vw,golf,23,2,12,11,0
engine gasoline -,skoda,octavia,23,2,18,5,0
kamera utvändig -,skoda,octavia,23,2,17,6,0
ljusinställning lägesgivare -,skoda,octavia,23,2,17,6,0
"trailing link rear - , e-(right upper)",vw,golf,23,2,17,6,0
rear sensor -,skoda,octavia,21,2,16,5,0
control unit xenon -,toyota,corolla,20,2,19,1,1
strut rear -(left rear),toyota,corolla,19,3,12,1,1
caliper bracket -,toyota,corolla,18,3,7,5,0
"airbag krocksensor - , e-",vw,golf,18,2,12,6,0
battery box / fixing / holder -,skoda,octavia,18,2,12,6,0
fuel tank injection -,toyota,corolla,18,2,12,6,0
fuse box / electricity central -,skoda,octavia,18,2,11,7,0
"ljusinställning lägesgivare - , e-",vw,golf,18,2,12,6,0
actuator loom -(left rear),toyota,corolla,13,2,12,1,1
control unit xenon -,skoda,octavia,12,3,6,1,1
"cylinder head fuel - , e-",vw,golf,12,2,6,6,0
dörr styrenhet -(left front),skoda,octavia,12,2,6,6,0
dörr styrenhet -(right front),skoda,octavia,12,2,6,6,0
gear box bracket -(rear),toyota,corolla,12,2,6,6,0
hub rear -(left rear),skoda,octavia,12,2,6,6,0
"seat assembled - , e-",vw,golf,12,2,6,6,0
"seat assembled - , e-(left front)",vw,golf,12,2,6,6,0
"caliper bracket - , e-",vw,golf,11,2,6,5,0
wiper arm motor relay -,toyota,corolla,11,2,6,5,0
actuator loom -(right rear),toyota,corolla,10,3,7,1,1
hub rear -(right rear),toyota,corolla,8,3,6,1,2
hub rear -(left rear),toyota,corolla,7,3,5,1,2
actuator loom -(right front),toyota,corolla,7,2,6,1,1
airbag front sensor -(left front),toyota,corolla,7,2,6,1,1
rear sensor -(rear),skoda,octavia,7,2,6,1,1
drive shaft-(right front),toyota,corolla,6,4,3,1,3
"drive shaft- , e-(left rear)",vw,golf,6,3,4,1,2
strut rear -(right rear),toyota,corolla,6,3,3,1,1
other sensor-,skoda,octavia,5,2,3,2,0
air purifier-,toyota,corolla,4,4,1,1,4
"trailing link rear- , e-(right)",vw,golf,3,3,1,1,3
caliper bracket -(right front),toyota,corolla,3,2,2,1,1
"inter axle compl.- , e-",vw,golf,3,2,2,1,1
rain sensor-,skoda,octavia,3,2,2,1,1
"rear axle beam- , e-",vw,golf,3,2,2,1,1
starter diesel-,toyota,corolla,3,2,2,1,1
strut rear-(left),toyota,corolla,3,2,2,1,1
airbag control unit-,toyota,corolla,2,2,1,1,2
alternator-,toyota,corolla,2,2,1,1,2
deliverer-,toyota,corolla,2,2,1,1,2
drive shaft-(left front),toyota,corolla,2,2,1,1,2
"fuel tank injection- , e-",vw,golf,2,2,1,1,2
gear lever-,toyota,corolla,2,2,1,1,2
"gear lever- , e-",vw,golf,2,2,1,1,2
hand brake lever-,skoda,octavia,2,2,1,1,2
"ignition diesel relay- , e-",vw,golf,2,2,1,1,2
main cylinder-,toyota,corolla,2,2,1,1,2
other control unit-,skoda,octavia,2,2,1,1,2
passenger airbag-,toyota,corolla,2,2,1,1,2
rear gear / diff.-,skoda,octavia,2,2,1,1,2
sump-,skoda,octavia,2,2,1,1,2
