example_source,product_id,part_name,brand,model,quality_grade,mileage,year_mid,price,predicted_price,base_value,net_shap_effect,reconstruction_error
accurate_low_error,54161048,Fuse box / Electricity central -,toyota,corolla,A2,172000.0,2010.0,94.7,94.76418032106785,371.9567702979555,-277.19259245685555,2.479967932345062e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.2,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.2,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.6,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.36331491147732,371.9567702979555,-324.59345924351567,3.857037512489114e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.8,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.0,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,235.9,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,238.0,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,237.2,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.5,236.80056068029197,371.9567702979555,-135.15621062991647,1.0122529658929125e-06
expensive_high_error,54187634,Gear Box 6 Speed -,toyota,corolla,A2,330000.0,2010.0,592.0,858.4509565656573,371.9567702979555,486.49420128340944,1.5015707617749285e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4617.6,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4601.2,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4599.7,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4641.0,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4626.2,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4612.1,4614.273173086636,371.9567702979555,4242.316446212795,4.3424114664958324e-05
expensive_high_error,62146906,Hybrid Inverter -,toyota,corolla,A2,83000.0,2023.0,473.6,672.7267083333338,371.9567702979555,300.7699261352923,1.1900086064997595e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4369.0,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4353.5,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4352.0,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4391.1,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4377.1,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4363.8,4368.661387288407,371.9567702979555,3996.7046340518814,1.7061429389286786e-05
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,592.0,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,589.9,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,589.7,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,595.0,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,593.1,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,592.8,592.1580879779939,371.9567702979555,220.20132211326185,4.433223466548952e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,592.0,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,589.9,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,589.7,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,595.0,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,593.1,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_underprediction,60058879,Main cylinder -,toyota,corolla,A2,119000.0,2023.0,592.8,592.1373393550889,371.9567702979555,220.18057313865444,4.081520955878659e-06
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3543.1,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3530.6,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3529.3,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3561.1,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3549.7,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,59673805,Engine Diesel -,skoda,octavia,A2,201000.0,2016.5,3538.9,3542.4439563401884,371.9567702979555,3170.487246015852,5.997361949994229e-05
largest_overprediction,64533287,Gear Box 6 Speed -(Front),toyota,corolla,A2,,2010.0,899.8,1072.3333591269788,371.9567702979555,700.3765962121115,7.383088131973636e-06
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4144.0,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4129.3,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4127.9,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4165.0,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4151.7,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
largest_overprediction,59824465,Engine Gasoline -,skoda,octavia,A2,86000.0,2016.5,4139.1,4142.630710052448,371.9567702979555,3770.6739669430226,2.7188530111743603e-05
cheap_item,54064944,"Ignition Diesel relay- , e-",vw,golf,A2,319000.0,2006.5,5.9,9.279680006105059,371.9567702979555,-362.67709281359123,2.5217408161637422e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.078067460317503,371.9567702979555,-365.87870523232687,2.3946888960679757e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.078067460317503,371.9567702979555,-365.87870523232687,2.3946888960679757e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.078067460317503,371.9567702979555,-365.87870523232687,2.3946888960679757e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.078067460317503,371.9567702979555,-365.87870523232687,2.3946888960679757e-06
cheap_item,54064944,"Ignition Diesel relay - , e-",vw,golf,A2,319000.0,2006.5,5.9,6.078067460317503,371.9567702979555,-365.87870523232687,2.3946888960679757e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,54115323,"Airbag Front sensor - , e-(Right)",vw,golf,A2,,2006.5,5.9,5.900000000000045,371.9567702979555,-366.05677187738434,1.5794289076609402e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
cheap_item,53950695,Brake disc -(Front),toyota,corolla,C2,101000.0,1985.0,5.9,5.900000000000045,371.9567702979555,-366.056775079657,4.781701544942507e-06
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4617.6,4617.645086553723,371.9567702979555,4245.688346964818,3.070905131608015e-05
expensive_item,53935379,Engine Gasoline-,skoda,octavia,B2,28000.0,2023.5,4601.2,4552.175713435158,371.9567702979555,4180.219015661585,7.252438263094518e-05
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4599.7,4617.645086553723,371.9567702979555,4245.688346964818,3.070905131608015e-05
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4641.0,4617.645086553723,371.9567702979555,4245.688346964818,3.070905131608015e-05
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4626.2,4617.645086553723,371.9567702979555,4245.688346964818,3.070905131608015e-05
expensive_item,53935379,Engine Gasoline -,skoda,octavia,B2,28000.0,2023.5,4612.1,4617.645086553723,371.9567702979555,4245.688346964818,3.070905131608015e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4380.8,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4365.3,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4363.8,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4403.0,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4388.9,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65552499,Automatic gear -,skoda,octavia,A2,61000.0,2023.5,4375.6,4379.5137076902265,371.9567702979555,4007.556978873129,4.148085827182513e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4321.6,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4306.3,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4304.8,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4343.5,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4329.6,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
expensive_item,65116265,"Engine Gasoline - , e-",vw,golf,A2,214000.0,2016.5,4316.5,4320.74907411755,371.9567702979555,3948.7923281382728,2.4318678697454743e-05
