brand,total_registered_vehicles,median_vehicle_age,median_engine_cc,median_power_kw,median_mileage,brand_share_of_market
lmc,146,6.0,2287.0,109.0,56310.0,5.691870216002576e-05
fiat-lmc,144,23.0,2800.0,94.0,183985.5,5.6138993911258285e-05
mercedes-amg,140,10.0,3982.0,375.0,119131.5,5.4579577413723335e-05
daihatsu,140,33.0,1296.0,66.0,132926.0,5.4579577413723335e-05
bürstner gmbh,139,5.0,2287.0,103.0,45664.0,5.4189723289339594e-05
niva,137,36.0,1570.0,59.0,52760.0,5.341001504057212e-05
xpeng,128,0.0,,,15815.5,4.990132792111848e-05
rolls-royce,126,31.5,6750.0,160.0,55249.0,4.9121619672351e-05
fiat-knaus,108,22.0,2800.0,93.0,158370.5,4.210424543344371e-05
bww,95,6.0,1998.0,140.0,125023.0,3.703614181645512e-05
trabant,86,43.0,590.0,26.0,55060.0,3.352745469700148e-05
kabe,86,5.0,2287.0,110.0,51428.0,3.352745469700148e-05
maserati,82,11.5,2987.0,208.0,77465.0,3.196803819946652e-05
ford-hobby,81,17.0,2198.0,96.0,132021.0,3.157818407508279e-05
gaz,81,30.0,2440.0,55.0,37238.0,3.157818407508279e-05
simca,80,57.0,1290.0,45.0,57230.0,3.1188329950699047e-05
packard,79,17.5,5240.0,114.0,41290.0,3.079847582631531e-05
karmann mobil,78,4.0,1995.0,125.0,56114.5,3.040862170193157e-05
sunbeam,75,51.0,990.0,40.0,60000.0,2.9239059328780355e-05
fiat-kabe,74,14.0,2287.0,96.0,110140.0,2.8849205204396618e-05
eura mobil,70,4.0,2287.0,103.0,57483.0,2.7289788706861667e-05
wartburg,68,43.0,990.0,37.0,49610.0,2.651008045809419e-05
nilsson,68,11.0,2400.0,145.0,135228.5,2.651008045809419e-05
fiat-adriatik,66,19.0,2290.0,93.5,173199.5,2.5730372209326714e-05
fiat-solifer,65,25.0,2440.0,81.0,191427.0,2.5340518084942976e-05
carthago,65,7.0,2287.0,125.0,78833.0,2.5340518084942976e-05
sun living,63,4.0,2184.0,103.0,85619.0,2.45608098361755e-05
fiat-mclouis,63,19.0,2287.0,81.0,143836.0,2.45608098361755e-05
talbot,63,41.0,1290.0,49.0,143781.0,2.45608098361755e-05
rambler,62,58.0,3260.0,99.0,40942.5,2.417095571179176e-05
isuzu,61,52.0,1470.0,52.0,61595.0,2.3781101587408023e-05
kg mobility,61,0.0,1498.0,110.0,12.5,2.3781101587408023e-05
range-rover,56,36.0,3530.0,130.5,223443.0,2.1831830965489335e-05
austin-healey,55,34.0,2910.0,91.0,34136.5,2.1441976841105594e-05
gmc,53,21.0,5686.0,188.5,168750.5,2.066226859233812e-05
lynk&co,53,4.0,1477.0,132.0,42118.0,2.066226859233812e-05
studebaker,53,17.5,3950.0,66.0,52675.5,2.066226859233812e-05
daimler,52,33.0,4397.5,194.0,107866.0,2.027241446795438e-05
