brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
mercedes-benz,eqe,1278,3.0,2023.0,654,1.0,0.0,2023.435054773083
mercedes-benz,eqs,518,4.0,2023.0,238,1.0,0.0,2022.8301158301158
mercedes-benz,eqt,1,0.0,2023.0,1,1.0,0.0,2023.0
mercedes-benz,eqv,6,3.0,2024.0,3,1.0,0.0,2022.6666666666667
mercedes-benz,esprinter,5,0.0,2025.0,5,1.0,0.0,2025.0
mercedes-benz,evito,11,3.0,2024.0,4,1.0,0.0,2023.5454545454545
mercedes-benz,g-sarja,72,9.0,2025.0,38,0.7916666666666666,0.08333333333333333,2023.138888888889
mercedes-benz,gl-sarja,22,2.0,2014.0,13,0.0,1.0,2014.5
mercedes-benz,gla-sarja,2284,11.0,2021.0,306,0.345446584938704,0.5376532399299475,2018.6033274956217
mercedes-benz,glb,506,5.0,2021.0,262,0.8320158102766798,0.0,2021.2727272727273
mercedes-benz,glc-sarja,7471,10.0,2020.0,1109,0.46887966804979253,0.3280685316557355,2020.311069468612
mercedes-benz,gle-sarja,1831,10.0,2021.0,457,0.642818132168214,0.2009830693610049,2020.6411796832333
mercedes-benz,glk-sarja,194,1.0,2014.0,141,0.0,1.0,2014.2731958762886
mercedes-benz,gls-sarja,144,9.0,2021.0,30,0.5,0.2916666666666667,2020.2569444444443
mercedes-benz,marco,3,3.0,2017.0,1,0.0,0.3333333333333333,2018.6666666666667
mercedes-benz,maybach,8,1.0,2025.0,6,1.0,0.0,2024.75
mercedes-benz,mb,1,0.0,2021.0,1,1.0,0.0,2021.0
mercedes-benz,ml-sarja,146,4.0,2014.0,98,0.0,1.0,2014.3561643835617
mercedes-benz,polster,2,0.0,2017.0,2,0.0,1.0,2017.0
mercedes-benz,s-sarja,466,11.0,2014.0,96,0.33476394849785407,0.592274678111588,2018.0708154506437
mercedes-benz,sl-sarja,4,2.0,2014.0,2,0.0,1.0,2015.0
mercedes-benz,slc-sarja,14,4.0,2017.0,7,0.0,0.9285714285714286,2016.9285714285713
mercedes-benz,slk-sarja,6,2.0,2015.0,3,0.0,1.0,2015.1666666666667
mercedes-benz,sprinter,3191,11.0,2019.0,426,0.38765277342525856,0.3917267314321529,2019.4904418677531
mercedes-benz,t-sarja,40,3.0,2022.0,17,1.0,0.0,2022.9
mercedes-benz,vito,1950,11.0,2025.0,230,0.43948717948717947,0.37846153846153846,2019.9753846153847
mercedes-benz-v,sarja,366,11.0,2020.0,54,0.2814207650273224,0.48360655737704916,2018.8196721311476
mg,3,151,1.0,2024.0,83,1.0,0.0,2024.450331125828
mg,4,274,1.0,2025.0,234,1.0,0.0,2024.85401459854
mg,cyberster,11,1.0,2025.0,10,1.0,0.0,2024.909090909091
mg,hs,56,1.0,2025.0,41,1.0,0.0,2024.732142857143
mg,s5,66,0.0,2025.0,66,1.0,0.0,2025.0
mg,s6,2,0.0,2025.0,2,1.0,0.0,2025.0
mg,zs,80,1.0,2025.0,79,1.0,0.0,2024.9875
mini,aceman,73,1.0,2025.0,69,1.0,0.0,2024.945205479452
mini,clubman,2,0.0,2019.0,2,0.0,0.0,2019.0
mini,clubman cooper,220,7.0,2017.0,52,0.05,0.7363636363636363,2017.6409090909092
mini,cooper,1432,11.0,2021.0,169,0.42248603351955305,0.4238826815642458,2019.332402234637
mini,countryman,111,11.0,2025.0,74,0.954954954954955,0.036036036036036036,2024.3153153153153
mini,countryman cooper,873,7.0,2021.0,164,0.4306987399770905,0.2508591065292096,2020.1305841924398
mini,farmari,1,0.0,2021.0,1,1.0,0.0,2021.0
mini,jcw,10,1.0,2025.0,8,1.0,0.0,2024.8
mini,one,164,4.0,2017.0,70,0.0,1.0,2016.0365853658536
mitsubishi,asx,5861,11.0,2015.0,1103,0.11056133765569015,0.6401637945743047,2017.3193994198941
mitsubishi,colt,292,2.0,2024.0,186,1.0,0.0,2024.3424657534247
mitsubishi,eclipse,2834,7.0,2022.0,817,0.7304163726182075,0.09386026817219478,2021.5980945659844
mitsubishi,i-miev,2,0.0,2014.0,2,0.0,1.0,2014.0
mitsubishi,l200,2,4.0,2016.0,1,0.0,0.5,2018.0
mitsubishi,outlander,3970,11.0,2019.0,726,0.1778337531486146,0.4808564231738035,2018.1954659949622
mitsubishi,pajero,95,5.0,2015.0,30,0.0,0.9473684210526315,2015.6421052631579
mitsubishi,space,83,0.0,2015.0,83,0.0,1.0,2015.0
mitsubishi,space star,888,11.0,2015.0,148,0.1554054054054054,0.6058558558558559,2017.8085585585586
nissan,370z,1,0.0,2016.0,1,0.0,1.0,2016.0
nissan,ariya,981,3.0,2023.0,387,1.0,0.0,2023.7400611620794
nissan,e-nv200,39,8.0,2015.0,7,0.15384615384615385,0.5641025641025641,2017.8974358974358
nissan,juke,2991,11.0,2024.0,541,0.5302574389836175,0.3303243062520896,2020.2614510197259
nissan,leaf,3265,10.0,2022.0,895,0.6921898928024502,0.15957120980091882,2020.8940275650841
nissan,micra,4242,9.0,2018.0,890,0.08132956152758133,0.7607260726072608,2017.1468646864687
nissan,murano,6,1.0,2015.0,4,0.0,1.0,2014.6666666666667
nissan,note,2541,3.0,2014.0,1043,0.0,1.0,2015.0074773711137
nissan,nv200,50,4.0,2014.0,22,0.0,1.0,2015.16
nissan,nv300,37,3.0,2018.0,22,0.0,0.6756756756756757,2018.2162162162163
nissan,nv400,18,7.0,2016.0,11,0.1111111111111111,0.8888888888888888,2016.611111111111
nissan,pathfinder,6,0.0,2014.0,6,0.0,1.0,2014.0
nissan,primastar,7,11.0,2025.0,4,0.8571428571428571,0.14285714285714285,2023.142857142857
nissan,pulsar,2076,4.0,2015.0,764,0.0,1.0,2015.912331406551
nissan,qashqai,39328,11.0,2018.0,5540,0.21394426362896665,0.600793327908869,2018.1945179007323
nissan,qashqai+2,104,0.0,2014.0,104,0.0,1.0,2014.0
nissan,townstar,1,0.0,2023.0,1,1.0,0.0,2023.0
nissan,x-trail,2660,11.0,2016.0,584,0.18721804511278195,0.7195488721804512,2017.7823308270677
opel,adam,281,5.0,2015.0,82,0.0,0.99644128113879,2015.5516014234875
opel,ampera,18,1.0,2014.0,17,0.0,1.0,2014.0555555555557
opel,astra,17200,11.0,2016.0,3609,0.17593023255813953,0.6508139534883721,2017.9338372093023
opel,cascada,25,3.0,2014.0,13,0.0,1.0,2014.76
opel,combo,341,9.0,2019.0,155,0.21994134897360704,0.093841642228739,2019.5425219941349
opel,combo-e,23,3.0,2023.0,12,1.0,0.0,2022.7391304347825
opel,corsa,7959,11.0,2015.0,1620,0.19763789420781505,0.6081165975625078,2017.8204548310089
opel,crossland,2461,7.0,2020.0,600,0.35920357578220236,0.2255180820804551,2019.9719626168223
opel,frontera,106,0.0,2025.0,106,1.0,0.0,2025.0
opel,grandland,2913,8.0,2018.0,954,0.2516306213525575,0.35976656368005494,2019.6364572605562
opel,insignia,6580,9.0,2014.0,1174,0.0851063829787234,0.6992401215805472,2017.1834346504559
opel,karl,1127,4.0,2016.0,401,0.0,0.9139307897071872,2016.6157941437446
opel,meriva,256,3.0,2014.0,150,0.0,1.0,2014.5390625
opel,mokka,7336,11.0,2017.0,1235,0.22968920392584516,0.7076063249727372,2017.5443020719738
opel,movano,36,9.0,2015.0,13,0.05555555555555555,0.8055555555555556,2016.6666666666667
opel,vivaro,271,6.0,2017.0,76,0.0,0.8819188191881919,2017.0221402214022
opel,zafira,101,5.0,2021.0,37,0.9603960396039604,0.0,2021.8910891089108
opel,zafira tourer,655,5.0,2014.0,184,0.0,0.9786259541984733,2015.7374045801528
peugeot,107,15,0.0,2014.0,15,0.0,1.0,2014.0
peugeot,108,102,6.0,2015.0,47,0.0,0.8529411764705882,2016.0
peugeot,2008,6582,11.0,2023.0,1497,0.5970829535095715,0.2365542388331814,2020.5841689456092
peugeot,207,1,0.0,2014.0,1,0.0,1.0,2014.0
peugeot,208,6290,11.0,2016.0,846,0.2988871224165342,0.5241653418124006,2018.285691573927
peugeot,3008,5444,11.0,2017.0,1081,0.29684055841293167,0.47832476120499634,2019.0642909625276
peugeot,307,1,0.0,2016.0,1,0.0,1.0,2016.0
peugeot,308,4977,11.0,2015.0,988,0.20353626682740608,0.6891701828410689,2017.5025115531444
peugeot,408,217,2.0,2023.0,100,1.0,0.0,2023.6589861751152
peugeot,5008,1977,11.0,2018.0,517,0.2812341932220536,0.45068285280728376,2019.3009610520992
peugeot,508,1575,11.0,2014.0,389,0.0673015873015873,0.6850793650793651,2016.6768253968255
peugeot,boxer,14,6.0,2016.0,4,0.0,0.8571428571428571,2016.0714285714287
peugeot,e-rifter,51,3.0,2023.0,29,1.0,0.0,2023.0980392156862
peugeot,expert,142,11.0,2021.0,42,0.43661971830985913,0.22535211267605634,2019.8732394366198
peugeot,p8,1,0.0,2016.0,1,0.0,1.0,2016.0
peugeot,partner,146,4.0,2016.0,46,0.0,1.0,2015.6301369863013
peugeot,rcz,22,1.0,2014.0,15,0.0,1.0,2014.3181818181818
peugeot,rifter,223,4.0,2019.0,139,0.10762331838565023,0.04932735426008968,2019.3991031390135
peugeot,sedan,1,0.0,2020.0,1,0.0,0.0,2020.0
peugeot,traveller,28,3.0,2022.0,16,1.0,0.0,2022.857142857143
polestar,1,5,1.0,2021.0,3,1.0,0.0,2021.4
polestar,2,3143,4.0,2023.0,947,1.0,0.0,2023.119312758511
polestar,3,220,1.0,2025.0,118,1.0,0.0,2024.5363636363636
polestar,4,1077,1.0,2025.0,812,1.0,0.0,2024.7539461467038
porsche,718,1,0.0,2024.0,1,1.0,0.0,2024.0
porsche,911,135,11.0,2020.0,16,0.42962962962962964,0.4074074074074074,2019.6888888888889
porsche,918,1,0.0,2014.0,1,0.0,1.0,2014.0
porsche,boxster,37,10.0,2016.0,7,0.16216216216216217,0.7297297297297297,2017.4324324324325
porsche,cayenne,1205,11.0,2020.0,166,0.4954356846473029,0.27717842323651454,2020.270539419087
porsche,cayman,44,11.0,2017.0,11,0.2727272727272727,0.6590909090909091,2018.090909090909
porsche,macan,713,11.0,2025.0,260,0.6311360448807855,0.3281907433380084,2021.2959326788218
porsche,panamera,419,11.0,2018.0,138,0.23389021479713604,0.5775656324582339,2018.9331742243437
porsche,taycan,659,5.0,2022.0,191,0.8452200303490136,0.0,2022.0864946889226
renault,4,49,0.0,2025.0,49,1.0,0.0,2025.0
renault,5,272,0.0,2025.0,272,1.0,0.0,2025.0
renault,arkana,682,3.0,2022.0,397,1.0,0.0,2022.3299120234603
renault,austral,142,2.0,2024.0,81,1.0,0.0,2023.8098591549297
renault,captur,6459,11.0,2020.0,931,0.25793466480879396,0.48320173401455335,2018.5940548072458
renault,clio,11988,11.0,2017.0,2066,0.14464464464464463,0.6471471471471472,2017.8927260593928
renault,espace,129,9.0,2024.0,48,0.4883720930232558,0.4806201550387597,2020.3643410852712
renault,kadjar,3403,8.0,2016.0,979,0.06288568909785483,0.7023214810461358,2017.4387305318837
renault,koleos,67,2.0,2017.0,36,0.0,0.835820895522388,2017.6268656716418
renault,laguna,1,0.0,2014.0,1,0.0,1.0,2014.0
renault,master,33,11.0,2018.0,8,0.2727272727272727,0.36363636363636365,2019.4848484848485
renault,megane,2297,9.0,2017.0,418,0.023508924684370918,0.7670875054418808,2016.8389203308664
renault,megane e-tech,594,4.0,2022.0,195,1.0,0.0,2022.3350168350169
renault,megane scenic,206,2.0,2014.0,120,0.0,1.0,2014.4805825242718
renault,rafale,31,1.0,2025.0,28,1.0,0.0,2024.9032258064517
renault,scenic,511,9.0,2025.0,160,0.5733855185909981,0.34637964774951074,2021.559686888454
renault,symbioz,280,1.0,2025.0,218,1.0,0.0,2024.7785714285715
renault,talisman,504,4.0,2016.0,192,0.0,0.9007936507936508,2017.0238095238096
renault,trafic,213,11.0,2023.0,40,0.5070422535211268,0.3380281690140845,2020.1549295774648
renault,twingo,352,5.0,2015.0,113,0.0,0.9971590909090909,2015.528409090909
renault,zoe,552,8.0,2022.0,174,0.4891304347826087,0.21195652173913043,2020.269927536232
seat,alhambra,342,11.0,2014.0,121,0.0029239766081871343,0.935672514619883,2015.6023391812867
seat,altea,48,1.0,2014.0,45,0.0,1.0,2014.0625
seat,arona,1816,8.0,2018.0,595,0.24834801762114536,0.3463656387665198,2019.795704845815
seat,ateca,1670,8.0,2017.0,467,0.1724550898203593,0.5449101796407185,2018.617365269461
seat,cupra,52,4.0,2021.0,31,0.6153846153846154,0.057692307692307696,2020.4038461538462
seat,ibiza,3009,10.0,2018.0,618,0.05749418411432369,0.6699900299102692,2017.450980392157
seat,leon,7907,11.0,2016.0,1278,0.1889465030985203,0.6442392816491717,2017.723156696598
seat,mii,996,7.0,2021.0,412,0.41365461847389556,0.28112449799196787,2019.2771084337348
seat,tarraco,748,7.0,2019.0,303,0.4425133689839572,0.004010695187165776,2020.475935828877
seat,toledo,1513,5.0,2015.0,470,0.0,0.9920687376074026,2015.5763384005288
seres,3,6,0.0,2025.0,6,1.0,0.0,2025.0
seres,5,9,1.0,2025.0,6,1.0,0.0,2024.6666666666667
skoda,citigo,1135,7.0,2016.0,284,0.018502202643171806,0.7788546255506608,2016.7753303964757
skoda,elroq,1476,0.0,2025.0,1476,1.0,0.0,2025.0
skoda,enyaq,7898,4.0,2023.0,2474,1.0,0.0,2023.3199544188403
skoda,fabia,11065,11.0,2017.0,1643,0.24356077722548578,0.5900587437867149,2018.4685946678717
skoda,kamiq,5393,6.0,2020.0,1158,0.7728536992397552,0.0,2022.1407379936954
skoda,karoq,5574,8.0,2019.0,1370,0.42375313957660565,0.19788302834589164,2020.5304987441693
skoda,kodiaq,7986,9.0,2018.0,1616,0.41510142749812173,0.34510393188079136,2020.2466816929627
skoda,octavia,48713,11.0,2014.0,5868,0.23174511937265208,0.5732966559234701,2018.1397368258986
skoda,rapid,4557,5.0,2014.0,1162,0.0,0.9332894448101822,2016.0182137371078
skoda,roomster,197,1.0,2014.0,141,0.0,1.0,2014.284263959391
skoda,scala,3354,6.0,2020.0,892,0.575134168157424,0.0,2021.4451401311867
skoda,superb,13589,11.0,2016.0,2071,0.25344028258149975,0.5516226359555523,2018.5719331812495
skoda,yeti,2378,4.0,2014.0,771,0.0,1.0,2015.2102607232969
smart,#5,283,0.0,2025.0,283,1.0,0.0,2025.0
smart,1,121,1.0,2025.0,61,1.0,0.0,2024.504132231405
smart,3,240,1.0,2025.0,127,1.0,0.0,2024.5291666666667
smart,eq,18,5.0,2019.0,8,0.2222222222222222,0.16666666666666666,2019.7222222222222
smart,forfour,74,4.0,2015.0,37,0.0,1.0,2015.5945945945946
smart,fortwo,51,4.0,2014.0,23,0.0,1.0,2015.0980392156862
ssangyong,korando,226,10.0,2020.0,59,0.25663716814159293,0.45132743362831856,2018.6681415929204
ssangyong,rexton,71,5.0,2016.0,26,0.0,0.8591549295774648,2016.661971830986
ssangyong,tivoli,103,3.0,2016.0,73,0.0,1.0,2015.9417475728155
subaru,brz,71,5.0,2014.0,30,0.0,0.9859154929577465,2014.9154929577464
subaru,crosstrek,57,2.0,2024.0,42,1.0,0.0,2024.2280701754387
subaru,forester,3193,11.0,2014.0,581,0.08769182586908864,0.7601002192295647,2016.9993736298152
subaru,impreza,135,5.0,2014.0,58,0.0,0.9111111111111111,2015.8962962962962
subaru,legacy,1067,5.0,2015.0,442,0.0,0.9981255857544518,2015.3552014995314
subaru,levorg,199,3.0,2016.0,97,0.0,1.0,2015.964824120603
subaru,outback,2034,8.0,2018.0,465,0.46017699115044247,0.27974434611602755,2020.5825958702064
subaru,solterra,311,3.0,2024.0,131,1.0,0.0,2023.9903536977492
subaru,wrx,10,4.0,2015.0,6,0.0,1.0,2015.0
subaru,xv,943,9.0,2018.0,278,0.088016967126193,0.8101802757158006,2017.1145281018028
suzuki,across,153,5.0,2021.0,59,0.7516339869281046,0.0,2021.437908496732
suzuki,alto,22,0.0,2014.0,22,0.0,1.0,2014.0
suzuki,grand vitara,10,0.0,2014.0,10,0.0,1.0,2014.0
suzuki,ignis,270,8.0,2018.0,54,0.4185185185185185,0.22962962962962963,2020.3962962962962
suzuki,jimny,173,6.0,2020.0,65,0.0,0.28901734104046245,2018.4682080924856
suzuki,s-cross,275,3.0,2024.0,117,1.0,0.0,2024.1418181818183
suzuki,swace,360,5.0,2021.0,283,0.9388888888888889,0.0,2021.2555555555555
suzuki,swift,1754,11.0,2018.0,455,0.35347776510832385,0.42873432155074115,2019.6482326111745
suzuki,sx4,1511,11.0,2014.0,530,0.25810721376571805,0.7061548643282595,2017.1131700860358
suzuki,vitara,6548,10.0,2016.0,902,0.3168906536346976,0.44410507025045814,2019.3147525962127
tesla motors,model,1,0.0,2017.0,1,0.0,1.0,2017.0
tesla motors,model 3,6003,6.0,2024.0,1284,0.7527902715309012,0.0,2022.1784107946028
tesla motors,model s,1103,11.0,2017.0,149,0.2357207615593835,0.5303717135086129,2018.4669084315503
tesla motors,model x,530,9.0,2017.0,98,0.3169811320754717,0.35471698113207545,2019.688679245283
tesla motors,model y,10733,4.0,2023.0,4904,1.0,0.0,2023.3824652939531
tesla motors,s 85,7,1.0,2014.0,5,0.0,1.0,2014.2857142857142
toyota,86,25,6.0,2014.0,12,0.0,0.92,2015.64
toyota,auris,19269,5.0,2018.0,3926,0.0,0.9566142508692719,2016.1553791063366
toyota,avensis,14130,6.0,2016.0,3132,0.0,0.997169143665959,2015.9722576079264
toyota,aygo,2288,11.0,2023.0,332,0.3719405594405594,0.5209790209790209,2018.8028846153845
toyota,bz4x,1663,3.0,2023.0,734,1.0,0.0,2023.6788935658449
toyota,c-hr,14905,9.0,2018.0,2018,0.5041261321704126,0.25763166722576314,2020.671184166387
toyota,camry,1855,5.0,2020.0,534,0.43881401617250676,0.0,2020.612398921833
toyota,corolla,34912,11.0,2020.0,5395,0.5992495417048579,0.10288725939505042,2020.9815536205317
toyota,crown,2,3.0,2022.0,1,1.0,0.0,2023.5
toyota,gr,180,5.0,2021.0,77,0.9833333333333333,0.0,2022.2888888888888
toyota,highlander,1,0.0,2021.0,1,1.0,0.0,2021.0
toyota,hilux,1,0.0,2014.0,1,0.0,1.0,2014.0
toyota,land cruiser,455,11.0,2014.0,77,0.1912087912087912,0.6637362637362637,2017.7076923076922
toyota,mirai,4,0.0,2025.0,4,1.0,0.0,2025.0
toyota,monikäyttöajoneuvo,1,0.0,2024.0,1,1.0,0.0,2024.0
toyota,prius,637,9.0,2016.0,271,0.05023547880690738,0.8665620094191523,2016.7315541601256
toyota,prius phev,584,11.0,2023.0,185,0.6164383561643836,0.2910958904109589,2021.0958904109589
toyota,prius plus,643,7.0,2019.0,190,0.006220839813374806,0.5692068429237948,2017.6158631415242
toyota,proace,1701,11.0,2022.0,286,0.5931804820693709,0.2257495590828924,2020.9847148736037
toyota,rav4,19123,11.0,2021.0,2636,0.5187993515661768,0.28002928410814204,2020.2908539455107
toyota,supra,33,10.0,2020.0,10,0.5454545454545454,0.030303030303030304,2021.0
toyota,tundra,1,0.0,2014.0,1,0.0,1.0,2014.0
toyota,verso,1537,4.0,2014.0,559,0.0,1.0,2015.260247234873
toyota,verso-s,356,1.0,2014.0,237,0.0,1.0,2014.3342696629213
toyota,yaris,29224,11.0,2021.0,3703,0.4727963317820969,0.35258691486449495,2019.7540035587188
toyota,yaris cross,9702,4.0,2024.0,2895,1.0,0.0,2023.6761492475778
toyota,yaris hybrid,9269,7.0,2018.0,2353,0.00010788650339842486,0.7176610206063222,2017.4233466393355
volkswagen,2dsedan,1,0.0,2020.0,1,0.0,0.0,2020.0
volkswagen,amarok,12,10.0,2017.0,3,0.25,0.6666666666666666,2018.0833333333333
volkswagen,arteon,1075,7.0,2018.0,261,0.44465116279069766,0.3283720930232558,2019.832558139535
volkswagen,beetle,537,5.0,2014.0,119,0.0,0.9981378026070763,2015.8882681564246
volkswagen,caddy,4931,11.0,2019.0,576,0.3165686473331981,0.5055769620766579,2018.9162441695396
volkswagen,california,3,0.0,2025.0,3,1.0,0.0,2025.0
volkswagen,caravelle,190,1.0,2014.0,145,0.0,1.0,2014.2368421052631
volkswagen,cc,102,2.0,2014.0,85,0.0,1.0,2014.2058823529412
volkswagen,crafter,636,11.0,2019.0,96,0.38836477987421386,0.3380503144654088,2019.751572327044
volkswagen,farmari,2,0.0,2016.0,2,0.0,1.0,2016.0
volkswagen,golf,31752,11.0,2014.0,5265,0.16676114890400603,0.670981355505165,2017.575680272109
volkswagen,golf gte,8,0.0,2020.0,8,0.0,0.0,2020.0
volkswagen,golf plus,184,0.0,2014.0,184,0.0,1.0,2014.0
volkswagen,golf sportsvan,5028,7.0,2015.0,1284,0.0013922036595067622,0.8752983293556086,2016.2557677008751
volkswagen,id.,451,3.0,2025.0,190,1.0,0.0,2023.960088691796
volkswagen,id.3,2864,5.0,2023.0,827,0.8261173184357542,0.0,2022.08030726257
volkswagen,id.4,7212,4.0,2023.0,1764,1.0,0.0,2023.1551580698836
volkswagen,id.5,1120,3.0,2022.0,585,1.0,0.0,2022.544642857143
volkswagen,id.7,2264,2.0,2025.0,1388,1.0,0.0,2024.5883392226149
volkswagen,jetta,1505,4.0,2014.0,418,0.0,1.0,2015.4046511627907
volkswagen,kombi,2171,10.0,2017.0,378,0.1239060340856748,0.6434822662367573,2017.6158452326117
volkswagen,monikäyttöajoneuvo,1,0.0,2024.0,1,1.0,0.0,2024.0
volkswagen,multivan,311,11.0,2022.0,91,0.864951768488746,0.10289389067524116,2022.4244372990354
volkswagen,passat,18253,11.0,2015.0,3543,0.14200405412808853,0.7108968388758012,2017.3634471045855
volkswagen,phaeton,1,0.0,2015.0,1,0.0,1.0,2015.0
volkswagen,polo,15333,10.0,2018.0,2586,0.1388508445835779,0.6189917172112437,2017.7607774082046
volkswagen,scirocco,7,0.0,2014.0,7,0.0,1.0,2014.0
volkswagen,sedan,1,0.0,2025.0,1,1.0,0.0,2025.0
volkswagen,sharan,524,6.0,2014.0,140,0.0,0.9312977099236641,2015.7977099236641
volkswagen,t-cross,4449,6.0,2020.0,1115,0.5736120476511576,0.0,2021.5727129692066
volkswagen,t-roc,6483,8.0,2019.0,1474,0.4246490822150239,0.1685947863643375,2020.499151627333
volkswagen,taigo,2187,4.0,2025.0,690,1.0,0.0,2023.5816186556926
volkswagen,tayron,2,0.0,2025.0,2,1.0,0.0,2025.0
volkswagen,tiguan,10853,11.0,2017.0,1379,0.4384962683129089,0.40744494609785314,2019.733714180411
volkswagen,touareg,278,11.0,2021.0,45,0.3669064748201439,0.45323741007194246,2018.953237410072
volkswagen,touran,3527,11.0,2016.0,777,0.06237595690388432,0.7882052736036291,2016.8709951800397
volkswagen,transporter,219,11.0,2022.0,114,0.954337899543379,0.0319634703196347,2022.3835616438357
volkswagen,up!,1723,9.0,2020.0,357,0.21125943122460825,0.5339524085896692,2017.994196169472
volvo,c40,2110,4.0,2023.0,1097,1.0,0.0,2022.8834123222748
volvo,ec40,614,1.0,2025.0,425,1.0,0.0,2024.6921824104234
volvo,es90,4,0.0,2025.0,4,1.0,0.0,2025.0
volvo,ex30,2682,2.0,2024.0,2042,1.0,0.0,2024.220730797912
volvo,ex40,1393,1.0,2025.0,935,1.0,0.0,2024.6712132089017
volvo,ex90,360,1.0,2025.0,345,1.0,0.0,2024.9583333333333
volvo,s60,4378,11.0,2014.0,613,0.2537688442211055,0.5481955230698949,2018.16605756053
volvo,s80,497,2.0,2014.0,270,0.0,1.0,2014.5694164989939
volvo,s90,2777,9.0,2017.0,894,0.14296002880806627,0.6546633057256032,2018.3086064097947
volvo,v40,10545,6.0,2015.0,2066,0.0,0.8434329065908013,2016.4083451872925
volvo,v60,17808,11.0,2019.0,2223,0.351358939802336,0.4143081761006289,2019.0986073674753
volvo,v70,3057,5.0,2014.0,1531,0.0,0.9996728819103696,2014.6401701014065
volvo,v90,7483,9.0,2017.0,2359,0.20740344781504744,0.5716958439128692,2018.8431110517172
volvo,xc40,11590,7.0,2021.0,2240,0.6387402933563416,0.0817946505608283,2021.2597929249353
volvo,xc60,23039,11.0,2018.0,2704,0.44038369720908027,0.38252528321541734,2019.7635314032727
volvo,xc70,1174,2.0,2015.0,430,0.0,1.0,2014.9880749574106
volvo,xc90,3362,11.0,2016.0,477,0.41701368233194525,0.3955978584176086,2019.7064247471742
volvo,zc90,1,0.0,2017.0,1,0.0,1.0,2017.0
xpeng,g6,62,0.0,2025.0,62,1.0,0.0,2025.0
xpeng,g9,43,0.0,2025.0,43,1.0,0.0,2025.0
