brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
hyundai,58717,8.0,9.174889725292504,117394.0,134311.205622198,1396.0,77.2,1331.0,0.0228910646214399,0.406509188139721,0.1686564368070575,0.3937871485259805,0.7726552787097434,0.0912171943389478,0.1357869100941805,0.1252107566803481,0.3237733535432668
honda,56642,16.0,15.296865895647567,209431.0,215294.91780895556,1798.0,103.0,1411.0,0.0220821173133436,0.7751491825853607,0.5269058295964125,0.2263867801278203,0.8237703470922637,0.1743405953179619,0.001535962713181,0.0358214752303944,0.2110448077398397
renault,48574,10.0,12.49585310501341,135399.0,150811.94408325432,1332.0,74.0,1275.0,0.0189367742378156,0.4874006670235105,0.2583480874541936,0.2114917445547,0.8732449458558076,0.0864042491868077,0.0392596862519043,0.0594762630213694,0.5012558158685717
citroen,47834,14.0,13.930199848853809,166497.5,174160.17898850367,1560.0,81.0,1315.0,0.0186482821857717,0.6783250407659823,0.3412008195007735,0.2893548521971819,0.8039260776853284,0.1726596145001463,0.0228916670150938,0.023811514822093,0.351423673537651
mazda,41607,15.0,14.010511124473842,183824.5,185900.43389963408,1990.0,89.0,1379.0,0.0162206605532341,0.6577739322710121,0.40382627923186,0.269594058692047,0.9321748744201696,0.0607349724805922,0.0068738433436681,0.120148052010479,0.0964501165669238
mitsubishi,34095,10.0,10.786225507450428,153802.5,165974.84938648358,1998.0,89.0,1650.0,0.0132920763708635,0.4261621938700689,0.3086376301510485,0.4646135797037689,0.8811849244757296,0.1147382314122305,0.0004692770200909,0.400645255902625,0.1605807303123625
tesla,31374,3.0,3.203289347867661,80884.5,87697.33872416892,,153.0,2003.0,0.0122312832984153,0.0023905144387072,0.0202396889143877,0.3112449799196787,0.0,0.0,1.0,0.0001593676292471,0.0
seat,28970,9.0,10.606109768726268,143432.0,161637.7896577837,1395.0,85.0,1266.0,0.0112940739833968,0.4302726958923024,0.2803244735933725,0.4059371763893683,0.7324128408698654,0.1859509837763203,0.0232999654815326,0.0766309975837072,0.8462202278218847
fiat,22095,18.0,17.981800634220324,150574.0,154902.61208540728,1242.0,51.0,1090.0,0.0086138268782586,0.8694727313871917,0.2517764200045259,0.0489703552840009,0.8990721882778909,0.0726408689748812,0.0264765784114052,0.0233536999321113,0.124734102738176
suzuki,19354,9.0,11.272595731486744,120742.5,135755.90362893534,1373.0,82.0,1265.0,0.0075452367233228,0.4609899762323034,0.1768109951431228,0.2249147463056732,0.9799524646067996,0.0175674279218766,0.0,0.2466673555854087,0.2395370466053529
subaru,17730,12.0,12.4081678700361,191696.0,199781.18999817484,1995.0,110.0,1587.0,0.0069121136253236,0.5880428652002256,0.4359842075578116,0.0861252115059221,0.8051889452904681,0.1713479977439368,0.0172024816694867,0.0316976875352509,0.2447264523406655
saab,15700,21.0,22.733762471837785,273237.0,272533.7915948138,1990.0,110.0,1535.0,0.0061207097528246,0.9868789808917198,0.7911464968152866,0.1206369426751592,0.882484076433121,0.0911464968152866,6.369426751592356e-05,0.0,0.7960509554140127
dacia,13715,7.0,7.087349617207437,113570.0,127051.95369057744,1332.0,80.0,1334.0,0.0053468493159229,0.2274152387896463,0.121983230040102,0.0789646372584761,0.7203062340503099,0.2535180459351075,0.0029894276339773,0.0639445862194677,0.8506015311702515
polestar,9871,3.0,2.414547664876912,52562.0,57524.36418685121,1969.0,167.5,2188.0,0.0038482500617918,0.0,0.0009117617262688,0.2523553844595279,0.0002026137169486,0.0,0.9997973862830514,0.0008104548677945,0.0002026137169486
chevrolet,9534,15.0,17.93160302095522,158259.5,163742.92088607594,1796.0,91.0,1454.0,0.0037168692218745,0.948080553807426,0.3095238095238095,0.2205789804908747,0.8954268932242501,0.1009020348227396,0.000734214390602,0.013845185651353,0.1417033773861967
lexus,9413,10.0,10.495909911824072,172697.5,180379.1767436026,2494.0,133.0,1755.0,0.0036696968728241,0.4791246148942951,0.3345373419738659,0.112610219908637,0.950175289493254,0.0242218208860087,0.0219908636991394,0.7153936045893976,0.0269839583554658
mini,7456,10.0,11.355008077544426,118585.0,128570.57631184408,1590.0,92.0,1290.0,0.0029067523514051,0.4679452789699571,0.1612124463519313,0.527494635193133,0.7796405579399142,0.0949570815450643,0.1247317596566523,0.2057403433476395,0.5997854077253219
