part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
drive shaft -(right front),toyota,corolla,65,31,"53410756, 53712062, 53713676, 53714980, 53716391, 53716866, 53718651, 54151722, 54413270, 54521427 ... (+21 more)",296.4,153.9,357.0,2.1
suspension -(rear),toyota,corolla,78,30,"53375391, 53480837, 53577432, 53817908, 53827878, 53865601, 54491760, 54491761, 55960953, 55960954 ... (+20 more)",47.2,35.5,47.6,2.6
trailing link rear -(left),toyota,corolla,77,29,"53722743, 53722744, 53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 54363441 ... (+19 more)",71.0,56.2,72.6,2.66
shock absorbers rear -(rear),toyota,corolla,73,29,"53706183, 53721247, 53819760, 53824358, 53853721, 53853777, 53859811, 53859812, 53881584, 54248598 ... (+19 more)",60.4,59.2,62.2,2.52
hub rear -(rear),toyota,corolla,61,26,"53699458, 53708861, 53710888, 53715555, 53716493, 53717736, 54555112, 54560998, 54562514, 54568829 ... (+16 more)",94.4,47.4,119.0,2.35
drive shaft -(left front),toyota,corolla,87,25,"53367963, 53374161, 54232635, 54417013, 54521794, 54626514, 56269960, 59131986, 60059054, 60132522 ... (+15 more)",294.9,153.9,297.5,3.48
trailing link rear -(right),toyota,corolla,70,25,"53707144, 53725967, 53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 54360056, 55987886 ... (+15 more)",71.0,56.2,72.6,2.8
curtain airbags -(right),toyota,corolla,63,23,"53663768, 53991822, 54082891, 54331761, 54470946, 54479779, 54492177, 59391659, 61845408, 62404856 ... (+13 more)",235.9,59.2,261.8,2.74
wheel bearing spindle shaft -(right rear),toyota,corolla,52,23,"53853364, 53855121, 53855165, 56933447, 57222704, 58825525, 59131976, 59241761, 60059059, 60139249 ... (+13 more)",189.75,165.8,208.3,2.26
wheel bearing spindle shaft -(left rear),toyota,corolla,60,22,"53853342, 53869656, 56933448, 58825527, 59131977, 59242297, 60059060, 60139248, 60419506, 60496437 ... (+12 more)",177.9,165.8,208.3,2.73
curtain airbags -(left),toyota,corolla,55,21,"53449758, 53659100, 53672406, 54470943, 54476116, 54492143, 59391660, 59624287, 61845319, 62465163 ... (+11 more)",226.1,59.2,261.8,2.62
brake caliper -(right rear),toyota,corolla,53,20,"53608052, 53850683, 53859861, 54238812, 56933443, 57220992, 58755576, 59131987, 59249691, 62404920 ... (+10 more)",177.9,168.7,238.0,2.65
brake caliper -(left rear),toyota,corolla,50,20,"53608961, 53859868, 53860486, 53867130, 54232531, 56933444, 57220993, 58755577, 59131988, 59249690 ... (+10 more)",177.7,165.8,238.0,2.5
strut rear -(left),toyota,corolla,59,17,"53589483, 53618513, 53650880, 53664653, 53679064, 53682952, 53689539, 54008914, 54034252, 54321498 ... (+7 more)",53.3,23.7,59.5,3.47
brake caliper -(right front),toyota,corolla,47,17,"53859828, 53860450, 53860490, 53895810, 53928356, 57220994, 58717890, 60058882, 61076237, 62404916 ... (+7 more)",177.6,142.1,238.0,2.76
brake caliper -(left front),toyota,corolla,44,16,"53606571, 53859829, 53928357, 56933442, 57220995, 60058883, 60496428, 63310200, 63350262, 64546414 ... (+6 more)",177.6,118.4,238.0,2.75
distributors -,toyota,corolla,40,16,"53687628, 53832764, 53832935, 53914784, 53954187, 54310467, 54335221, 54341466, 54345881, 54475593 ... (+6 more)",83.7,59.2,95.2,2.5
gear box 5 speed -,toyota,corolla,40,16,"53400892, 53413369, 53889068, 54560231, 54777180, 56989378, 59855589, 60930698, 61139026, 63216307 ... (+6 more)",651.6,517.4,833.0,2.5
starter gasoline -,toyota,corolla,40,16,"53397731, 53705104, 53725225, 53727493, 53821469, 53913410, 54528712, 54648612, 56268870, 58355946 ... (+6 more)",94.7,82.9,106.7,2.5
passenger airbag -,toyota,corolla,39,16,"53402114, 53455139, 53471242, 53713033, 59140468, 60058722, 61076256, 63158119, 63310195, 63350253 ... (+6 more)",296.0,281.2,333.2,2.44
strut rear -(right),toyota,corolla,55,15,"53467029, 53662663, 53674446, 53721223, 53792102, 54007262, 54338198, 54471239, 54484620, 54485592 ... (+5 more)",59.0,29.6,59.5,3.67
airbag krocksensor -,toyota,corolla,40,15,"54432700, 54432701, 54492383, 54492396, 54493918, 54493926, 59245086, 59245089, 60132894, 61769058 ... (+5 more)",56.3,53.3,59.5,2.67
contact roll airbag -,toyota,corolla,40,15,"53596126, 53856491, 53856614, 53928362, 54282984, 55149341, 58712351, 61076273, 62133431, 63019913 ... (+5 more)",213.45,177.6,238.0,2.67
distributors vacuum regulator -,toyota,corolla,40,15,"54570238, 54570295, 54570367, 54570499, 54572869, 54573063, 54573661, 54573914, 54574618, 54575400 ... (+5 more)",100.6,100.2,101.1,2.67
fuel injection pump -,toyota,corolla,40,15,"53713302, 53715683, 53717128, 53720617, 54051647, 54173283, 54432606, 54472609, 54504379, 54526701 ... (+5 more)",118.4,100.6,119.0,2.67
hybrid batteri -,toyota,corolla,40,15,"54137921, 57028353, 57887357, 58926177, 58991908, 59217624, 60117429, 60785799, 61156018, 62529942 ... (+5 more)",1300.1,1124.8,1462.2,2.67
hybrid inverter -,toyota,corolla,40,15,"54137927, 54232530, 54248125, 57231214, 58198976, 59274610, 60063118, 61074258, 61156102, 61905395 ... (+5 more)",1085.45,355.2,1190.0,2.67
insp.pump diesel control unit -,toyota,corolla,40,15,"53461881, 53650419, 53832045, 54071642, 54531250, 54531561, 54532022, 54532302, 54571247, 56093599 ... (+5 more)",213.4,118.4,238.0,2.67
other control unit -,toyota,corolla,40,15,"53608931, 53608953, 53861120, 54103835, 54137955, 59244561, 60119199, 60125605, 60500078, 63020235 ... (+5 more)",438.75,270.0,476.0,2.67
power steering control unit -,toyota,corolla,40,15,"53590879, 53696108, 53715029, 54063166, 54068576, 54469879, 54471168, 54527905, 54532256, 54684107 ... (+5 more)",178.2,165.8,238.0,2.67
sensor abs -,toyota,corolla,40,15,"53835699, 53875465, 53897787, 54552575, 54558254, 54558373, 54559216, 54560130, 54561122, 54568794 ... (+5 more)",47.4,41.4,59.5,2.67
abs hydraulic pump -,toyota,corolla,39,15,"53685056, 53728071, 54063593, 54151616, 54552749, 54556265, 54573754, 54586417, 55593606, 56798552 ... (+5 more)",530.9,236.8,547.4,2.6
clutch cylinder slave -,toyota,corolla,39,15,"53663283, 53799748, 53829242, 53836797, 53858372, 54016900, 54318560, 54524529, 54528612, 54532592 ... (+5 more)",29.6,23.7,35.7,2.6
coil -,toyota,corolla,39,15,"54311388, 54316693, 54321523, 54325977, 54533639, 54579565, 55161386, 58955945, 58955946, 64465053 ... (+5 more)",53.3,47.4,53.5,2.6
engine gasoline -,toyota,corolla,39,15,"53605194, 53848511, 56939596, 59078050, 59140483, 62989746, 63117883, 63305356, 63352462, 64538310 ... (+5 more)",3656.1,3433.6,3689.0,2.6
hand brake lever -,toyota,corolla,39,15,"53817071, 53829075, 53836781, 53855578, 53881176, 53882640, 53994088, 54134876, 54365316, 54365356 ... (+5 more)",47.2,35.5,47.6,2.6
other relay -,toyota,corolla,39,15,"53831848, 54062472, 54132421, 54210583, 54500179, 54504299, 54530676, 54547503, 54574000, 54578012 ... (+5 more)",41.5,29.6,47.6,2.6
fuel filling pipe / tube -,toyota,corolla,38,15,"53821389, 53826004, 54517984, 54527967, 54527972, 54527974, 54555307, 54555440, 54560132, 54571032 ... (+5 more)",59.0,35.5,59.5,2.53
gear lever -,toyota,corolla,38,15,"53606551, 53700152, 53886312, 54145488, 54593502, 58718927, 60061114, 60467442, 61092453, 62404893 ... (+5 more)",177.6,171.7,190.4,2.53
engine casing -,toyota,corolla,39,14,"53677350, 54081552, 54398229, 54533387, 54612069, 54634256, 54634380, 54679094, 55544010, 58397284 ... (+4 more)",59.2,47.4,59.5,2.79
fuse box / electricity central -,toyota,corolla,39,14,"53616724, 53864019, 54000335, 54035815, 54161048, 54448932, 54537964, 54556301, 55161385, 55588422 ... (+4 more)",95.2,71.0,119.0,2.79
kamera utvändig -,toyota,corolla,39,14,"53838464, 53858477, 53881624, 53928354, 54129716, 58385449, 58761312, 58925051, 59862593, 60492667 ... (+4 more)",652.4,296.0,714.0,2.79
knee -,toyota,corolla,39,14,"53472131, 53484104, 53573229, 53581161, 53691366, 53835769, 53966531, 53999838, 54400530, 54568070 ... (+4 more)",213.5,90.0,297.5,2.79
mass air-flow sensor -,toyota,corolla,39,14,"53431833, 53449533, 53475815, 53727895, 53729179, 53729180, 53874568, 54036224, 54070887, 54561934 ... (+4 more)",82.9,71.0,83.3,2.79
steering wheel airbag -,toyota,corolla,39,14,"53447491, 53487808, 53710872, 59140469, 60058723, 61092668, 63041911, 63350256, 63461617, 64546410 ... (+4 more)",296.0,260.5,297.5,2.79
tank lid -,toyota,corolla,39,14,"53395854, 53655680, 53686810, 53820047, 53838227, 53864712, 53902200, 54000358, 54491958, 54509654 ... (+4 more)",47.4,32.0,59.5,2.79
airbag control unit -,toyota,corolla,38,14,"53446995, 53496737, 53580055, 53729424, 53729426, 54045902, 54080251, 54432610, 54531816, 54556263 ... (+4 more)",260.05,181.2,357.0,2.71
alternator -,toyota,corolla,38,14,"53705345, 53713804, 53727775, 54230860, 56919452, 58508409, 61842750, 64471152, 64498731, 64572767 ... (+4 more)",142.3,106.6,148.8,2.71
deliverer -,toyota,corolla,38,14,"53835788, 54533836, 54534848, 54534956, 54539614, 56142206, 56142207, 56142208, 58954021, 60114204 ... (+4 more)",141.85,84.1,142.8,2.71
fuel pump electric -,toyota,corolla,38,14,"54549667, 54549674, 54553339, 54557769, 54558231, 54558291, 54569407, 54572196, 54574086, 54575016 ... (+4 more)",100.8,100.2,107.1,2.71
