part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
parkeringshjälp frontsensor -,toyota,corolla,32,8,"53393524, 53394183, 53394186, 53496462, 61070360, 63351902, 63351960, 63351992",59.0,47.2,59.5,4.0
"brake caliper - , e-(left front)",vw,golf,42,7,"53463472, 58952166, 61917764, 63199771, 64491409, 64675834, 65138593",177.5,165.1,238.0,6.0
brake caliper -(left front),skoda,octavia,42,7,"53438211, 53460365, 53484488, 53493166, 53495141, 54677905, 64801679",154.2,153.3,190.4,6.0
brake caliper -(right front),skoda,octavia,42,7,"53386676, 53398778, 53437974, 53447279, 53492535, 54672962, 64801568",154.2,153.3,190.4,6.0
"brake disc - , e-(front)",vw,golf,42,7,"53786468, 53801940, 54114896, 54125363, 54470408, 54476822, 54485432",29.5,23.6,47.6,6.0
"curtain airbags - , e-(left)",vw,golf,42,7,"53491409, 54217190, 56438889, 58952161, 60981201, 61914684, 64661502",142.3,141.5,154.7,6.0
hub rear -(rear),skoda,octavia,42,7,"53525478, 53721141, 53721194, 54012565, 54020560, 54033359, 54033361",130.2,117.9,142.8,6.0
"brake caliper - , e-(right front)",vw,golf,41,7,"53419024, 58383840, 58952165, 62029253, 64491408, 65138592, 66709192",177.0,147.4,238.0,5.86
drive shaft -(left front),skoda,octavia,41,7,"53502115, 54041614, 54252177, 54292467, 54760100, 59823602, 60226075",241.9,235.9,309.4,5.86
trailing link rear -(right),skoda,octavia,40,7,"54026243, 54358408, 54359991, 58937123, 60226057, 60226169, 64800332",82.69999999999999,70.8,84.5,5.71
wheel bearing spindle shaft -(right rear),skoda,octavia,39,7,"53379281, 53409488, 60557555, 62238855, 62781308, 65037599, 65651367",213.1,200.5,238.0,5.57
"drive shaft - , e-(right front)",vw,golf,33,7,"53979568, 54243008, 56147885, 56935026, 57338371, 58398781, 62191587",243.2,241.8,296.0,4.71
air-flow sensor -,toyota,corolla,32,7,"54310660, 54326986, 54340197, 54346272, 54357747, 54367095, 54371010",23.7,23.6,23.8,4.57
"air throttle housing / throttle housing - , e-",vw,golf,30,7,"53580265, 53585126, 53587007, 53606842, 54163225, 64336350, 64345962",82.85,59.0,95.2,4.29
"alternator - , e-",vw,golf,30,7,"53403168, 54222822, 54272328, 55905906, 57886776, 58398729, 65116468",219.0,212.4,226.1,4.29
