part_name,brand,model,oem_number,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
hub rear -(rear),toyota,corolla,fi15710056a,50,18,"54555112, 54560998, 54562514, 54568829, 54568941, 54574650, 54576727, 54581766, 54581788, 54584616 ... (+8 more)",94.55000000000001,47.4,95.2,2.78
distributors vacuum regulator -,toyota,corolla,fi15710056a,40,15,"54570238, 54570295, 54570367, 54570499, 54572869, 54573063, 54573661, 54573914, 54574618, 54575400 ... (+5 more)",100.6,100.2,101.1,2.67
fuel pump electric -,toyota,corolla,fi15710056a,38,14,"54549667, 54549674, 54553339, 54557769, 54558231, 54558291, 54569407, 54572196, 54574086, 54575016 ... (+4 more)",100.8,100.2,107.1,2.71
drive shaft -(left front),toyota,corolla,fi27837687a,60,13,"53367963, 53374161, 59131986, 60059054, 60496432, 63310210, 63350268, 64546407, 65057801, 65399928 ... (+3 more)",296.0,165.8,297.5,4.62
sensor abs -,toyota,corolla,fi15710056a,37,12,"54552575, 54558254, 54558373, 54559216, 54560130, 54561122, 54568794, 54572494, 54573990, 54576365 ... (+2 more)",47.4,41.4,59.5,3.08
passenger airbag -,toyota,corolla,fi27837687a,26,12,"53402114, 53455139, 53471242, 59140468, 60058722, 61076256, 63310195, 63350253, 64466975, 64546429 ... (+2 more)",296.0,284.2,297.5,2.17
trailing link rear -(left),toyota,corolla,fi05028803a,35,11,"53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 58755574, 58825996, 58830597 ... (+1 more)",71.0,59.2,71.4,3.18
wheel bearing spindle shaft -(left rear),toyota,corolla,fi27837687a,21,11,"59131977, 60059060, 60496437, 61076252, 62404844, 63310215, 63350279, 64546424, 65107270, 65680827 ... (+1 more)",177.6,176.9,178.5,1.91
engine gasoline -,toyota,corolla,fi27837687a,20,11,"59078050, 59140483, 62989746, 63305356, 63352462, 64538310, 65107242, 65176844, 65433218, 66412411 ... (+1 more)",3670.4,3433.6,3689.0,1.82
wheel bearing spindle shaft -(right rear),toyota,corolla,fi27837687a,15,11,"59131976, 60059059, 60496436, 61076249, 62404848, 63310214, 63350278, 64546423, 65107272, 65680826 ... (+1 more)",177.6,176.9,178.5,1.36
trailing link rear -(right),toyota,corolla,fi05028803a,30,10,"53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 58755575, 58825995, 58830598, 58830599",71.0,59.2,71.4,3.0
suspension -(rear),toyota,corolla,fi27837687a,28,10,"53375391, 53480837, 60498741, 60498767, 61890414, 61890420, 62122633, 62122634, 65399910, 65399986",47.4,35.5,47.6,2.8
abs hydraulic aggregate -,toyota,corolla,fi27837687a,24,10,"59140465, 60058714, 60496419, 61076241, 62404925, 63310160, 63350249, 65250408, 65680819, 66223587",589.9,532.8,595.0,2.4
