part_name,brand,model,year_start,year_end,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
motor bracket -,toyota,corolla,2008,2012,7,2,"53688752, 56321356",42.7,42.5,47.4,3.5
steering wheel airbag -,toyota,corolla,2013,2018,7,2,"61092668, 64976681",296.0,294.9,297.5,3.5
strut rear -(left),toyota,corolla,1998,2001,7,2,"54554195, 59166460",59.2,35.5,59.5,3.5
strut rear -(right),toyota,corolla,1993,1997,7,2,"54338198, 54486882",47.4,41.4,47.6,3.5
tank lid -,toyota,corolla,2013,2018,7,2,"53902200, 54615871",47.4,47.2,47.6,3.5
rear sensor -(rear),skoda,octavia,2013,2020,6,2,"60280265, 64295768",71.05,70.8,117.4,3.0
rear axle beam -(rear),toyota,corolla,2019,2027,5,2,"60134631, 66455737",394.2,331.5,395.7,2.5
"drive shaft- , e-(left rear)",vw,golf,2013,2020,4,2,"54253079, 54268110",275.25,242.7,309.4,2.0
hub rear-(rear),toyota,corolla,2002,2007,3,2,"57894045, 58671369",94.7,94.7,94.9,1.5
"insp.pump diesel control unit- , e-",vw,golf,2004,2009,3,2,"54055672, 54055876",415.2,414.4,415.2,1.5
starter diesel -,toyota,corolla,2008,2012,3,2,"53860384, 61425451",94.8,67.4,94.9,1.5
suspension-(rear),skoda,octavia,2013,2020,3,2,"54242387, 54447761",47.4,47.2,47.6,1.5
trailing link rear-(left),skoda,octavia,2013,2020,3,2,"58937124, 64800345",83.7,82.6,84.5,1.5
wheel bearing spindle shaft-(right rear),skoda,octavia,2013,2020,3,2,"65037599, 65651367",214.2,212.3,214.2,1.5
actuator loom -(right rear),toyota,corolla,2008,2012,2,2,"54448595, 64311333",50.900000000000006,42.6,59.2,1.0
air purifier-,skoda,octavia,2005,2013,2,2,"54265057, 65484076",89.25,83.3,95.2,1.0
airbag control unit-,skoda,octavia,2013,2020,2,2,"53430480, 60048809",296.2,294.9,297.5,1.0
alternator -,toyota,corolla,1998,2001,2,2,"65618407, 65735586",112.5,106.6,118.4,1.0
bensin/dieselvärmare styrenhet-,skoda,octavia,2013,2020,2,2,"54410277, 63308601",94.4,94.4,94.4,1.0
brake caliper-(right rear),toyota,corolla,2019,2027,2,2,"63127091, 63350259",212.89999999999998,188.7,237.1,1.0
brake disc-(front),skoda,octavia,2005,2013,2,2,"54094531, 54099834",11.8,11.8,11.8,1.0
brake servo -,toyota,corolla,2008,2012,2,2,"54066047, 54472538",124.3,118.4,130.2,1.0
brake servo-,toyota,corolla,2019,2027,2,2,"54151623, 65861514",485.45,438.1,532.8,1.0
caliper bracket -(right front),toyota,corolla,2002,2007,2,2,"56121480, 57168980",32.05,30.4,33.7,1.0
caliper bracket -(right rear),toyota,corolla,2002,2007,2,2,"54537570, 62648588",50.349999999999994,47.4,53.3,1.0
carbon canister-,toyota,corolla,2002,2007,2,2,"53614662, 53997747",11.850000000000001,5.9,17.8,1.0
clutch cylinder slave -,toyota,corolla,1983,1987,2,2,"53663283, 57274845",25.7,23.7,27.7,1.0
coil -,toyota,corolla,1998,2001,2,2,"54316693, 54579565",47.4,47.4,47.4,1.0
coil -,toyota,corolla,2019,2027,2,2,"65592302, 65592303",47.4,47.4,47.4,1.0
contact roll airbag -,toyota,corolla,2013,2018,2,2,"54282984, 64976735",180.55,177.6,183.5,1.0
"dörr styrenhet- , e-(right)",vw,golf,2013,2020,2,2,"53410127, 53418701",106.8,106.8,106.8,1.0
engine diesel-,toyota,corolla,2002,2007,2,2,"53386263, 53492819",787.35,769.6,805.1,1.0
fuel filling pipe / tube-,toyota,corolla,1998,2001,2,2,"54505764, 54574525",53.2,47.4,59.0,1.0
fuel pump electric-,toyota,corolla,1993,1997,2,2,"54549674, 54558057",100.69999999999999,100.6,100.8,1.0
gear box bracket -,toyota,corolla,2002,2007,2,2,"54101695, 54604285",26.65,17.8,35.5,1.0
hand brake lever -,toyota,corolla,1988,1992,2,2,"54365356, 54365725",38.45,35.5,41.4,1.0
ignition diesel relay-,skoda,octavia,2005,2013,2,2,"62013012, 64632985",29.65,29.6,29.7,1.0
"inter axle compl.- , e-",vw,golf,2009,2013,2,2,"54398390, 60073930",425.4,424.6,426.2,1.0
komfort styrdon-,skoda,octavia,2013,2020,2,2,"62638840, 62886295",224.75,212.3,237.2,1.0
other relay -,toyota,corolla,1998,2001,2,2,"54574000, 54578012",35.5,35.5,35.5,1.0
other sensor-,skoda,octavia,2005,2013,2,2,"54638958, 54650190",41.5,35.4,47.6,1.0
rear axle beam-,toyota,corolla,2019,2027,2,2,"64546427, 65680830",415.2,415.2,415.2,1.0
"rear axle beam- , e-",vw,golf,2013,2020,2,2,"54245153, 54315789",363.29999999999995,360.9,365.7,1.0
signal horn-,skoda,octavia,2013,2020,2,2,"54419574, 60537565",34.8,33.9,35.7,1.0
starter diesel-,toyota,corolla,2008,2012,2,2,"56096102, 60805742",59.2,59.2,59.2,1.0
starter gasoline -,toyota,corolla,1998,2001,2,2,"53725225, 53821469",83.5,82.9,84.1,1.0
steering wheel airbag -,toyota,corolla,2008,2012,2,2,"53447491, 53487808",260.5,260.5,260.5,1.0
strut rear -(left),toyota,corolla,1983,1987,2,2,"53682952, 54479232",31.549999999999997,23.7,39.4,1.0
strut rear -(right rear),toyota,corolla,1988,1992,2,2,"54599783, 54609541",29.6,23.7,35.5,1.0
strut rear-(left),toyota,corolla,2002,2007,2,2,"53589483, 53650880",47.900000000000006,42.7,53.1,1.0
suspension -(rear),toyota,corolla,2013,2018,2,2,"61890414, 61890420",35.5,35.5,35.5,1.0
suspension-(rear),toyota,corolla,2019,2027,2,2,"59230184, 62122633",46.2,45.0,47.4,1.0
trailing link rear -(left),toyota,corolla,1993,1997,2,2,"53722743, 53722744",59.2,59.2,59.2,1.0
trailing link rear -(right),toyota,corolla,1993,1997,2,2,"53707144, 53725967",59.2,59.2,59.2,1.0
trailing link rear-(left),toyota,corolla,2019,2027,2,2,"53848801, 56933452",70.9,70.8,71.0,1.0
trailing link rear-(right),skoda,octavia,2005,2013,2,2,"54026243, 60226169",73.85,71.0,76.7,1.0
"wheel bearing spindle shaft- , e-(right rear)",vw,golf,2020,2027,2,2,"56566908, 64675772",227.9,219.0,236.8,1.0
wheel bearing spindle shaft-(left rear),skoda,octavia,2013,2020,2,2,"53397794, 62781323",225.35,213.5,237.2,1.0
wheel bearing spindle shaft-(left rear),toyota,corolla,2019,2027,2,2,"53853342, 56933448",203.5,200.5,206.5,1.0
