model,fold,train_rows,validation_rows,train_groups,validation_groups,MAE,RMSE,R2,median_AE,target_mean,target_std,prediction_std,n_rows
xgboost,1,11930,3978,951,317,42.66379201053794,100.9673266193317,0.9761899760327805,14.497207641601562,295.0064856711915,654.3361901705309,636.7248367077758,3978
xgboost,2,11930,3978,951,317,32.695926940519044,77.92452150808337,0.9799444033115221,13.266381835937494,257.87063851181495,550.2453111258035,531.9709084196546,3978
xgboost,3,11932,3976,951,317,31.14901810459927,59.89779569099335,0.9900989997355135,14.477368164062504,274.4740442655936,601.9650876511421,596.2616803588024,3976
xgboost,4,11932,3976,951,317,37.64123849389059,88.24736394153572,0.9789151083550673,14.536364746093746,262.014939637827,607.737527396807,564.0331793682701,3976
