category,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
gear box / drive axle / middle axle,934,713.2027837259101,259.6,700.9424675811915,63.01623440845837,25.27631249999972,116.36751837972106,21.51520936989078,12.260316144718509
engine,1260,434.755873015873,70.8,429.5641766150952,40.26484043910621,12.926937500000303,83.13249193077951,27.127766519522353,5.191696400777788
brakes,834,212.02458033573143,177.0,200.2115452762789,32.107932438691904,10.697624999999348,87.02949576111763,24.26873371213934,11.813035059452503
vehicle exterior / suspension,1311,143.12913806254767,72.4,127.03020310392526,31.33069430929375,10.547750000000349,59.29826610542153,23.95826045042533,16.09893495862241
fuel,957,111.57628004179729,94.8,105.417810854854,31.206263131313136,13.318999999999704,51.2101110017166,36.83129965808646,6.15846918694329
airbag,658,219.55516717325227,178.5,213.63167759353735,30.258966789694703,14.398803571428388,50.5646339334002,15.378332025293455,5.923489579714931
electric / transmitter / databox / sensor,2000,168.28615,72.9,161.85446674672613,24.003367613392847,11.107011904761734,48.32475215451196,24.962721377325657,6.431683253273869
