mileage_bin,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
"(58000.0, 98000.0]",1419,422.030584918957,160.7,415.37158128670404,41.43115423713883,13.922249999999963,81.47097002462063,20.78729768559287,6.659003632253013
"(1999.999, 58000.0]",1471,335.3389530931339,153.9,331.17985404419284,37.37954423389237,14.010499999999837,75.46465808379982,25.352945424571903,4.159099048941059
"(238000.0, 919294.0]",1432,189.81082402234634,85.30000000000001,180.51679209148045,34.774898682329045,15.280750000000122,66.90908150184671,30.195539165694196,9.294031930865907
"(98000.0, 153000.0]",1464,267.79371584699453,141.6,251.80002584874285,34.714194557677985,11.02399880952365,82.89649603643247,23.7776432295872,15.993689998251696
"(153000.0, 238000.0]",1404,234.0272792022792,89.8,223.76430314641001,32.649433286485895,11.218875000000658,65.4839589800173,25.409277741433247,10.262976055869192
,764,106.8511780104712,71.0,100.4311122299094,19.62014327863999,10.973042708333317,33.497299135718855,27.095638579617187,6.420065780561817
