price_bin,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
"(260.5, 4641.0]",1579,960.305193160228,471.9,926.033734022437,92.05229893769423,50.18900000000019,145.1761176936438,13.895458525773405,34.27145913779109
"(153.86, 260.5]",1603,202.45421085464753,201.0,182.36243224998512,33.203600233750706,16.91400000000033,52.94027687480931,16.1884143528114,20.091778604662405
"(76.9, 153.86]",1583,110.13051168667089,100.8,100.87088661710744,21.316784586980695,13.959999999999809,30.323006021913706,19.377813319276367,9.259625069563429
"(5.899, 47.4]",1762,36.04239500567537,35.650000000000006,50.79534526343174,16.493108722839324,8.019249999999921,29.422734990263752,56.25282651633482,-14.752950257756366
"(47.4, 76.9]",1427,61.32683952347582,59.3,63.69538741163896,9.701239107949302,6.387750000000054,16.576135306590256,16.491953543547154,-2.368547888163137
