fold,product_id,part_identity_group,part_name,brand,model,category,subcategory,quality_grade,mileage,year_mid,price,predicted_price,error,absolute_error,absolute_percentage_error,price_bin,mileage_bin,year_mid_bin
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,593.1,105.90016666666685,487.1998333333332,487.1998333333332,82.1446355308267,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,592.0,104.93499999999982,487.06500000000017,487.06500000000017,82.27449324324327,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,592.8,105.76966666666637,487.0303333333336,487.0303333333336,82.15761358524522,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,589.9,104.69000000000011,485.20999999999987,485.20999999999987,82.2529242244448,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,589.7,104.64850000000035,485.0514999999997,485.0514999999997,82.25394268271997,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,589.9,104.97825000000007,484.9217499999999,484.9217499999999,82.2040600101712,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,589.9,105.02750000000009,484.8724999999999,484.8724999999999,82.19571113748091,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,589.7,104.97850000000034,484.7214999999997,484.7214999999997,82.1979820247583,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,589.7,104.98400000000034,484.7159999999997,484.7159999999997,82.1970493471256,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4391.1,3906.9197499999964,484.180250000004,484.180250000004,11.026399990890754,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4377.1,3899.2057499999955,477.89425000000483,477.89425000000483,10.918056475748893,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4363.8,3892.571250000007,471.2287499999934,471.2287499999934,10.79858724047833,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4352.0,3884.927249999985,467.0727500000148,467.0727500000148,10.732370174632694,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
4,65552499,automatic gear -|skoda|octavia|cw300051n,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,61000.0,2023.5,4380.8,3929.6072500000046,451.1927499999956,451.1927499999956,10.299323182980178,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
2,61412856,rear gear / diff. -|skoda|octavia|fi27837687a,Rear gear / Diff. -,skoda,octavia,vehicle exterior / suspension,rear gear / diff.,A2,187000.0,2009.0,1182.6,754.6665000000029,427.933499999997,427.933499999997,36.185819381024615,"(260.5, 4641.0]","(153000.0, 238000.0]","(2004.5, 2010.0]"
1,60987037,gear box 6 speed -|toyota|corolla|fi27837687a,Gear Box 6 Speed -,toyota,corolla,gear box / drive axle / middle axle,gear box 6 speed,A2,250000.0,2010.0,1420.8,1009.0979999999978,411.70200000000216,411.70200000000216,28.976773648648802,"(260.5, 4641.0]","(238000.0, 919294.0]","(2004.5, 2010.0]"
4,65552499,automatic gear -|skoda|octavia|cw300051n,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,61000.0,2023.5,4403.0,3997.9222500000114,405.07774999998855,405.07774999998855,9.200039745627722,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
4,65552499,automatic gear -|skoda|octavia|cw300051n,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,61000.0,2023.5,4388.9,3996.2805000000158,392.6194999999839,392.6194999999839,8.945738112055047,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
4,64594102,"automatic gear - , e-|vw|golf|fi27837687a","Automatic gear - , e-",vw,golf,gear box / drive axle / middle axle,automatic gear,A2,74000.0,2023.5,3907.2,3519.199999999997,388.00000000000273,388.00000000000273,9.930384930385,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
4,65552499,automatic gear -|skoda|octavia|cw300051n,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,61000.0,2023.5,4375.6,3989.204500000023,386.39549999997735,386.39549999997735,8.830686077337447,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
4,64594102,"automatic gear - , e-|vw|golf|fi27837687a","Automatic gear - , e-",vw,golf,gear box / drive axle / middle axle,automatic gear,A2,74000.0,2023.5,3927.0,3540.825999999998,386.1740000000018,386.1740000000018,9.833817163228973,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
4,65552499,automatic gear -|skoda|octavia|cw300051n,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,61000.0,2023.5,4365.3,3979.429000000002,385.8709999999983,385.8709999999983,8.83950702128143,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
