part_name,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
Main cylinder -,35,352.9114285714286,589.7,89.25719523809529,265.87741904761896,484.7214999999997,358.79089033562076,46.99138671702701,263.65423333333325
Automatic gear -,42,3370.440476190476,2965.5,3176.384339285711,238.79075595238317,177.5999999999999,310.886135333215,6.409275382324028,194.0561369047654
"Automatic gear - , e-",24,3669.366666666667,3672.05,3525.1200833333346,219.95139583333318,234.44812500000808,265.3857307046973,5.8273164999805225,144.24658333333204
Engine Gasoline -,42,3900.0261904761905,3676.1499999999996,3976.424916666661,189.05747619047673,120.36862499998142,220.44168339245678,4.688961516354267,-76.39872619047048
Turbo aggregate -,36,303.82222222222225,373.1,133.4115665509259,180.5031140046297,234.07006250000012,206.71830584786792,52.83241348742756,170.41065567129633
"Diesel injection pump - , e-",20,285.75,316.85,185.84462500000006,162.33069999999992,141.11012499999998,169.49101365938986,58.007208703369166,99.90537499999995
"Hub rear - , e-(Rear)",42,223.2095238095238,236.5,63.464359523809556,159.74516428571425,173.72344999999993,164.20423035185308,70.4462731499969,159.74516428571425
"Gear Box 6 Speed - , e-",30,2199.2533333333336,2138.6,2253.368588888886,147.95255138888805,194.73924999999144,169.62959631194255,6.674284916633103,-54.11525555555231
Engine Diesel -,44,2133.7272727272725,949.0,2175.6031363636407,141.27853409090864,99.81887499999965,199.6749288812479,7.117534847594973,-41.87586363636795
Kamera Utvändig -,60,491.26166666666666,595.7,450.55713583333295,138.42604416666654,85.83807499999907,177.75515714748713,31.40395709277706,40.704530833333685
Gear Box 6 Speed -,39,1620.523076923077,1415.8,1632.3116730769202,122.41805769230767,73.91700000000628,180.4723135668854,10.483726492582344,-11.788596153843304
"Wheel bearing spindle shaft - , e-(Left rear)",30,222.14,213.85,108.4729827777778,113.6670172222222,132.0562916666666,122.4511063552403,50.49845982801239,113.6670172222222
"Gear Box 5 Speed - , e-",21,1983.1,2005.0,1977.5620952380937,107.573285714284,110.17900000000122,112.93083224965999,5.4087704755951735,5.537904761906356
Passenger airbag -,45,346.5177777777778,296.5,411.86881944444434,106.07113611111134,120.3590833333343,119.10911838464287,32.83303471140513,-65.35104166666656
Hybrid Batteri -,36,1276.5611111111111,1297.55,1275.5998402777755,98.92415972222186,76.7337500000009,116.72145836544537,7.776583277789822,0.9612708333356308
Gear Box 5 Speed -,44,825.9227272727272,943.5,873.2422613636362,95.10699999999953,68.94025000000084,133.65698828796863,11.178239655756265,-47.31953409090906
"Cylinder Head Diesel - , e-",24,203.58749999999998,197.2,156.77458333333348,89.54091666666646,69.49987499999969,106.89113068781114,43.845780676482256,46.8129166666665
"Gear Box cushion - , e-",24,47.35,47.349999999999994,129.94681250000002,82.59681250000001,86.19937500000019,82.84565407588813,174.43957129198375,-82.59681250000001
Diesel tank -,23,257.73478260869564,236.5,225.5347500000003,81.40585869565247,83.29149999999973,88.87784325237824,32.1396199945335,32.200032608695366
Deliverer -,43,171.41162790697675,142.3,104.21435232558105,76.87198488372105,51.321750000000435,86.86186418481499,41.91948445794686,67.1972755813957
"Turbo aggregate - , e-",30,375.21666666666664,366.8,359.9686416666663,70.2375083333332,74.45699999999891,79.88511944208399,18.60900288408974,15.248025000000345
Fuel tank Injection -,48,140.76666666666668,142.0,107.68710451388887,68.00996145833322,49.64462500000016,79.10675994059632,46.9861853461884,33.07956215277779
"Brake disc - , e-(Front)",30,34.336666666666666,29.6,97.97802499999999,64.10747499999998,12.558250000000111,93.42006026888261,146.24629777694616,-63.64135833333333
Diesel injection pump -,38,195.82105263157894,235.25,238.36785526315774,60.905842105263005,30.935750000000183,94.65000824846344,86.34603174301348,-42.54680263157879
Knee -,47,226.29574468085104,241.8,178.89603164893637,59.526085372340205,68.5481249999994,67.14071305579894,26.88078891357528,47.399713031914665
Hybrid Inverter -,24,1031.8374999999999,1063.15,1056.0656770833327,53.310572916668036,28.67299999999898,116.026359272376,7.669164494493727,-24.22817708333275
Rear axle beam -,41,336.9268292682927,318.5,318.85173780487753,50.07173780487807,45.51649999999739,62.96163893522028,14.1384761405875,18.075091463415188
