year_mid_bin,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
"(2016.5, 2023.5]",1426,466.92798036465643,212.75,448.39315616957714,46.62701282238601,15.121625000000492,102.07085278013352,14.987263631405202,18.53482419507929
"(2010.0, 2016.5]",3186,340.73157564344007,153.3,334.723915970354,39.857364274130866,15.252375000000065,76.9452843988671,25.018507113207022,6.007659673086072
"(2004.5, 2010.0]",1640,152.0853048780488,77.3,138.6122430852569,30.202801498802227,12.352999999999703,58.26589607210002,30.77527917289004,13.473061792791885
"(1984.499, 2004.5]",1702,97.16962397179789,59.0,94.85573383338696,18.928713075828163,8.911187499999901,33.03589016286591,29.180537184482993,2.3138901384109176
