fold,product_id,part_identity_group,part_name,brand,model,category,subcategory,quality_grade,mileage,year_mid,price,predicted_price,error,absolute_error,absolute_percentage_error,price_bin,mileage_bin,year_mid_bin
1,53881624,kamera utvändig -|toyota|corolla|fi05028803a,Kamera Utvändig -,toyota,corolla,electric / transmitter / databox / sensor,kamera utvändig,A2,4000.0,2023.0,296.0,678.2372499999994,-382.23724999999945,382.23724999999945,129.1342060810809,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
3,60095678,gear box 6 speed -|toyota|corolla|fi02042722a,Gear Box 6 Speed -,toyota,corolla,gear box / drive axle / middle axle,gear box 6 speed,A3,289000.0,2010.0,947.2,1320.1052499999932,-372.9052499999932,372.9052499999932,39.369219805742524,"(260.5, 4641.0]","(238000.0, 919294.0]","(2004.5, 2010.0]"
1,53838464,kamera utvändig -|toyota|corolla|fi05028803a,Kamera Utvändig -,toyota,corolla,electric / transmitter / databox / sensor,kamera utvändig,A1,2000.0,2023.0,296.0,651.8465000000027,-355.8465000000027,355.8465000000027,120.21841216216309,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4251.7,4543.841499999983,-292.14149999998335,292.14149999998335,6.871169179386677,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4253.2,4544.869500000002,-291.6695000000018,291.6695000000018,6.857648358882766,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4263.3,4549.62375000001,-286.32375000000957,286.32375000000957,6.716012244036534,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4276.3,4559.09499999998,-282.79499999998006,282.79499999998006,6.613076725205904,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4268.3,4547.091500000008,-278.79150000000755,278.79150000000755,6.5316753742709635,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,54279403,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,74000.0,2016.5,4289.9,4562.132999999991,-272.2329999999911,272.2329999999911,6.345905498962473,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
4,63353320,automatic gear-|toyota|corolla|fi27837687a,Automatic gear-,toyota,corolla,gear box / drive axle / middle axle,automatic gear,A1,51000.0,2023.0,2723.2,2966.996250000011,-243.79625000001124,243.79625000001124,8.952564997062693,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
2,62117685,automatic gear -|toyota|corolla|fi06509801a,Automatic gear -,toyota,corolla,gear box / drive axle / middle axle,automatic gear,C2,40000.0,2023.0,2643.3,2880.8360000000043,-237.53600000000415,237.53600000000415,8.986342829039614,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
3,63205720,"engine gasoline - , e-|vw|golf|fi27837687a","Engine Gasoline - , e-",vw,golf,engine,engine gasoline,A2,134000.0,2016.5,4080.0,4316.073500000008,-236.0735000000077,236.0735000000077,5.78611519607862,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
3,63205720,"engine gasoline - , e-|vw|golf|fi27837687a","Engine Gasoline - , e-",vw,golf,engine,engine gasoline,A2,134000.0,2016.5,4070.3,4305.357500000029,-235.057500000029,235.057500000029,5.774942878903987,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
3,63205720,"engine gasoline - , e-|vw|golf|fi27837687a","Engine Gasoline - , e-",vw,golf,engine,engine gasoline,A2,134000.0,2016.5,4068.9,4303.943250000026,-235.04325000002564,235.04325000002564,5.776579665266427,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
3,63205720,"engine gasoline - , e-|vw|golf|fi27837687a","Engine Gasoline - , e-",vw,golf,engine,engine gasoline,A2,134000.0,2016.5,4092.4,4326.501250000018,-234.10125000001835,234.10125000001835,5.720390235559044,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
1,58491195,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,293000.0,2016.5,949.0,1178.005,-229.0050000000001,229.0050000000001,24.13119072708115,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
1,58491195,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,293000.0,2016.5,946.1,1174.8364999999967,-228.73649999999668,228.73649999999668,24.176778353239264,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
1,60974455,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,244000.0,2016.5,949.0,1177.7085,-228.70849999999996,228.70849999999996,24.099947312961007,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
1,60974455,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,244000.0,2016.5,946.1,1174.5389999999968,-228.43899999999678,228.43899999999678,24.145333474262422,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
3,63205720,"engine gasoline - , e-|vw|golf|fi27837687a","Engine Gasoline - , e-",vw,golf,engine,engine gasoline,A2,134000.0,2016.5,4084.8,4312.142000000025,-227.3420000000251,227.3420000000251,5.565560125343348,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
1,58491195,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,293000.0,2016.5,952.0,1178.403,-226.40300000000002,226.40300000000002,23.781827731092438,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
1,60974455,gear box 5 speed -|skoda|octavia|fi27837687a,Gear Box 5 Speed -,skoda,octavia,gear box / drive axle / middle axle,gear box 5 speed,A2,244000.0,2016.5,952.0,1178.1122500000001,-226.11225000000013,226.11225000000013,23.751286764705895,"(260.5, 4641.0]","(238000.0, 919294.0]","(2010.0, 2016.5]"
3,59078044,automatic gear -|toyota|corolla|fi27837687a,Automatic gear -,toyota,corolla,gear box / drive axle / middle axle,automatic gear,A2,65000.0,2023.0,2604.8,2828.923249999989,-224.12324999998873,224.12324999998873,8.604240248771065,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
