quality_grade,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
B2,107,828.7280373831775,142.1,778.8904153037389,76.13432978971917,40.43799999999989,117.7465151603706,40.999341184107095,49.83762207943869
A3,147,292.5734693877551,119.1,292.4955581065758,36.1506578798188,22.44600000000031,53.95973043458643,20.30682785157489,0.07791128117930553
A1,870,293.23298850574713,106.8,288.6236023029556,34.750120281882936,15.004999999999846,64.25743477290932,31.874673936249952,4.609386202791568
A2,6803,257.50436572100546,95.6,248.09411636643725,33.774037459080866,11.694458333333515,72.18114948089242,24.172444160989926,9.410249354568187
