brand,rows,mean_price,median_price,mean_prediction,MAE,median_AE,RMSE,mean_APE,bias
vw,2682,282.68709917971665,95.2,271.8061926335402,36.614295846094834,14.774687499999889,66.70279122791035,31.12159257288764,10.880906546176442
skoda,2494,271.28572574178025,118.6,263.71570350030555,35.29730031766707,12.094833333333334,78.69850366414897,24.12477401321587,7.570022241474718
toyota,2778,263.30428365730745,94.9,254.8295181607969,32.035255048131944,10.075875000002725,70.39294953708453,20.72794674699283,8.474765496510507
