metric,baseline,ablated,delta_ablated_minus_baseline
mean_MAE,34.30721464291929,35.652841759674004,1.345627116754713
mean_RMSE,70.71360340436841,73.37673667115382,2.663133266785408
mean_R2,0.9862227059265446,0.9851767512271861,-0.0010459546993585311
mean_median_AE,12.078760416666476,12.616530543840994,0.5377701271745181
feature_count,66.0,63.0,-3.0
dropped_feature_count,0.0,3.0,3.0
