product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
65309287,ABS Hydraulic Aggregate -,595.0,A2,2019-2027,FI05351686A,2ZRFXE,17000,Toyota,Corolla,Brakes,ABS Hydraulic Aggregate,2026-02-12,2026-02-12T16:14:10+02:00
65250408,ABS Hydraulic Aggregate -,595.0,A2,2019-2027,FI27837687A,2ZRFXE,80000,Toyota,Corolla,Brakes,ABS Hydraulic Aggregate,2026-02-12,2026-02-12T16:14:10+02:00
63026248,ABS Hydraulic Aggregate -,595.0,A2,2019-2027,FI09389104A,2ZRFXE,81000,Toyota,Corolla,Brakes,ABS Hydraulic Aggregate,2026-02-12,2026-02-12T16:14:10+02:00
65680819,ABS Hydraulic Aggregate -,595.0,A2,2019-2027,FI27837687A,2ZRFXE,72000,Toyota,Corolla,Brakes,ABS Hydraulic Aggregate,2026-02-12,2026-02-12T16:14:10+02:00
66223587,ABS Hydraulic Aggregate -,595.0,A2,2019-2027,FI27837687A,M20AFXS,64000,Toyota,Corolla,Brakes,ABS Hydraulic Aggregate,2026-02-12,2026-02-12T16:14:10+02:00
60496428,Brake Caliper -(Left front),178.5,A2,2019-2027,FI27837687A,M20AFXS,147000,Toyota,Corolla,Brakes,Left front,2026-02-12,2026-02-12T16:14:10+02:00
65250414,Brake Caliper -(Left front),178.5,A2,2019-2027,FI27837687A,2ZRFXE,80000,Toyota,Corolla,Brakes,Left front,2026-02-12,2026-02-12T16:14:10+02:00
60058883,Brake Caliper-(Left front),178.5,A2,2019-2027,FI27837687A,2ZRFXE,119000,Toyota,Corolla,Brakes,Left front,2026-02-12,2026-02-12T16:14:10+02:00
63310200,Brake Caliper-(Left front),178.5,A2,2019-2027,FI27837687A,M20AFXS,102000,Toyota,Corolla,Brakes,Left front,2026-02-12,2026-02-12T16:14:10+02:00
63350262,Brake Caliper -(Left front),178.5,A2,2019-2027,FI27837687A,2ZRFXE,48000,Toyota,Corolla,Brakes,Left front,2026-02-12,2026-02-12T16:14:10+02:00
61076237,Brake Caliper -(Right front),178.5,A2,2019-2027,FI27837687A,2ZRFXE,50000,Toyota,Corolla,Brakes,Right front,2026-02-12,2026-02-12T16:14:10+02:00
62404916,Brake Caliper -(Right front),178.5,A2,2019-2027,FI27837687A,2ZRFXE,83000,Toyota,Corolla,Brakes,Right front,2026-02-12,2026-02-12T16:14:10+02:00
