product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date
53859829,Jarrusatula,120.0,A2,2019-2027,FI05028803O,M20AFXS,,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
53860488,Jarrusatula,120.0,A1,2019-2027,02705203947ALKUPER,2ZRFXE,2000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
53879067,Jarrusatula,120.0,A1,2019-2027,FI05028803O,M20AFXS,4000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
66220619,Jarrusatula,120.0,A2,2019-2027,FI05028803O,2ZRFXE,52000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
53606571,Jarrusatula,100.0,A1,2019-2027,FI02042722O,,20000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
65594835,Jarrusatula,100.0,A2,2019-2027,4775002490ALKUPER,2ZRFXE,141000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
65680818,Jarrusatula,100.0,A2,2019-2027,4775002490ALKUPER,2ZRFXE,72000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
66456204,Jarrusatula,95.0,A2,2019-2027,4775002490ALKUPER,2ZRFXE,62000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
56269539,Jarrusatula,80.0,A2,2008-2012,47750-02341ALKUPER,1ZRFAE,26000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
53421620,Jarrusatula,80.0,A2,2013-2018,4775002250ALKUPER,1ZRFAE,49000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
54151660,Jarrusatula,80.0,A1,2019-2027,FI06292622O,,18000,Toyota,Corolla,Jarrut,Vasen etu,2026-01-31
61076237,502 Bad Gateway,,,,,,,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
65399920,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,148000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
62404916,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,83000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
65250413,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,80000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
60058882,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,119000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
63310199,Jarrusatula,150.0,A2,2019-2027,47730F4010ALKUPER,M20AFXS,102000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
63350261,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,48000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53895810,Jarrusatula,140.0,A2,2019-2027,FI05351686O,M20AFXS,38000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53928356,Jarrusatula,140.0,A2,2019-2027,FI05351686O,2ZRFXE,21000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
64546413,Jarrusatula,150.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,89000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
65107262,Jarrusatula,140.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,115000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53859828,Jarrusatula,120.0,A2,2019-2027,FI05028803O,M20AFXS,,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53860450,Jarrusatula,120.0,A1,2019-2027,FI05028803O,M20AFXS,4000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53860490,Jarrusatula,120.0,A1,2019-2027,02705205145ALKUPER,2ZRFXE,2000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
58717890,Jarrusatula,120.0,A2,2019-2027,FI05028803O,2ZRFXE,58000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
66223635,Jarrusatula,120.0,A2,2019-2027,FI05028803O,2ZRFXE,52000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53577515,Jarrusatula,100.0,A2,2019-2027,FI02042722O,,20000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
65594826,Jarrusatula,100.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,141000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
65680816,Jarrusatula,100.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,72000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
66456203,Jarrusatula,95.0,A2,2019-2027,4773002590ALKUPER,2ZRFXE,62000,Toyota,Corolla,Jarrut,Oikea etu,2026-01-31
53859868,Jarrusatula,150.0,A2,2019-2027,FI05028803O,M20AFXS,,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
53860486,Jarrusatula,150.0,A1,2019-2027,46310-F4011ALKUPER,2ZRFXE,2000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
53867130,Jarrusatula,150.0,A1,2019-2027,46310-F4011ALKUPER,M20AFXS,4000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
58755577,Jarrusatula,150.0,A2,2019-2027,FI05028803O,2ZRFXE,58000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
53608961,Jarrusatula,150.0,A1,2019-2027,FI02042722O,,20000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
62418498,Jarrusatula,150.0,A2,2019-2027,4785002350ALKUPER,8NRFTS,17000,Toyota,Corolla,Jarrut,Vasen taka,2026-01-31
