model_type,stage,selection_mode,feature_variant,config_name,target_mode,feature_count,screen_validation_MAE,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_mean_median_AE,cv_folds
random_forest,refinement_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,refinement_search_008,raw,61,,105.33375020713859,24.470739257620817,265.62546293719214,105.4726988789871,0.7653515414053574,34.84526838701843,4
random_forest,refinement_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,refinement_anchor,raw,61,,105.64056193427558,24.870676919416177,280.1626400135552,105.25456497112877,0.7487579643801272,27.236731655523027,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_1,raw,61,92.92552787896949,105.64056193427558,24.870676919416177,280.16264001355523,105.25456497112879,0.7487579643801272,27.23673165552303,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_1,raw,65,95.98580575601677,106.49772185783223,25.48552258909827,285.03079833262154,106.8497136676369,0.7422654057025637,28.01478757440465,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,94.70172473464079,107.27964325311106,26.880466574112116,287.7110069569277,110.60439924942611,0.7346437192665728,27.51057035317786,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features,raw_half_features_leaf_1,raw,67,94.90958863633172,108.04955244892258,27.16141630815418,292.8033859715397,113.61447395305211,0.7235972235793818,26.820165773809652,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,95.35698785655758,108.07918194396152,25.946130641697696,287.8135428182256,108.09828082088332,0.736864053587316,27.16036458333342,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,95.6328015703322,108.91407351855625,27.144369844018744,294.36550820522945,115.69661392121141,0.7194692631186467,27.423952264682647,4
random_forest,refinement_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,refinement_search_020,raw,61,,113.37867203221157,28.65110484567646,308.776209764595,115.8816594300421,0.7174032115840824,35.06030067730842,4
random_forest,refinement_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,refinement_search_007,raw,61,,114.14190435733425,27.1774252902114,302.41578189689403,113.61697600896308,0.7210186154649751,34.60067993306724,4
