model_type,stage,selection_mode,feature_variant,config_name,target_mode,feature_count,screen_validation_MAE,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_mean_median_AE,cv_folds
random_forest,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_1,raw,61,92.92552787896949,105.64056193427558,24.870676919416177,280.16264001355523,105.25456497112879,0.7487579643801272,27.23673165552303,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_1,raw,65,95.98580575601677,106.49772185783223,25.48552258909827,285.03079833262154,106.8497136676369,0.7422654057025637,28.01478757440465,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,94.70172473464079,107.27964325311106,26.880466574112116,287.7110069569277,110.60439924942611,0.7346437192665728,27.51057035317786,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features,raw_half_features_leaf_1,raw,67,94.90958863633172,108.04955244892258,27.16141630815418,292.8033859715397,113.61447395305211,0.7235972235793818,26.820165773809652,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,95.35698785655758,108.07918194396152,25.946130641697696,287.8135428182256,108.09828082088332,0.736864053587316,27.16036458333342,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,95.6328015703322,108.91407351855625,27.144369844018744,294.36550820522945,115.69661392121141,0.7194692631186467,27.423952264682647,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_028,raw,62,94.85817137274941,114.65465055522202,27.101156409066324,311.58294467704934,107.41724829866611,0.7114517398854227,36.37279077529198,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_oem_number,random_search_028,raw,66,95.49259349659513,114.8625601199207,27.15329104377433,312.61668807954544,108.8234987437095,0.7104140117054472,35.996648752839235,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack,random_search_028,raw,62,93.87443650149322,114.88068166442497,26.86767939520679,313.6059302517077,109.52503310276644,0.7077414591665765,35.697238997374,4
random_forest,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set,random_search_028,raw,63,94.88542113510368,115.25685510277172,26.969808663353547,315.5357516876741,110.54624576802895,0.7041862489747255,36.141471009535834,4
