model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
random_forest,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_1,raw,61,92.92552787896949,239.1533514665925,0.8576044830644346,23.51265579936367
random_forest,trusted_extended_traficom_stack,random_search_028,raw,62,93.87443650149322,219.30441260520362,0.8802603142379994,40.4910473728018
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,94.70172473464079,245.8020428579202,0.8495769640441879,23.425464725075933
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_028,raw,62,94.85817137274941,219.84226545828267,0.8796722612618063,40.26223870108968
random_forest,trusted_manual_all_features_set,random_search_028,raw,63,94.88542113510368,221.2480807691369,0.8781284322587172,40.313769887617276
random_forest,trusted_recommended_features,raw_half_features_leaf_1,raw,67,94.90958863633172,243.66822975020796,0.8521772797130027,22.985499999999973
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,95.35698785655758,245.62458291793283,0.849794085322453,23.520749999999822
random_forest,trusted_recommended_features_without_oem_number,random_search_028,raw,66,95.49259349659513,220.77051062507115,0.8786539907756804,40.43224245207448
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,95.6328015703322,251.27190338361817,0.8428077129039506,23.330244908959305
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_028,raw,61,95.7360274069497,220.92857230863555,0.8784801720847843,40.58439949450795
random_forest,trusted_recommended_features,random_search_028,raw,67,95.7822582175154,222.18069989955364,0.8770988250586289,40.25558032971642
random_forest,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_1,raw,62,95.80358004377837,248.26172625848253,0.8465514052888987,23.565319071179267
random_forest,trusted_recommended_features_without_oem_number,raw_half_features_leaf_1,raw,66,95.93081450238796,248.13487733171328,0.8467081738500079,23.914250000000315
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_1,raw,65,95.98580575601677,246.4876401485927,0.8487366662941035,23.54510000000011
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_028,raw,65,96.36147184049027,222.1207564199016,0.8771651326206457,40.280728690436646
random_forest,trusted_recommended_features_without_listing_dates,random_search_028,raw,66,97.06936249623567,223.05146211045692,0.876133598027429,40.665492285876425
random_forest,trusted_manual_all_features_set,random_search_017,raw,63,101.08352467178668,248.89760860538118,0.8457643309731202,35.7651635443424
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_017,raw,61,101.58842959203922,248.64014477286102,0.8460832538288563,35.60925197689667
random_forest,trusted_recommended_features,random_search_017,raw,67,102.03602407704248,250.05697008842245,0.8443241294895624,35.60552462064737
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_017,raw,65,102.12170183480008,248.24707522378608,0.8465695161300785,35.89136608517258
random_forest,trusted_recommended_features_without_oem_number,random_search_017,raw,66,102.79388565689386,250.40120743668896,0.8438952165469762,35.71032260620541
random_forest,trusted_recommended_features_without_listing_dates,random_search_017,raw,66,103.7186311896521,253.85377714659074,0.8395607462645792,35.85823147202997
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_017,raw,62,104.28007120727428,258.6607033654476,0.8334271247957645,35.74118485110826
random_forest,trusted_manual_all_features_set,random_search_030,raw,63,104.67853432876026,224.3340663961256,0.8747049738606996,45.30045824822652
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_030,raw,65,105.24529193177655,224.3103280270723,0.8747314891577564,46.73044823036136
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_030,raw,61,105.363659562493,225.99750737721223,0.8728399552588798,45.38992049141552
random_forest,trusted_recommended_features,random_search_030,raw,67,105.74066500617957,227.00847355314542,0.8716997476489052,45.06611302005899
random_forest,trusted_recommended_features_without_oem_number,random_search_030,raw,66,106.00585779176184,225.6432612280473,0.8732382840052813,46.67045450313272
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_030,raw,62,106.18832572814672,228.15330131880782,0.8704024210875845,46.03113403923959
random_forest,trusted_recommended_features_without_listing_dates,random_search_030,raw,66,106.52714361803577,226.6945501283728,0.8720543476813853,46.48680358354012
random_forest,trusted_extended_traficom_stack,random_search_017,raw,62,106.69732641585746,270.258174704584,0.8181551306218343,35.75259652819042
random_forest,trusted_extended_traficom_stack,random_search_030,raw,62,107.06754819738396,229.32641429186666,0.8690662715868532,46.09769353129926
random_forest,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_2,raw,62,108.91279369761583,301.63394084297477,0.7734814410388684,24.979261692466533
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_2,raw,66,109.14245709175042,303.92760517613766,0.7700233890032521,24.07815893444669
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_2,raw,65,109.75913912365793,303.1122123268617,0.7712557202227381,24.752080945163875
random_forest,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_2,raw,61,109.78173147029679,304.91576653830316,0.7685255096836068,25.00719572921389
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_2,raw,62,110.76068724989901,314.9852348212716,0.7529847498142133,23.98171377171235
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_2,raw,63,110.94003511137127,314.72485003823095,0.7533929748377101,24.523242264571508
random_forest,trusted_recommended_features_without_oem_number,random_search_025,raw,66,111.15540300463832,240.34861822106413,0.856177566402134,42.729317590347726
random_forest,trusted_recommended_features,raw_half_features_leaf_2,raw,67,111.28202680123539,309.406638141117,0.7616568758187136,24.18652498276232
random_forest,trusted_manual_all_features_set,random_search_018,raw,63,111.43462028129464,307.25373252599,0.7649622026102909,23.535118482102746
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_025,raw,61,111.66923779545179,244.61739720871662,0.8510234010177742,42.51272056039832
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_025,raw,65,111.7967964866984,242.4879622884748,0.8536058434765685,42.35212903991038
random_forest,trusted_recommended_features_without_oem_number,raw_half_features_leaf_2,raw,66,112.3338889884933,313.6934134495209,0.7550067190784719,24.73451757165654
random_forest,trusted_recommended_features_without_listing_dates,random_search_018,raw,66,112.34018090253694,308.3918009518458,0.7632178170566564,23.831643116551618
random_forest,trusted_manual_all_features_set,random_search_009,raw,63,112.62947932461213,253.03365621961828,0.8405957282533577,43.72815955935525
random_forest,trusted_extended_traficom_stack,random_search_009,raw,62,112.69310033763652,251.14939832187198,0.8429609505428315,43.482979971325534
random_forest,trusted_extended_traficom_stack,random_search_018,raw,62,112.83430940543172,314.1453818066284,0.7543002395984668,23.565296442761934
random_forest,trusted_recommended_features,random_search_009,raw,67,113.06565678335113,252.11887178860954,0.8417462230771852,46.359654782691976
random_forest,trusted_recommended_features,random_search_018,raw,67,113.08980441949296,310.84106249795457,0.7594418122834867,24.097523199618706
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_009,raw,61,113.75361016531451,257.0621704064844,0.8354796162750264,43.7029263971079
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_009,raw,62,113.83990513529243,256.7693984699669,0.8358541523044571,43.36481113942435
random_forest,trusted_recommended_features_without_listing_dates,random_search_009,raw,66,113.87141720918477,253.11037055503607,0.8404990577418137,44.00443551783121
random_forest,trusted_recommended_features,random_search_025,raw,67,114.18164087252016,250.1171869367905,0.8442491430653775,42.719551628835575
random_forest,trusted_recommended_features_without_oem_number,random_search_009,raw,66,114.53687616091679,256.4697401258836,0.8362370559634168,45.20163998997096
random_forest,trusted_recommended_features_without_listing_dates,random_search_025,raw,66,114.66491283096143,251.1677233758011,0.8429380330757252,42.95968896324315
random_forest,trusted_extended_traficom_stack,random_search_025,raw,62,114.99193066299813,259.01361032891367,0.8329722831545128,42.12744816704828
random_forest,trusted_manual_all_features_set,random_search_025,raw,63,115.01275524136729,257.8550791443307,0.8344631241502205,42.212197928102086
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_018,raw,61,115.2055624334801,315.90631777688594,0.7515379886844593,26.740389721933923
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_025,raw,62,115.3224569055603,257.4400075001489,0.8349956276182734,42.66718906271731
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_009,raw,65,115.34008552218683,259.7695550653995,0.8319959022078246,46.568150952862354
random_forest,trusted_recommended_features_without_oem_number,random_search_018,raw,66,115.50466252341296,316.7472131674719,0.7502134907606361,24.974064467527583
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_018,raw,65,115.5953965115865,319.7174571786923,0.7455068635210622,25.241363820127845
random_forest,trusted_manual_all_features_set_without_oem_number,random_search_018,raw,62,116.44606784829223,322.73206379945776,0.7406850208938398,24.82782686186601
random_forest,trusted_manual_all_features_set,random_search_008,raw,63,116.55484797508642,243.56747573078937,0.852299500439534,51.25526262140285
random_forest,trusted_extended_traficom_stack_without_oem_number,random_search_008,raw,61,117.61476395114813,243.44344515610067,0.8524498876244199,51.12105411182712
