model_type,feature_variant,config_name,target_mode,feature_count,screen_validation_MAE,screen_validation_RMSE,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_mean_R2
xgboost,trusted_recommended_features,refinement_search_009,raw,67,21.46850219329057,51.1366209398784,28.922805294045446,7.319825141581778,74.54816320898485,0.9818656905551626
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_054,raw,65,22.252180910082245,54.25671339491495,29.456897140496714,9.165870803015796,81.34486127439467,0.9781499272827701
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_053,raw,65,22.22379629204018,56.214543792895334,29.538789247355673,9.626881915207376,83.10468130938531,0.9766098236951996
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_017,raw,65,22.252577862646397,58.41705672539007,29.81748986207017,9.739718897584055,87.28444621775178,0.974291297389701
xgboost,trusted_recommended_features,refinement_search_007,raw,67,20.364154374352427,48.19210571548068,30.325303894849554,6.394946378593303,77.33860852012987,0.9807496868730377
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_053,raw,63,21.664080210675003,51.487747144206736,30.365058154938616,8.697388094097732,86.5915526061265,0.9752268983445671
xgboost,trusted_extended_traficom_stack,random_search_053,raw,62,21.465722218993996,52.26911304690628,30.442734819982963,8.847521825134887,86.35124621520953,0.9751889748413181
xgboost,trusted_registry_lifecycle_stack,random_search_053,raw,40,21.600197296413608,55.82459871677303,30.582826439168155,8.314166790186144,88.21610183742754,0.9744925589479084
xgboost,trusted_recommended_features_without_date_offsets,random_search_054,raw,66,21.85972856122972,51.43199464121781,30.854136091444026,10.53027070320749,83.76279948365024,0.977251686735887
xgboost,trusted_recommended_features,random_search_054,raw,67,21.898196743591928,52.4884163919594,30.93252373726446,10.761485392157757,84.20741686712041,0.9771256422514716
xgboost,trusted_recommended_features,refinement_search_015,raw,67,20.758659587744923,47.30484988684997,30.989322418596153,10.529778499883987,85.33978584024275,0.974956880708872
xgboost,trusted_recommended_features,refinement_search_003,raw,67,21.14878949469685,47.256004077580215,31.26700479509737,8.619281680921102,82.85379647759962,0.977939209007029
xgboost,trusted_recommended_features,refinement_search_008,raw,67,20.222192377391973,50.946443095663724,31.32663785870458,10.936957438107772,90.33638110647394,0.9721494269046709
xgboost,trusted_recommended_features,refinement_search_001,raw,67,20.398186979412397,52.615233830368844,31.51511215435831,10.335991357959799,92.48644293879212,0.9724684761804646
xgboost,trusted_recommended_features,refinement_search_022,raw,67,21.079881836804788,50.20891349190667,31.55692739901786,9.864350053572817,88.98008235776733,0.9739399713323517
xgboost,trusted_recommended_features,refinement_search_014,raw,67,17.798238703906716,48.94972175614658,32.01186677454656,10.846776562218055,99.92773447299501,0.9667787774067673
xgboost,trusted_recommended_features_without_date_offsets,random_search_053,raw,66,20.892339997548476,50.199436316433584,32.03440976300393,11.711971764425721,92.59814512608907,0.9708484871737497
xgboost,trusted_recommended_features,random_search_053,raw,67,20.53248536204219,50.67159662784633,32.212221734827814,11.414234939993598,92.63862247750558,0.9708202409773522
xgboost,trusted_recommended_features,refinement_anchor,raw,67,20.53248536204219,50.67159662784633,32.212221734827814,11.414234939993598,92.63862247750558,0.9708202409773522
xgboost,trusted_extended_traficom_stack,random_search_017,raw,62,21.88922677274425,53.265297764061046,32.44005823904355,9.414121927719522,92.37385000629239,0.972357126432297
xgboost,trusted_recommended_features,refinement_search_018,raw,67,20.46906526699936,68.95133370575678,33.322734772262095,10.700009432350912,123.68153996811846,0.9521378126087565
xgboost,trusted_recommended_features,refinement_search_006,raw,67,20.062506295040983,66.68080527817102,34.01350932324685,11.863552015383886,126.43212501959138,0.9497593230463044
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_058,log,39,23.647168817647486,79.69102636270705,34.36145424471648,10.218078523940394,127.34918535049712,0.9491161958054611
xgboost,trusted_recommended_features,refinement_search_023,raw,67,21.15263079230499,67.30122242287621,35.585733336679965,12.078788365745758,127.10749877632824,0.9503905630426871
