split,mean,median,std,min,max,p25,p75
train,266.28010088272384,100.69999999999999,595.930426405967,5.9,4641.0,53.4,236.0
validation,294.04141592920354,107.1,633.9521242303524,5.9,4343.5,56.1,236.0
test,268.6426886792453,94.7,612.789661512209,5.9,4641.0,55.35,230.225
