subcategory,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
aktivt kollisionsskydd sensor,18,0.227,24,1.4159,6,0.3538,48,1.1889
air throttle housing / throttle housing,23,0.29,18,1.0619,7,0.4127,48,0.7719
air-flow sensor,32,0.4035,0,0.0,12,0.7075,44,0.7075
clutch cylinder main,42,0.5296,0,0.0,1,0.059,43,0.5296
rain sensor,0,0.0,6,0.354,36,2.1226,42,2.1226
crankshaft,6,0.0757,24,1.4159,12,0.7075,42,1.3403
right upper,18,0.227,18,1.0619,6,0.3538,42,0.835
engine block,42,0.5296,0,0.0,0,0.0,42,0.5296
fuel filling pipe / tube,0,0.0,40,2.3599,0,0.0,40,2.3599
hybrid batteri,0,0.0,40,2.3599,0,0.0,40,2.3599
power steering control unit,14,0.1765,0,0.0,26,1.533,40,1.533
clutch cylinder slave,16,0.2018,16,0.944,8,0.4717,40,0.7422
hybrid inverter,40,0.5044,0,0.0,0,0.0,40,0.5044
distributors,39,0.4918,1,0.059,0,0.0,40,0.4918
distributors vacuum regulator,32,0.4035,8,0.472,0,0.0,40,0.472
bränslepump styrenhet,36,0.454,0,0.0,0,0.0,36,0.454
other sensor,12,0.1513,0,0.0,18,1.0613,30,1.0613
fly wheel automat,18,0.227,12,0.708,0,0.0,30,0.708
fuel tank lid,18,0.227,12,0.708,0,0.0,30,0.708
dipstick,12,0.1513,12,0.708,6,0.3538,30,0.5566
seat assembled,12,0.1513,12,0.708,6,0.3538,30,0.5566
dragkrok styrenhet,23,0.29,0,0.0,7,0.4127,30,0.4127
baklucka styrenhet,30,0.3783,0,0.0,0,0.0,30,0.3783
inverter 12 -> 220 v,30,0.3783,0,0.0,0,0.0,30,0.3783
left upper,30,0.3783,0,0.0,0,0.0,30,0.3783
thermostat housing / cap,30,0.3783,0,0.0,0,0.0,30,0.3783
other transmitters,24,0.3026,6,0.354,0,0.0,30,0.354
förpump diesel,24,0.3026,0,0.0,6,0.3538,30,0.3538
gear regulator,24,0.3026,0,0.0,6,0.3538,30,0.3538
stolsvärme styrenhet/relä,24,0.3026,0,0.0,6,0.3538,30,0.3538
cylinder head diesel,18,0.227,6,0.354,6,0.3538,30,0.127
brake intensity regulator,25,0.3153,0,0.0,0,0.0,25,0.3153
bensin/dieselvärmare styrenhet,0,0.0,24,1.4159,0,0.0,24,1.4159
other airbags,24,0.3026,0,0.0,0,0.0,24,0.3026
oil filter holder,12,0.1513,0,0.0,6,0.3538,18,0.3538
abs control unit,18,0.227,0,0.0,0,0.0,18,0.227
hybrid converter,18,0.227,0,0.0,0,0.0,18,0.227
sensor tire pressure,18,0.227,0,0.0,0,0.0,18,0.227
ignition module,0,0.0,0,0.0,12,0.7075,12,0.7075
cylinder head fuel,6,0.0757,6,0.354,0,0.0,12,0.354
roof assembled,6,0.0757,0,0.0,6,0.3538,12,0.3538
wiper arm motor relay,6,0.0757,0,0.0,6,0.3538,12,0.3538
sensor acceleration,6,0.0757,0,0.0,0,0.0,6,0.0757
mapp sensor,0,0.0,0,0.0,3,0.1769,3,0.1769
