seed,row_balance_score,price_balance_score,combined_score,max_row_pct_deviation,train_rows,train_row_pct,train_components,train_price_mean,train_price_median,validation_rows,validation_row_pct,validation_components,validation_price_mean,validation_price_median,test_rows,test_row_pct,test_components,test_price_mean,test_price_median
32,0.09363130465507297,0.2347056821739531,0.32833698682902607,0.04681565232753826,7930,70.04681565232754,510,266.28010088272384,100.69999999999999,1695,14.972175602861936,178,294.04141592920354,107.1,1696,14.981008744810529,198,268.6426886792453,94.7
83,0.03798251037894218,0.3385716435736865,0.3765541539526287,0.01899125518947109,7926,70.01148308453317,488,273.1944991168307,106.4,1696,14.981008744810529,198,269.49251179245283,82.8,1699,15.007508170656303,200,260.87139493819893,95.2
23,0.17931278155641017,0.23426961372034194,0.4135823952767521,0.08965639077820065,7932,70.06448193622472,477,272.5744578920827,100.8,1701,15.025174454553486,207,260.57554379776604,94.4,1688,14.9103436092218,202,272.7013033175355,112.6
88,0.058298736860704636,0.38425191387197905,0.4425506507326837,0.029149368430353206,7928,70.02914936843035,512,261.80760595358225,100.6,1695,14.972175602861936,191,264.34194690265485,94.6,1698,14.998675028707712,183,319.1690812720848,109.55
45,0.13868032859287815,0.30559978730490495,0.4442801158977831,0.06934016429644174,7920,69.95848423284163,489,279.9555176767677,100.6,1695,14.972175602861936,196,257.55014749262534,106.4,1706,15.069340164296442,201,241.39753810082064,94.9
36,0.005299885169158358,0.4549233503814559,0.4602232355506143,0.002649942584582732,7925,70.00264994258458,503,268.74347003154577,107.1,1698,14.998675028707712,193,295.8967608951708,82.9,1698,14.998675028707712,190,255.23833922261485,94.9
87,0.09363130465507297,0.39109328032824947,0.48472458498332244,0.04681565232753826,7930,70.04681565232754,500,282.0253467843632,106.2,1695,14.972175602861936,191,249.14820058997051,94.9,1696,14.981008744810529,195,239.88926886792453,96.25
30,0.14663015634661392,0.3508326830667724,0.4974628394133863,0.07331507817330873,7933,70.07331507817331,510,280.7240388251607,101.1,1690,14.928009893118983,179,274.9215976331361,95.2,1698,14.998675028707712,197,220.26978798586572,95.2
55,0.09363130465506941,0.4197365438190619,0.5133678484741313,0.04681565232753826,7930,70.04681565232754,501,273.2936948297604,118.3,1693,14.954509318964757,185,257.394683992912,100.6,1698,14.998675028707712,200,272.45653710247353,82.6
10,0.022966169066336306,0.5164645694991443,0.5394307385654806,0.011483084533168153,7926,70.01148308453317,497,273.36685591723443,112.3,1697,14.98984188675912,207,242.2940483205657,89.0,1698,14.998675028707712,182,287.24422850412253,89.6
21,0.21464534935076962,0.33012093528042996,0.5447662846311996,0.10732267467538215,7935,70.0909813620705,495,278.2772148708255,106.6,1700,15.016341312604894,201,250.9114117647059,94.9,1686,14.892677325324618,190,255.59922894424673,94.9
76,0.10864764596767706,0.4728183593898163,0.5814660053574934,0.05432382298383587,7930,70.04681565232754,514,273.93409836065575,106.1,1692,14.945676177016164,192,302.14237588652486,94.4,1699,15.007508170656303,180,224.89529134785167,106.6
42,0.12101404469570021,0.4680659605477613,0.5890800052434615,0.060507022347849215,7921,69.96731737479021,513,270.8246938517864,106.2,1695,14.972175602861936,185,230.11492625368732,95.2,1705,15.06050702234785,188,311.06873900293255,94.6
56,0.05564879427612546,0.5469663724838596,0.602615166759985,0.027824397138063617,7926,70.01148308453317,478,290.8452308856926,107.1,1700,15.016341312604894,211,211.8514705882353,94.4,1695,14.972175602861936,197,236.12542772861354,100.5
20,0.050348909106974205,0.5604819208394799,0.6108308299464541,0.025174454553486214,7924,69.99381680063598,505,270.13806158505804,106.1,1696,14.981008744810529,185,234.65047169811322,106.8,1701,15.025174454553486,196,309.86372721928274,84.1
74,0.02031622648176601,0.6063666078350719,0.6266828343168379,0.01015811324088034,7925,70.00264994258458,488,285.94034069400635,112.1,1699,15.007508170656303,207,244.1941141848146,83.0,1697,14.98984188675912,191,226.66847377725398,100.6
58,0.04063245296351248,0.5996509912241086,0.6402834441876211,0.020316226481753574,7927,70.02031622648175,506,291.3500189226694,106.1,1698,14.998675028707712,175,242.46448763250885,94.8,1696,14.981008744810529,205,203.05607311320753,94.9
18,0.022966169066336306,0.6213045540690187,0.644270723135355,0.011483084533168153,7926,70.01148308453317,522,274.6647615442846,100.6,1697,14.98984188675912,188,244.02339422510312,94.4,1698,14.998675028707712,176,279.4574793875147,142.3
38,0.12101404469570021,0.539516150395325,0.6605301950910252,0.060507022347849215,7921,69.96731737479021,503,269.07899255144554,118.4,1705,15.06050702234785,175,292.9467448680352,90.0,1695,14.972175602861936,208,256.5017699115044,88.9
54,0.03798251037894751,0.6399146087378231,0.6778971191167706,0.01899125518947109,7925,70.00264994258458,529,271.6993943217666,106.2,1700,15.016341312604894,175,228.69329411764704,89.2,1696,14.981008744810529,182,308.7400353773585,117.9
19,0.18196272414098402,0.4960056570872211,0.6779683812282051,0.09098136207049379,7935,70.0909813620705,498,270.00671707624446,112.1,1691,14.936843035067573,205,252.94488468361916,82.8,1695,14.972175602861936,183,292.26330383480826,94.9
77,0.11129758855224736,0.5717573828346308,0.6830549713868782,0.05564879427612368,7931,70.05564879427612,515,262.4025974025974,101.4,1692,14.945676177016164,182,233.10969267139478,95.2,1698,14.998675028707712,189,347.5163722025913,94.9
9,0.09363130465506941,0.5947077624671714,0.6883390671222408,0.04681565232753826,7930,70.04681565232754,484,283.56408575031526,106.1,1693,14.954509318964757,214,279.10679267572357,85.4,1698,14.998675028707712,188,202.84358068315666,106.65
81,0.05034890910697598,0.6389642572801939,0.6893131663871699,0.025174454553486214,7922,69.9761505167388,514,281.57191365816715,118.3,1701,15.025174454553486,200,251.8657260435038,94.7,1698,14.998675028707712,172,239.4482332155477,82.6
