seed,distribution_column,value,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
0,brand,toyota,2941,37.012333249433674,478,28.217237308146398,475,28.25698988697204,3894,8.795095941287276
0,brand,vw,2382,29.977347092876922,683,40.31877213695395,725,43.12908982748364,3790,13.151742734606717
0,brand,skoda,2623,33.0103196576894,533,31.463990554899645,481,28.61392028554432,3637,4.39639937214508
0,model,corolla,2941,37.012333249433674,478,28.217237308146398,475,28.25698988697204,3894,8.795095941287276
0,model,golf,2382,29.977347092876922,683,40.31877213695395,725,43.12908982748364,3790,13.151742734606717
0,model,octavia,2623,33.0103196576894,533,31.463990554899645,481,28.61392028554432,3637,4.39639937214508
0,category,electric / transmitter / databox / sensor,1789,22.514472690661968,507,29.929161747343564,516,30.696014277215944,2812,8.181541586553976
0,category,vehicle exterior / suspension,1323,16.649886735464385,252,14.87603305785124,223,13.265913146936349,1798,3.383973588528036
0,category,engine,1175,14.787314372011076,313,18.47697756788666,292,17.37061273051755,1780,3.6896631958755837
0,category,gear box / drive axle / middle axle,1148,14.447520765164862,78,4.6044864226682405,204,12.135633551457465,1430,9.843034342496622
0,category,fuel,924,11.628492323181474,295,17.414403778040143,167,9.934562760261748,1386,7.479841017778394
0,category,brakes,1015,12.773722627737227,158,9.327036599763874,80,4.759071980963712,1253,8.014650646773514
0,category,airbag,572,7.1985904857790075,91,5.371900826446281,199,11.838191552647235,862,6.4662907262009535
0,subcategory,all,788,9.916939340548705,154,9.090909090909092,106,6.305770374776919,1048,3.6111689657717863
0,subcategory,rear,196,2.4666498867354645,55,3.2467532467532463,64,3.8072575847709698,315,1.3406076980355053
0,subcategory,right,236,2.9700478228039264,40,2.3612750885478158,21,1.2492563950029745,297,1.720791427800952
0,subcategory,left,201,2.5295746287440224,13,0.7674144037780402,63,3.7477691850089236,277,2.9803547812308837
0,subcategory,right rear,237,2.9826327712056377,0,0.0,18,1.0707911957168352,255,2.9826327712056377
0,subcategory,left rear,227,2.8567832871885224,17,1.0035419126328218,5,0.297441998810232,249,2.5593412883782904
0,subcategory,left front,188,2.3659702995217717,7,0.4132231404958678,5,0.297441998810232,200,2.06852830071154
0,subcategory,right front,197,2.4792348351371762,0,0.0,2,0.1189767995240928,199,2.4792348351371762
0,subcategory,either side,101,1.2710797885728669,20,1.1806375442739079,7,0.41641879833432477,128,0.854660990238542
0,subcategory,passenger airbag,85,1.069720614145482,12,0.7083825265643447,4,0.2379535990481856,101,0.8317670150972964
0,subcategory,engine casing,37,0.4656430908633275,6,0.3541912632821724,57,3.390838786436645,100,3.036647523154473
0,subcategory,actuator loom,30,0.37754845205134663,52,3.0696576151121606,18,1.0707911957168352,100,2.692109163060814
0,subcategory,steering wheel airbag,55,0.6921721620941355,0,0.0,45,2.676977989292088,100,2.676977989292088
0,subcategory,tank lid,34,0.4278882456581928,17,1.0035419126328218,49,2.9149315883402735,100,2.487043342682081
0,subcategory,caliper bracket,26,0.32720865844450037,29,1.7119244391971666,45,2.676977989292088,100,2.3497693308475878
0,subcategory,insp.pump diesel control unit,58,0.7299270072992701,6,0.3541912632821724,36,2.1415823914336705,100,1.787391128151498
