model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_anchor,raw,66,34.47957930605841,2.7151052462623078,70.3158412352766,9.242553827837947,0.9863514393980539,0.002518644549238187,12.362859895833104,1.12038618990506,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_023,raw,66,37.98000707259629,3.1107078782963806,73.49605968617007,8.267682676407953,0.9849648431655165,0.0030317959680071778,18.005954536016283,1.9833405827125188,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_022,raw,66,38.60535933942435,3.566071138568217,75.96136186045604,9.191569666660326,0.9837700479933782,0.004182672749483579,17.46543958799002,1.8262766755310282,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_007,raw,66,40.94666293761846,4.271841841610635,84.4828502944909,11.885139118909684,0.9796993203646591,0.006226784819937248,18.266460272456683,1.6397026659682512,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_013,raw,66,43.851278088626366,4.505912021033236,87.49050908084293,11.656401093959932,0.9782535886635422,0.006524295062390604,21.93646833035192,1.3328250750812296,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_008,raw,66,45.82758373079487,3.0851672945665043,74.77023507525162,10.700567168714802,0.9846730717075992,0.0026893879639229563,28.999734405191628,2.985615209801888,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_020,raw,66,46.23554459127571,1.936373425176653,79.83530104834222,7.721348685342133,0.9822773436527432,0.0033671372701620035,27.735666648690113,2.44441671013757,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_021,raw,66,47.1222833448428,2.9721100140966805,83.31157576640965,9.346993795723995,0.9804138769714831,0.005175529610647666,28.851729961062702,2.605083613642344,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_015,raw,66,54.547606794110145,2.1928666519130737,82.99012440443447,7.060530329099381,0.981025177905936,0.002173991390455237,37.762379541095854,3.458378657750009,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,refinement_search_024,raw,66,57.779419444466875,1.9252437802984326,88.26164078377818,6.542972199829598,0.9782520533797805,0.004218636344809773,41.09919258242761,2.1526861778897293,4
