model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,raw_half_features_leaf_1,raw,66,34.479579306058405,2.715105246262306,70.3158412352766,9.242553827837948,0.9863514393980539,0.002518644549238187,12.362859895833104,1.12038618990506,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_1,raw,65,34.68666052045825,2.8593410522041585,71.61894015217783,9.210905345395924,0.9857865079433011,0.002806539839434071,12.980007812500052,1.477537575006704,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_1,raw,62,35.585840518537594,2.6469947405328553,73.62662286888047,8.988154122067963,0.9849975523386937,0.0027384216785558166,12.390267996589394,1.2388349227315725,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,35.66863182191352,2.1188289023624214,71.91317415008199,7.955112507664017,0.9857880927795017,0.0019122140274133476,14.855856770833384,1.257706574093429,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,raw_half_features_leaf_2,raw,66,35.7043503561289,3.473697855184102,73.10567180609605,8.189962602045421,0.9850331545138373,0.003427506902194126,14.03880580183701,1.788817558580367,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_1,raw,61,35.73093121869186,2.5620777808200654,73.5128301951533,8.982375089186911,0.9850726206565074,0.0025947175524246072,13.075080576888347,1.4005611308096462,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,raw_half_features_leaf_1,raw,67,35.828305216369415,2.4427629540779496,72.640541059024,8.207729269101335,0.9854970260916198,0.002088899590327723,14.546780208333569,1.2729519165721062,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_2,raw,65,36.069479206794,3.6394249975875432,74.4622968181749,9.167643382154754,0.9844126363903304,0.003921926255659479,14.390270747004461,1.889494653757083,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_2,raw,62,36.32869560738856,3.412169174197291,74.59434291950166,8.864784512253097,0.9843877881162636,0.003762541248423861,14.260825136264376,1.6704810506764065,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,36.490052476399086,1.9029911381893327,74.82599772703297,7.5830538519993524,0.9845857763181067,0.0020685060540363456,14.525232680197266,1.0689376988693757,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_018,raw,66,36.58626068686988,3.1703964433887744,73.81993761329826,8.3601168197677,0.984793017223628,0.003247556806723524,15.4230077232804,1.4729159407993673,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,36.623379386360455,2.106289101426289,74.4003279032271,7.545908138782331,0.9847680045995744,0.001962199383063598,14.747526705700942,1.1329138299631782,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_2,raw,61,36.69351279079897,3.4571406961176154,75.2317711097908,9.213107416336165,0.984079581623154,0.004060386966337139,14.480997499607422,1.7422547613307564,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_018,raw,65,36.89791493148596,2.8453170505942897,74.38235745253428,8.283188167461123,0.9845604213878003,0.003267173866629922,15.298806678814923,1.7975461507795243,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,raw_half_features_leaf_2,raw,67,37.49217656107905,2.6605063083011333,76.18103319479947,6.575649809277024,0.9838164024535068,0.0031259544214896203,16.301136649347317,1.7427180938213012,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_2,raw,66,37.522227619805136,2.3572612461971545,76.43860721551445,6.269674567417548,0.9837362692964553,0.0029299438518570623,16.042301665277375,1.3526577582733506,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_018,raw,62,37.5475914240904,2.2925367975489235,75.53385069536586,7.343845591127912,0.9841334629141288,0.0029317936096239935,15.345049086746252,0.971480204549786,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,random_search_018,raw,61,37.68724934374231,2.4480486976491678,76.83477694379808,8.369783700849352,0.9835627884708621,0.0032745311490534573,15.426097570195385,1.283038361260731,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_oem_number,random_search_057,raw,66,38.00759773559682,3.3112288104928496,74.71351053399762,8.680707067362315,0.9843766695815144,0.0036037761952384412,16.899626449306584,1.7397340515280737,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set,raw_half_features_leaf_2,raw,63,38.0196651254173,2.343521123199452,77.10634432719506,7.017049373256376,0.9833815930864451,0.0034730720543861586,16.45700740455826,1.6368565547652913,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack,raw_half_features_leaf_2,raw,62,38.069960163692016,2.448429945021044,77.23405017164006,7.171826192016727,0.9833197299140755,0.0035386931498013327,16.455590225561586,1.6470155961016724,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,random_search_057,raw,65,38.08164696279911,3.479909766310288,75.0010664088243,8.972189840941146,0.9842289271596091,0.003793073429963377,17.0855357347408,1.361798035492911,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features,random_search_018,raw,67,38.5454924021024,2.5336936432015844,76.96859709930439,6.835827398646962,0.9836005566180736,0.002521754451389358,16.717983252942815,1.197315706097997,4
random_forest,strict_part_identity_grouped_cv,trusted_extended_traficom_stack_without_oem_number,random_search_057,raw,61,38.57446341632641,2.95464478743444,75.2143978420902,8.731851348862806,0.9841964401760351,0.003551969394380082,16.564822507539635,1.7217525531035585,4
random_forest,strict_part_identity_grouped_cv,trusted_recommended_features_without_listing_dates,random_search_018,raw,66,38.684833060328586,2.3215891644323206,77.22958926326552,6.210232687168753,0.9834522503530299,0.0026335354980524315,17.14674667975623,1.2235891578483231,4
random_forest,strict_part_identity_grouped_cv,trusted_manual_all_features_set_without_oem_number,random_search_057,raw,62,38.81204385922211,2.887973014027971,76.03154013270013,8.351915035781298,0.9839034521123463,0.0032372953617140774,16.954524861411716,1.439569645052893,4
