product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date
65600136,Kattokaiteet / Kattoteline,200,A2,2019-2027,6347002060ALKUPER,2ZRFXE,72000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53999051,Kattokaiteet / Kattoteline,120,B2,2002-2007,FI10331575O,E3ZY52L,204000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53823571,Kattokaiteet / Kattoteline,122,A2,2002-2007,FI01853355O,,282000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53869185,Kattokaiteet / Kattoteline,120,A2,2002-2007,FI05028803O,3ZZFE,63000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53706171,Kattokaiteet / Kattoteline,100,A2,2002-2007,FI02154548O,,94000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53657499,Kattokaiteet / Kattoteline,72,A2,2002-2007,FI07265116O,3ZZFE,299000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53657516,Kattokaiteet / Kattoteline,72,A3,2002-2007,FI07265116O,1CDFTV,350000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53657645,Kattokaiteet / Kattoteline,72,A3,2002-2007,FI07265116O,1CDFTV,350000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
53714171,Kattokaiteet / Kattoteline,80,B2,2002-2007,FI02154548O,,160000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
55161334,Kattokaiteet / Kattoteline,76,A2,2002-2007,FI06376738O,3ZZFE,230000,Toyota,Corolla,Kori,Kattokaiteet / Kattoteline,2026-01-31
