part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
Käynnistinmoottori Diesel,50.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2008-2012,281000N030,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2008-2012,281000N030,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,34.2,A2,2002-2007,2810033080,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,38.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel AE82,25.0,A3,1983-1987,0280008371,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel AE82,30.0,A2,1983-1987,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,34.2,A2,2002-2007,2810033040,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,28.5,A2,2002-2007,,1NDE52C,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Virranjaoitin,71.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,68.0,A2,1988-1992,029200113,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,61.0,B2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,60.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,71.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,61.0,B2,1988-1992,0290201068,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin AE82,60.0,B2,1983-1987,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,71.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,56.7,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,60.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,40.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,40.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,50.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,50.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,51.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,40.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,55.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,50.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,50.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,60.0,B2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Laturi,125.0,A2,2013-2018,,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A2,2013-2018,,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,110.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Laturi
Laturi,110.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A2,2008-2012,270600T091,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A2,2008-2012,2706026051,1ADFTV,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A2,2008-2012,270600T061,1ZRFE,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A2,2008-2012,270600T091,1ZRFAE,,Toyota,Corolla,Moottori,Laturi
Laturi,120.0,A1,2008-2012,1042105350,,,Toyota,Corolla,Moottori,Laturi
Laturi,100.0,A2,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Laturi
