quality_grade,rows,mean_shap,mean_abs_shap
B2,20,3.2332788295146466,5.998887140274958
A3,23,-1.5695454973810639,4.4333887782196
A1,121,-1.0421235441959398,2.2790056449062592
A2,1034,0.08988481304444594,0.2475120072408371
