feature_group,mean_abs_shap,mean_shap,feature_count,importance_share
part_taxonomy,330.3898893019845,-99.15596052760749,3,0.8127202121209871
vehicle_age_usage,37.56833449663558,-7.259626624439559,6,0.09241367780849483
traficom_brand_context,17.251564707494325,-6.372697387490663,25,0.04243681717414319
traficom_model_context,15.466602706706784,-5.62916551851265,25,0.03804602089713606
vehicle_identity,3.6093646256101115,-1.4438957164176687,2,0.008878611843556247
listing_history,1.6015165493264372,-0.35205008294193474,3,0.003939542073862232
part_condition,0.6362573270420052,-0.012055026028663735,2,0.0015651180818202018
