example_source,product_id,part_name,brand,model,quality_grade,mileage,year_mid,price,predicted_price,base_value,net_shap_effect,reconstruction_error
accurate_low_error,54161048,Fuse box / Electricity central -,toyota,corolla,A2,172000.0,2010.0,94.7,94.81237500000005,370.8448003472224,-276.03242600064743,6.534250616141435e-07
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.358678571428655,370.8448003472224,-323.4861236052333,1.8294395118800821e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.2,47.27317857142885,370.8448003472224,-323.5716240143405,2.238546933597263e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.2,47.23967857142887,370.8448003472224,-323.60512416107895,2.385285398531778e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.6,47.48592857142862,370.8448003472224,-323.35887355993077,1.7841369768234472e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.443678571428585,370.8448003472224,-323.401123779805,2.0040111721186804e-06
accurate_low_error,54338198,Strut rear -(Right),toyota,corolla,A2,,1995.0,47.4,47.47792857142859,370.8448003472224,-323.3668738990839,2.1232900593304294e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.8,236.51259375000137,370.8448003472224,-134.3322089038943,2.3066732524057443e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.0,236.09921875000018,370.8448003472224,-134.74559398547348,1.2388251235506686e-05
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,235.9,235.9739687499992,370.8448003472224,-134.87083906788976,7.470666531617098e-06
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,238.0,237.67603124999977,370.8448003472224,-133.16875783149183,1.126573081933202e-05
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,237.2,237.37161458333196,370.8448003472224,-133.47318514896,6.149304567770741e-07
accurate_low_error,59918008,Gear lever -,skoda,octavia,A2,185000.0,2016.5,236.5,236.7571145833331,370.8448003472224,-134.08768617081876,4.069294448072469e-07
expensive_high_error,54187634,Gear Box 6 Speed -,toyota,corolla,A2,330000.0,2010.0,592.0,855.9147499999984,370.8448003472224,485.0699612249201,1.157214410341112e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4617.6,4589.8045000000175,370.8448003472224,4218.959715205557,1.5552761396975257e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4601.2,4581.050249999992,370.8448003472224,4210.205550324051,0.00010067128096125089
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4599.7,4580.38749999998,370.8448003472224,4209.542915349694,0.00021569693672063295
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4641.0,4616.188499999994,370.8448003472224,4245.343796730167,9.707739536679583e-05
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4626.2,4607.812999999981,370.8448003472224,4236.9683668218595,0.00016716910067771096
expensive_high_error,64483026,Automatic gear -,skoda,octavia,A2,103000.0,2023.5,4612.1,4588.359250000015,370.8448003472224,4217.514495671758,4.601896489475621e-05
expensive_high_error,62146906,Hybrid Inverter -,toyota,corolla,A2,83000.0,2023.0,473.6,672.3972500000004,370.8448003472224,301.55244249071444,7.162063639043481e-06
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4369.0,4371.046,370.8448003472224,4000.201216643854,1.6991076336125843e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4353.5,4360.17925,370.8448003472224,3989.3345025477756,5.289499767968664e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4352.0,4358.219000000001,370.8448003472224,3987.3742866140524,8.696127406437881e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4391.1,4383.918000000021,370.8448003472224,4013.073213471398,1.381859965476906e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4377.1,4382.499500000025,370.8448003472224,4011.6547750296013,7.537679812230635e-05
largest_underprediction,63425718,Automatic gear -(Front),skoda,octavia,A2,126000.0,2016.5,4363.8,4372.286000000029,370.8448003472224,4001.4412779671725,7.831436596461572e-05
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,592.0,591.8654999999998,370.8448003472224,221.02070917581037,9.523032986180624e-06
largest_underprediction,65107261,Main cylinder -,toyota,corolla,A2,115000.0,2023.0,589.9,590.0824999999967,370.8448003472224,219.23771690949812,1.7256723822356435e-05
