model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,best_iteration_mean,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_065,raw,65,1942.25,40.35827867398239,4.466572413020048,87.11916851456989,15.470307069774806,0.97893395481482,0.005533167211267798,16.780151748657225,0.9885124931110999,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_015,raw,65,1395.5,40.54506183632461,5.189672308621511,89.71488473395989,22.195638718399742,0.9770979471002086,0.009098930721442404,17.19645729064942,0.3440417527156121,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_053,raw,65,579.5,40.75332718268977,7.768411742031461,104.88888036019257,40.69735842785303,0.9671759649250178,0.021139252026986174,14.70201950073242,1.2052569906752997,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_054,raw,65,1447.0,40.89020150317255,9.946324558581033,111.74927707133943,47.089678108419896,0.9620825705064135,0.02523261595025026,15.346831130981446,2.357386082864374,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_061,raw,39,2049.25,40.93141991974466,5.02954774976261,94.76386362285618,25.30441856928403,0.9743264402732326,0.011071446849702928,17.936743545532227,0.6507767300760566,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_061,raw,65,2067.75,41.06971614054585,5.128987432506412,93.70416994357912,24.386210790741764,0.9751086337961519,0.01059001824528117,18.680822372436527,1.0177676302309067,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_053,raw,39,413.25,41.188854126423394,6.318918876436376,100.1167047971248,31.932361161298893,0.9709371160501888,0.014597019883647316,16.005630111694334,0.8884538258374179,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_054,raw,39,1255.0,41.22202645968169,9.950279203149677,112.66647596169562,47.30583178737128,0.9614600621008009,0.025408091550307994,15.557822418212888,1.898631396207794,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_065,raw,39,1552.5,41.823700715009686,4.823801165132993,90.15382800774263,15.208349130278279,0.9773718947356645,0.005975015828635535,17.09321823120117,1.1288754862281603,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_017,raw,39,995.0,42.207274147116884,7.8785566166011805,114.0888572402498,40.68790936457041,0.9612528035177559,0.02066375867197081,14.955714035034182,0.88702607587842,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_071,raw,39,1741.75,42.41128202825621,7.6251877964757435,107.07588839886914,38.16040859991601,0.9661354999418941,0.019498071700898647,16.33786087036133,0.6705581925587993,4
xgboost,strict_part_identity_grouped_cv,trusted_registry_lifecycle_stack_without_oem_number,random_search_023,raw,39,661.0,42.42226545919394,8.955041209046405,114.86552492522574,46.0797229564983,0.9602999983801965,0.02624171182454018,15.711265563964846,1.081644416041416,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_071,raw,65,1553.0,42.65972176472582,7.2103631166409325,104.7674847378801,35.91456306933704,0.9678717461570701,0.018094682410916954,15.956844329833988,0.34665933407805455,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_017,raw,65,759.25,42.823751607987624,9.136927441393228,114.07140213827333,46.05074092014099,0.9607864171841641,0.025352700015155816,14.216480255126953,0.5701554979798573,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_023,raw,65,742.0,43.00222080072685,7.2271903024058615,108.5827513831933,38.57375010916787,0.965091315762754,0.020039039216750522,17.112130355834957,0.9718529412675015,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,raw_sqerror_reference,raw,65,1366.25,43.10434149692185,7.958839586740638,105.46863144675507,41.40707150453635,0.9666631536933926,0.021930399035590117,18.236782455444335,1.146836265361054,4
