feature,feature_group,mean_abs_shap,mean_shap,median_abs_shap,importance_share
subcategory,part_taxonomy,227.44740342080397,227.44740342080397,155.11146864451192,0.4781115965531089
year_end,vehicle_age_usage,54.53047628894778,52.25400070843572,65.45450584549451,0.11462717396282912
year_start,vehicle_age_usage,46.585686089656065,43.7435337758899,57.27396536598903,0.0979266257510951
part_name,part_taxonomy,39.70825611559172,24.408216774107082,52.93987518458815,0.08346974923534699
year_mid,vehicle_age_usage,26.5269963392873,24.85461052194392,31.38440805484089,0.05576174702715934
category,part_taxonomy,12.833004544955724,12.309179691499422,5.507985892064754,0.026975943445749082
mileage,vehicle_age_usage,6.721091684400835,-2.030496563967363,4.353059113699365,0.01412824163951209
brand_firstreg_recent_share,traficom_brand_context,3.8634285614556685,-3.1147023584208955,0.9145680287571889,0.008121218224105243
model_firstreg_weighted_year,traficom_model_context,3.624433991416107,-2.909532520465562,0.8537042340433787,0.00761883361240786
brand_firstreg_weighted_year,traficom_brand_context,3.312931955899256,-2.5128792205306225,0.6306696683060883,0.006964032839611338
model_firstreg_recent_share,traficom_model_context,3.175745399390741,-2.5120340796712597,0.7023400348001951,0.006675656350931186
model_hybrid_share,traficom_model_context,3.1416666689473898,-2.6021437568147583,0.7471092889001646,0.006604020289249581
brand_hybrid_share,traficom_brand_context,2.932292662054369,-2.1581217320721215,0.6385458654014408,0.006163900335331533
model_median_mileage,traficom_model_context,2.8494545822818003,-2.200043225032459,0.5918570823583398,0.005989768443827012
brand_turbo_share,traficom_brand_context,2.437030387218688,0.7872409478989337,0.8435268299113385,0.005122821679902251
year_span,vehicle_age_usage,2.434079212921592,2.069238734843638,2.1753923551884355,0.00511661808894597
model_mean_mileage,traficom_model_context,2.2976118684998275,-1.582719552292527,0.46512124665084775,0.004829753438316659
model_median_mass_kg,traficom_model_context,1.8395370273376446,1.1625907098287553,0.4596155089476869,0.0038668455732237014
model_share_within_brand,traficom_model_context,1.5924727583332723,1.2532884531544353,0.23781608694653839,0.0033474978456685812
brand_median_power_kw,traficom_brand_context,1.5351082214593286,0.9563913879165218,0.2612838545502739,0.0032269132626052675
quality_grade,part_condition,1.4939425283457497,0.7947618952884289,0.3506197950182364,0.003140379870877181
brand_automatic_share,traficom_brand_context,1.4816026309067964,0.5905413595124883,0.5080190517876696,0.0031144404757594266
brand,vehicle_identity,1.4498591171810535,-1.4258063399399905,0.8136128951285202,0.0030477132157452013
model_turbo_share,traficom_model_context,1.3677244949393308,0.7480139126080733,0.3222061365070859,0.002875060045026767
brand_diesel_share,traficom_brand_context,1.333596162350813,0.5609979263218015,0.39617874168345546,0.0028033197158949235
model_automatic_share,traficom_model_context,1.3248642831393982,0.45382084892267394,0.45659378205527856,0.0027849646472157944
model_diesel_share,traficom_model_context,1.2863148934174333,0.39144033096254177,0.6953335982242028,0.002703930922543997
model_firstreg_peak_year,traficom_model_context,1.2257624785793177,-1.035305472361484,0.7012250273474934,0.002576645179563519
model,vehicle_identity,1.1541972007109054,-1.1084682740759655,0.792690985920111,0.002426209567880014
brand_firstreg_peak_year,traficom_brand_context,0.8612031967773814,-0.6922670140113097,0.3575866231132778,0.0018103140733863982
brand_median_engine_cc,traficom_brand_context,0.8371500242682296,-0.6955604347938223,0.3318333461693862,0.0017597524906311913
model_total_registered,traficom_model_context,0.7533250271917922,-0.6168486715310253,0.2997741974240871,0.0015835460245185542
brand_firstreg_total_2014_2026,traficom_brand_context,0.7400821768689673,-0.5609736441320062,0.37116517926567577,0.0015557085543362918
model_share_of_market,traficom_model_context,0.7064224343801035,-0.5513186089273151,0.4700754094360545,0.0014849532369359737
model_petrol_share,traficom_model_context,0.6901886091735795,-0.45759726197448597,0.5273276851749588,0.0014508285119625454
model_share_over_200k_km,traficom_model_context,0.6850851789786885,-0.4790689347212867,0.38583398272009,0.0014401007167814223
brand_share_over_10y,traficom_brand_context,0.6656865375890028,-0.4155130450689702,0.34704354672084603,0.0013993233094938809
model_median_vehicle_age,traficom_model_context,0.53058696352506,-0.3434686363073223,0.1373174778802582,0.0011153338153168347
model_share_over_10y,traficom_model_context,0.5086994806890183,-0.3122742010786454,0.3516545260212274,0.0010693246755953852
brand_median_mass_kg,traficom_brand_context,0.5063808458548619,0.28087013070024647,0.24922389149763863,0.0010644507302976622
model_firstreg_old_share,traficom_model_context,0.5063005375335324,0.39596633943596665,0.37311982765896984,0.0010642819161492047
model_mean_vehicle_age,traficom_model_context,0.4919063920541317,-0.38904588382343175,0.22202808983420036,0.0010340243367147125
brand_median_vehicle_age,traficom_brand_context,0.47862427532245044,-0.3345439176398158,0.28809330565444935,0.0010061043255794784
brand_firstreg_old_share,traficom_brand_context,0.47818746380884136,0.3268211234200289,0.3395558698443392,0.001005186114832627
brand_median_mileage,traficom_brand_context,0.4710659247604885,-0.280657033243117,0.3768389772250109,0.0009902161026315035
brand_total_registered,traficom_brand_context,0.41843655995079265,-0.35614896495794296,0.2649834403570916,0.000879585208383897
brand_petrol_share,traficom_brand_context,0.4177406375230089,-0.1653784384991175,0.18802258478392495,0.0008781223269527591
brand_ev_share,traficom_brand_context,0.4149888798754483,0.213638462197047,0.22995673782422316,0.0008723379248342249
brand_mean_vehicle_age,traficom_brand_context,0.3925012449484762,-0.21352332254277986,0.2048236363327023,0.000825067220152904
brand_mean_mileage,traficom_brand_context,0.38865321055308816,-0.23445550852121513,0.27534288529430495,0.0008169783616269333
brand_share_over_200k_km,traficom_brand_context,0.38275188424727286,-0.1731746644490073,0.19969080430248462,0.0008045733286416408
model_firstreg_peak_count,traficom_model_context,0.35754115864786407,-0.062065828922333456,0.3209579419989371,0.0007515784819856196
