part_name,brand,model,oem_number,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
diesel tank -,skoda,octavia,fi23857664a,11,236.7273,236.5,0.7521,0.5656,0.0032,235.9,238.0,2.1
drive shaft -(left front),skoda,octavia,fi23403240a,5,260.62,260.5,0.744,0.5536,0.0029,259.6,261.8,2.2
rear axle beam -(rear),toyota,corolla,fi07713839a,4,394.5,394.3,0.7382,0.545,0.0019,393.7,395.7,2.0
other control unit -,skoda,octavia,fi02042722a,17,236.8118,236.8,0.7379,0.5446,0.0031,235.9,238.0,2.1
knee -,skoda,octavia,fi09389104a,30,242.75,242.85,0.732,0.5358,0.003,241.8,243.9,2.1
"fly wheel automat - , e-(front)",vw,golf,fi23403240a,6,242.65,242.55,0.732,0.5358,0.003,241.8,243.9,2.1
diesel injection pump -,skoda,octavia,fi06376738a,6,234.3667,234.3,0.7272,0.5289,0.0031,233.5,235.6,2.1
power steering control unit -,toyota,corolla,fi06018105a,12,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
airbag control unit -,toyota,corolla,fi08409732a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
aktivt kollisionsskydd sensor -,skoda,octavia,fi09515254a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
brake caliper -(left rear),toyota,corolla,fi24637030a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
brake caliper -(right rear),toyota,corolla,fi05351686a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
insp.pump diesel control unit -,toyota,corolla,fi06292622a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
knee -,toyota,corolla,fi15710056a,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
deliverer -,skoda,octavia,fi10331575a,18,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,fi10331575a,12,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
alternator -,skoda,octavia,fi05351686a,12,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,fi05351686a,12,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,fi02154548a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,fi22893129a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,fi27837687a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
alternator -,skoda,octavia,fi09515254a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
diesel injection pump -,skoda,octavia,fi27837687a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"drive shaft - , e-(left rear)",vw,golf,fi10331575a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
drive shaft -(left front),skoda,octavia,fi05351686a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
drive shaft -(left front),skoda,octavia,fi10331575a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
drive shaft -(left front),skoda,octavia,fi22893129a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
gear lever -,skoda,octavia,fi27837687a,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
