part_name,brand,model,year_start,year_end,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"engine diesel - , e-",vw,golf,2013,2020,28,3884.2071,3970.1,243.6263,59353.7564,0.0627,3488.7,4117.4,628.7
hybrid inverter -,toyota,corolla,2019,2027,40,1013.5825,1085.45,209.1815,43756.8824,0.2064,355.2,1190.0,834.8
engine diesel -,skoda,octavia,2013,2020,30,3888.4967,3910.85,209.1185,43730.5597,0.0538,3529.3,4165.0,635.7
"engine gasoline - , e-",vw,golf,2013,2020,30,4096.08,4100.45,186.2434,34686.6136,0.0455,3753.4,4343.5,590.1
gear box 6 speed -,toyota,corolla,2008,2012,29,1287.9241,1356.6,185.871,34548.0405,0.1443,592.0,1428.0,836.0
"automatic gear - , e-",vw,golf,2013,2020,24,3522.15,3494.6,174.5349,30462.4367,0.0496,3305.2,3808.0,502.8
"brake servo - , e-",vw,golf,2013,2020,29,268.8931,188.8,165.0083,27227.7544,0.6137,176.9,595.0,418.1
automatic gear-,toyota,corolla,2019,2027,3,2920.8333,2975.0,144.4249,20858.5489,0.0494,2723.2,3064.3,341.1
kamera utvändig -,toyota,corolla,2019,2027,38,611.2237,653.45,143.9853,20731.756,0.2356,296.0,714.0,418.0
automatic gear -,toyota,corolla,2019,2027,36,2911.05,2960.0,127.4911,16253.9708,0.0438,2604.8,3054.5,449.7
"gear box 5 speed - , e-",vw,golf,2013,2020,21,1983.1,2005.0,117.0206,13693.8133,0.059,1804.1,2142.0,337.9
automatic gear -,skoda,octavia,2020,2027,18,4460.4444,4391.9,111.0981,12342.7769,0.0249,4363.8,4641.0,277.2
engine diesel -,toyota,corolla,2002,2007,25,893.816,935.4,106.9074,11429.1893,0.1196,522.2,952.0,429.8
hybrid batteri -,toyota,corolla,2019,2027,40,1287.9025,1300.1,94.0762,8850.3242,0.073,1124.8,1462.2,337.4
"gear box 6 speed - , e-",vw,golf,2013,2020,30,2199.2533,2138.6,93.8716,8811.8805,0.0427,2122.9,2380.0,257.1
"gear box 5 speed- , e-",vw,golf,2013,2020,3,1929.9667,1963.5,92.734,8599.6022,0.048,1803.4,2023.0,219.6
gear box 5 speed -,toyota,corolla,2002,2007,26,673.9192,652.2,91.9462,8454.0954,0.1364,532.8,833.0,300.2
gear box 6 speed-,toyota,corolla,2008,2012,5,1349.5,1368.5,89.256,7966.628,0.0661,1179.4,1428.0,248.6
gear box 5 speed -,toyota,corolla,2008,2012,7,733.6571,769.6,88.3144,7799.4396,0.1204,517.4,773.5,256.1
engine gasoline -,toyota,corolla,2019,2027,39,3611.5846,3656.1,69.9222,4889.1085,0.0194,3433.6,3689.0,255.4
