strategy,group_count,singleton_groups,singleton_group_pct,non_singleton_groups,average_group_size,median_group_size,average_within_group_variance,median_within_group_variance,average_coefficient_of_variation,median_coefficient_of_variation,maximum_within_group_variance,maximum_coefficient_of_variation
product_id,2619,834,31.844215349369986,1785,4.322642229858725,6.0,4.375780452847795,0.09555555555555433,0.003071031069017585,0.0030512995620941195,205.16666666666762,0.11726584558457066
"canonical(part_name, brand, model)",593,96,16.188870151770658,497,19.09106239460371,18.0,1443.5537147620369,21.511655555555567,0.07240321930593784,0.04728730342340457,59353.75637755102,0.7156626506024096
"canonical(part_name, brand, model, oem_number)",1624,405,24.938423645320196,1219,6.971059113300493,6.0,418.3671121763489,0.1966666666666718,0.023004453372133665,0.0030755710760802407,106134.03743055556,0.7156626506024096
"canonical(part_name, brand, model, year_start, year_end)",1032,189,18.313953488372093,843,10.969961240310077,6.0,643.3783084011416,0.7533333333333366,0.04469181602488797,0.0032236947815618847,59353.75637755102,0.6136577861096255
