part_name,brand,model,year_start,year_end,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"turbo aggregate - , e-",vw,golf,2009,2013,6,378.7667,378.65,1.187,1.4089,0.0031,377.4,380.8,3.4
sensor abs -,toyota,corolla,1998,2001,25,47.136,47.4,1.1767,1.3847,0.025,41.4,47.6,6.2
"dipstick - , e-",vw,golf,1998,2006,12,17.7583,17.8,1.1765,1.3841,0.0662,16.5,19.0,2.5
avgas temperaturgivare -,skoda,octavia,2013,2020,18,59.9722,59.3,1.1318,1.2809,0.0189,59.0,61.9,2.9
insp.pump diesel control unit -,skoda,octavia,1996,2011,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
insp.pump diesel control unit -,skoda,octavia,2013,2020,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
turbo aggregate -,skoda,octavia,2005,2013,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
insp.pump diesel control unit -,skoda,octavia,2005,2013,17,355.1706,355.2,1.1092,1.2303,0.0031,353.8,357.0,3.2
"cylinder head fuel - , e-",vw,golf,1992,1999,6,343.2667,343.2,1.0765,1.1589,0.0031,342.0,345.1,3.1
strut rear -(left),toyota,corolla,1993,1997,11,54.4545,55.2,1.0474,1.097,0.0192,53.1,55.7,2.6
"rear axle beam - , e-",vw,golf,2004,2009,5,355.36,355.2,1.0442,1.0904,0.0029,353.9,357.0,3.1
rear axle -(rear),toyota,corolla,2008,2012,6,331.5333,331.7,1.0435,1.0889,0.0031,330.2,333.2,3.0
airbag krocksensor -,toyota,corolla,2019,2027,24,56.1875,56.2,1.0329,1.0669,0.0184,54.9,59.2,4.3
passenger airbag -,toyota,corolla,2002,2007,5,295.94,296.0,0.981,0.9624,0.0033,294.9,297.5,2.6
"diesel injection pump - , e-",vw,golf,1998,2006,5,331.64,331.5,0.9749,0.9504,0.0029,330.3,333.2,2.9
"diesel injection pump - , e-",vw,golf,2013,2020,5,331.64,331.5,0.9749,0.9504,0.0029,330.3,333.2,2.9
drive shaft -(left front),skoda,octavia,2020,2027,6,307.7333,307.65,0.969,0.9389,0.0031,306.6,309.4,2.8
knee -,toyota,corolla,2013,2018,12,296.0333,296.2,0.9195,0.8456,0.0031,294.9,297.5,2.6
"cylinder head diesel - , e-",vw,golf,2004,2009,12,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
"cylinder head fuel - , e-",vw,golf,2004,2009,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
"drive shaft - , e-(left front)",vw,golf,2020,2027,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
kamera utvändig -,skoda,octavia,2020,2027,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
rear axle beam -(rear),skoda,octavia,2013,2020,6,295.9167,295.85,0.91,0.8281,0.0031,294.9,297.5,2.6
signal horn-,skoda,octavia,2013,2020,2,34.8,34.8,0.9,0.81,0.0259,33.9,35.7,1.8
"drive shaft - , e-(right rear)",vw,golf,2020,2027,3,355.9,355.9,0.8981,0.8067,0.0025,354.8,357.0,2.2
wheel bearing spindle shaft-(right rear),skoda,octavia,2013,2020,3,213.5667,214.2,0.8957,0.8022,0.0042,212.3,214.2,1.9
airbag control unit -,skoda,octavia,2013,2020,28,295.8964,295.85,0.872,0.7603,0.0029,294.9,297.5,2.6
diesel tank -(rear),skoda,octavia,2013,2020,6,284.1,284.0,0.8679,0.7533,0.0031,283.1,285.6,2.5
steering wheel airbag -,toyota,corolla,2013,2018,7,296.0286,296.0,0.8514,0.7249,0.0029,294.9,297.5,2.6
"other control unit - , e-",vw,golf,1998,2006,5,260.32,260.2,0.828,0.6856,0.0032,259.5,261.8,2.3
"diesel injection pump - , e-",vw,golf,1984,1991,5,266.52,266.4,0.8035,0.6456,0.003,265.4,267.8,2.4
"inter axle compl.- , e-",vw,golf,2009,2013,2,425.4,425.4,0.8,0.64,0.0019,424.6,426.2,1.6
gear lever -,skoda,octavia,2020,2027,6,260.4333,260.35,0.7972,0.6356,0.0031,259.5,261.8,2.3
gear lever -(interior front),skoda,octavia,2013,2020,6,260.4333,260.35,0.7972,0.6356,0.0031,259.5,261.8,2.3
"other control unit - , e-",vw,golf,2004,2009,6,260.4333,260.35,0.7972,0.6356,0.0031,259.5,261.8,2.3
trailing link rear-(left),skoda,octavia,2013,2020,3,83.6,83.7,0.7789,0.6067,0.0093,82.6,84.5,1.9
signal horn -,skoda,octavia,2013,2020,22,35.1091,35.45,0.771,0.5945,0.022,33.6,35.7,2.1
other control unit -,skoda,octavia,2020,2027,17,236.8118,236.8,0.7379,0.5446,0.0031,235.9,238.0,2.1
knee -,skoda,octavia,2013,2020,30,242.75,242.85,0.732,0.5358,0.003,241.8,243.9,2.1
"fly wheel automat - , e-(front)",vw,golf,2013,2020,6,242.65,242.55,0.732,0.5358,0.003,241.8,243.9,2.1
aktivt kollisionsskydd sensor -,skoda,octavia,2013,2020,6,236.8333,236.95,0.7226,0.5222,0.0031,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,2013,2020,24,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"airbag control unit - , e-",vw,golf,2004,2009,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
fuel tank injection -,skoda,octavia,2013,2020,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
inter axle compl. -,skoda,octavia,1996,2011,6,236.7333,236.65,0.7203,0.5189,0.003,235.9,238.0,2.1
"deliverer - , e-",vw,golf,2013,2020,17,236.7824,236.8,0.7114,0.5062,0.003,235.9,238.0,2.1
diesel tank -,skoda,octavia,2005,2013,6,234.4,234.35,0.7095,0.5033,0.003,233.6,235.6,2.0
aktivt kollisionsskydd sensor -(right rear),skoda,octavia,2013,2020,6,230.9167,231.05,0.6962,0.4847,0.003,230.0,232.0,2.0
aktivt kollisionsskydd sensor -(right),skoda,octavia,2013,2020,6,230.9167,231.05,0.6962,0.4847,0.003,230.0,232.0,2.0
"other control unit - , e-",vw,golf,2020,2027,5,307.4,307.5,0.6782,0.46,0.0022,306.6,308.4,1.8
insp.pump diesel control unit -,toyota,corolla,1998,2001,6,213.15,213.25,0.6551,0.4292,0.0031,212.3,214.2,1.9
"cylinder head diesel - , e-",vw,golf,1984,1991,6,204.7667,204.7,0.6498,0.4222,0.0032,204.0,205.9,1.9
kamera utvändig -(rear),skoda,octavia,2013,2020,6,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,2009,2013,6,213.0667,213.0,0.6498,0.4222,0.003,212.3,214.2,1.9
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,2004,2009,5,213.2,213.1,0.6325,0.4,0.003,212.3,214.2,1.9
contact roll airbag -,toyota,corolla,2002,2007,6,201.3167,201.4,0.6229,0.3881,0.0031,200.5,202.3,1.8
"tank transmitters - , e-",vw,golf,1998,2006,12,42.025,42.05,0.618,0.3819,0.0147,41.3,42.8,1.5
trailing link rear -(right),skoda,octavia,2013,2020,18,83.2611,83.0,0.6111,0.3735,0.0073,82.6,84.5,1.9
oil filter holder -,skoda,octavia,2005,2013,12,23.0833,23.1,0.6039,0.3647,0.0262,22.4,23.8,1.4
starter gasoline -,toyota,corolla,1998,2001,2,83.5,83.5,0.6,0.36,0.0072,82.9,84.1,1.2
brake caliper -(left front),skoda,octavia,2020,2027,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
brake caliper -(right front),skoda,octavia,2020,2027,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
gear lever -,toyota,corolla,2013,2018,6,189.4667,189.55,0.5878,0.3456,0.0031,188.7,190.4,1.7
"cylinder head diesel - , e-",vw,golf,1998,2006,6,189.3833,189.3,0.5843,0.3414,0.0031,188.7,190.4,1.7
"throttle housing - , e-",vw,golf,2009,2013,6,189.3833,189.3,0.5843,0.3414,0.0031,188.7,190.4,1.7
control unit xenon -,skoda,octavia,2005,2013,5,165.76,165.8,0.5607,0.3144,0.0034,165.1,166.6,1.5
"brake caliper - , e-(right rear)",vw,golf,2020,2027,6,183.4667,183.4,0.5558,0.3089,0.003,182.8,184.4,1.6
shock absorbers rear -(rear),toyota,corolla,1998,2001,16,60.1,60.3,0.5477,0.3,0.0091,59.2,60.7,1.5
trailing link rear -(left),skoda,octavia,2013,2020,15,83.1933,83.0,0.5471,0.2993,0.0066,82.6,84.2,1.6
contact roll airbag -,skoda,octavia,2013,2020,18,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
control unit xenon -(left front),skoda,octavia,2013,2020,6,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
contact roll airbag -,skoda,octavia,2020,2027,12,177.6167,177.7,0.5459,0.2981,0.0031,176.9,178.5,1.6
"komfort styrdon - , e-",vw,golf,2013,2020,18,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"control unit xenon - , e-",vw,golf,2020,2027,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"hub rear - , e-(rear)",vw,golf,2004,2009,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"throttle housing - , e-",vw,golf,2013,2020,12,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"brake caliper - , e-(left front rear)",vw,golf,2013,2020,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"control unit xenon - , e-",vw,golf,2013,2020,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"curtain airbags - , e-(right)",vw,golf,2004,2009,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"diesel tank - , e-",vw,golf,2004,2009,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"fuel pump electric - , e-",vw,golf,2009,2013,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"hub rear - , e-(left rear)",vw,golf,2013,2020,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"hub rear - , e-(right rear)",vw,golf,2013,2020,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"side airbags - , e-(right)",vw,golf,2009,2013,6,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"contact roll airbag - , e-",vw,golf,2013,2020,30,177.55,177.5,0.5439,0.2958,0.0031,176.9,178.5,1.6
"gear lever - , e-",vw,golf,2013,2020,17,177.5882,177.6,0.5356,0.2869,0.003,176.9,178.5,1.6
"gear lever - , e-",vw,golf,2009,2013,11,177.6091,177.6,0.5299,0.2808,0.003,176.9,178.5,1.6
"starter gasoline - , e-",vw,golf,2020,2027,5,147.96,147.8,0.5238,0.2744,0.0035,147.4,148.8,1.4
fuel tank injection -,toyota,corolla,2002,2007,12,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
control unit xenon -,skoda,octavia,2013,2020,6,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
control unit xenon -(front),skoda,octavia,2013,2020,6,165.8,165.9,0.5196,0.27,0.0031,165.1,166.6,1.5
side airbags -(left rear),skoda,octavia,2013,2020,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
side airbags -(right rear),skoda,octavia,2013,2020,6,157.5,157.6,0.5196,0.27,0.0033,156.8,158.3,1.5
"brake caliper - , e-(left front)",vw,golf,2020,2027,18,165.7333,165.7,0.5153,0.2656,0.0031,165.1,166.6,1.5
"control unit xenon - , e-",vw,golf,2009,2013,12,165.7333,165.7,0.5153,0.2656,0.0031,165.1,166.6,1.5
control unit xenon -(left),skoda,octavia,2005,2013,6,159.85,159.9,0.5058,0.2558,0.0032,159.2,160.7,1.5
parking control unit -,skoda,octavia,2013,2020,23,94.9565,94.8,0.4853,0.2355,0.0051,94.4,96.0,1.6
brake caliper -(left rear),skoda,octavia,2020,2027,10,177.76,177.8,0.4841,0.2344,0.0027,177.0,178.5,1.5
"starter gasoline - , e-",vw,golf,2013,2020,6,147.9667,147.9,0.4784,0.2289,0.0032,147.4,148.8,1.4
alternator -,toyota,corolla,2013,2018,12,148.0333,148.1,0.4784,0.2289,0.0032,147.4,148.8,1.4
"crankshaft - , e-",vw,golf,2009,2013,6,153.8667,153.8,0.4784,0.2289,0.0031,153.3,154.7,1.4
"diesel tank - , e-",vw,golf,1998,2006,6,153.8667,153.8,0.4784,0.2289,0.0031,153.3,154.7,1.4
curtain airbags -(left),skoda,octavia,2005,2013,6,153.9333,154.0,0.4784,0.2289,0.0031,153.3,154.7,1.4
"deliverer - , e-",vw,golf,1998,2006,10,159.92,159.8,0.4665,0.2176,0.0029,159.3,160.7,1.4
throttle housing -,toyota,corolla,2013,2018,13,153.9462,154.1,0.4618,0.2133,0.003,153.3,154.7,1.4
fuel injection pump -,toyota,corolla,2002,2007,10,118.28,118.4,0.46,0.2116,0.0039,117.2,119.0,1.8
throttle housing -,skoda,octavia,1996,2011,6,144.4,144.35,0.4546,0.2067,0.0031,143.9,145.2,1.3
roof assembled -(left),skoda,octavia,2005,2013,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
roof assembled -(right),skoda,octavia,2005,2013,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
throttle housing -,toyota,corolla,1998,2001,6,142.1,142.2,0.4435,0.1967,0.0031,141.5,142.8,1.3
fuel injection pump -,skoda,octavia,2005,2013,12,142.0333,142.0,0.4384,0.1922,0.0031,141.5,142.8,1.3
