product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
61905395,6,1102.45,1103.0,3.4471,11.8825,0.0031,1098.0,1107.9,9.9
56162775,6,1100.8,1100.45,3.4307,11.77,0.0031,1096.8,1106.7,9.9
58360868,6,1094.8833,1094.55,3.4193,11.6914,0.0031,1090.9,1100.8,9.9
54137927,6,1089.4167,1090.0,3.4115,11.6381,0.0031,1085.0,1094.8,9.8
61156102,6,1085.5833,1086.15,3.3791,11.4181,0.0031,1081.2,1090.9,9.7
55233937,6,1065.3,1064.95,3.3056,10.9267,0.0031,1061.5,1071.0,9.5
59077369,6,1065.3,1064.95,3.3056,10.9267,0.0031,1061.5,1071.0,9.5
59381610,6,1065.3,1064.95,3.3056,10.9267,0.0031,1061.5,1071.0,9.5
63451851,6,1065.3,1064.95,3.3056,10.9267,0.0031,1061.5,1071.0,9.5
54232530,6,1036.1333,1036.65,3.2397,10.4956,0.0031,1032.0,1041.3,9.3
57067071,5,947.1,947.2,3.2087,10.296,0.0034,943.5,952.0,8.5
53407578,6,1006.1167,1005.8,3.1291,9.7914,0.0031,1002.5,1011.5,9.0
66413511,6,1006.1167,1005.8,3.1291,9.7914,0.0031,1002.5,1011.5,9.0
53407905,6,958.75,958.45,2.9815,8.8892,0.0031,955.3,963.9,8.6
53996296,6,947.3167,947.8,2.969,8.8147,0.0031,943.5,952.0,8.5
54010499,6,947.3167,947.8,2.969,8.8147,0.0031,943.5,952.0,8.5
60793089,6,947.3167,947.8,2.969,8.8147,0.0031,943.5,952.0,8.5
53376928,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
53853245,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
58491195,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
59913951,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
60522419,6,946.9333,946.65,2.9528,8.7189,0.0031,943.5,952.0,8.5
