model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
random_forest,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_1,raw,61,92.92552787896949,239.1533514665925,0.8576044830644346,23.51265579936367
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,94.70172473464078,245.8020428579202,0.8495769640441879,23.425464725075933
random_forest,trusted_recommended_features,raw_half_features_leaf_1,raw,67,94.90958863633172,243.66822975020796,0.8521772797130027,22.98549999999996
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,95.35698785655758,245.62458291793283,0.849794085322453,23.520749999999836
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,95.6328015703322,251.27190338361814,0.8428077129039506,23.330244908959305
random_forest,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_1,raw,62,95.80358004377838,248.26172625848253,0.8465514052888987,23.565319071179267
random_forest,trusted_recommended_features_without_oem_number,raw_half_features_leaf_1,raw,66,95.93081450238796,248.13487733171328,0.8467081738500079,23.914250000000315
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_1,raw,65,95.98580575601677,246.4876401485927,0.8487366662941035,23.54510000000011
random_forest,trusted_manual_all_features_set_without_oem_number,raw_half_features_leaf_2,raw,62,108.91279369761583,301.63394084297477,0.7734814410388684,24.979261692466533
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_2,raw,66,109.14245709175042,303.92760517613766,0.7700233890032521,24.07815893444669
random_forest,trusted_recommended_features_without_listing_dates_without_oem_number,raw_half_features_leaf_2,raw,65,109.75913912365793,303.1122123268617,0.7712557202227381,24.752080945163883
random_forest,trusted_extended_traficom_stack_without_oem_number,raw_half_features_leaf_2,raw,61,109.78173147029679,304.91576653830316,0.7685255096836068,25.00719572921389
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_2,raw,62,110.76068724989901,314.98523482127155,0.7529847498142134,23.98171377171235
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_2,raw,63,110.94003511137129,314.72485003823095,0.75339297483771,24.523242264571508
random_forest,trusted_recommended_features,raw_half_features_leaf_2,raw,67,111.28202680123539,309.406638141117,0.7616568758187136,24.186524982762307
