product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
56974726,Passenger airbag -,485.4,A2,2013-2020,FI09389104A,,110000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
57597013,Passenger airbag -,485.4,A2,2013-2020,FI09389104A,,82000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
59309175,Passenger airbag -,485.4,A2,2013-2020,FI09389104A,,191000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
60206044,Passenger airbag -(Interior front),473.6,A2,2013-2020,FI23403240A,,87000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
61845936,Passenger airbag -,473.6,A2,2013-2020,FI27837687A,,253000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
53513268,Passenger airbag -(Interior front),473.6,A2,2013-2020,FI23403240A,,16000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
54055408,Passenger airbag -,473.6,A1,2013-2020,FI10331575A,,2334,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
54242491,Passenger airbag -,485.4,A1,2013-2020,FI09389104A,,50000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
60615629,Passenger airbag -,485.4,A2,2013-2020,FI09389104A,,98000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
59572666,Passenger airbag -,473.6,A2,2013-2020,FI09515254A,,90000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
60973966,Passenger airbag -,473.6,A2,2013-2020,FI27837687A,,148000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
62143640,Passenger airbag -,473.6,A2,2013-2020,FI27837687A,,95000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
62186147,Passenger airbag -,473.6,A2,2013-2020,FI09389104A,,212000,Skoda,Octavia,Airbag,Passenger airbag,2026-02-03,2026-02-03T13:13:31+02:00
64592441,Steering wheel airbag -,473.6,A2,2020-2027,FI27837687A,,103000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
60188260,Steering wheel airbag -(Interior front),414.4,A2,2013-2020,FI23403240A,,87000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
54666191,Steering wheel airbag -,414.4,A2,2020-2027,FI23857664A,,30000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
55173603,Steering wheel airbag -,414.4,A2,2013-2020,FI24637030A,04L,191000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
59259235,Steering wheel airbag -,414.4,A2,2013-2020,FI24637030A,04E,291000,Skoda,Octavia,Airbag,Steering wheel airbag,2026-02-03,2026-02-03T13:13:31+02:00
