model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2
random_forest,trusted_recommended_features,random_search_020,raw,67,48.73306095906246,69.5331668900928,0.9849602582479623
random_forest,trusted_recommended_features_without_listing_dates,random_search_020,raw,66,49.08191527661426,70.878227208983,0.9843727682577612
random_forest,trusted_recommended_features,random_search_022,raw,67,49.211664615261846,71.64131620343339,0.9840344651621049
random_forest,trusted_extended_traficom_stack,random_search_020,raw,62,49.32943906485302,71.72556333517498,0.9839968935079492
random_forest,trusted_manual_all_features_set,random_search_020,raw,63,49.417513448285305,71.04917513615611,0.984297296154577
random_forest,trusted_recommended_features_without_listing_dates,random_search_021,raw,66,49.52300139958165,77.3366936215266,0.9813950905392838
random_forest,trusted_recommended_features_without_listing_dates,random_search_022,raw,66,49.524366378618296,73.14383498855504,0.9833577587465359
random_forest,trusted_extended_traficom_stack,random_search_022,raw,62,50.21675660077931,74.6673731536683,0.9826572443515585
random_forest,trusted_manual_all_features_set,random_search_022,raw,63,50.37957795989185,74.32049535366023,0.9828180064892752
random_forest,trusted_extended_traficom_stack,random_search_021,raw,62,50.573655979456554,80.52509677791508,0.9798293975248242
random_forest,trusted_manual_all_features_set,random_search_021,raw,63,50.65170081341192,79.88158802657946,0.9801504923304695
random_forest,trusted_recommended_features,random_search_021,raw,67,50.670059522786346,79.82586829106422,0.9801781738928396
random_forest,trusted_recommended_features,random_search_013,log,67,53.768687423392045,94.75707626507685,0.9720694386923667
random_forest,trusted_recommended_features_without_listing_dates,random_search_013,log,66,53.977867243375336,94.96044811714543,0.9719494184078223
random_forest,trusted_extended_traficom_stack,random_search_013,log,62,54.46803828755778,96.28116094850122,0.9711637357886903
random_forest,trusted_manual_all_features_set,random_search_013,log,63,54.7261613288414,96.2413670752507,0.9711875674395412
random_forest,trusted_recommended_features_without_listing_dates,random_search_015,raw,66,65.9403190548967,93.81321806022443,0.972623090081387
random_forest,trusted_recommended_features,random_search_015,raw,67,66.0236957452905,93.95910138208532,0.9725378794910153
random_forest,trusted_extended_traficom_stack,random_search_015,raw,62,66.0461756673303,94.20415285309412,0.9723944466869594
random_forest,trusted_manual_all_features_set,random_search_015,raw,63,66.32551896849051,94.59920045747184,0.9721624319903621
random_forest,trusted_recommended_features_without_listing_dates,random_search_019,log,66,72.52539016604628,123.0472882965166,0.9529022181401071
random_forest,trusted_recommended_features,random_search_019,log,67,73.08034340946475,123.72000283631044,0.9523858317736316
random_forest,trusted_extended_traficom_stack,random_search_019,log,62,73.34353463630886,123.52439538387037,0.9525362734683278
