eval_split,baseline,MAE,RMSE,R2,median_AE,target_mean,target_std,prediction_std,n_rows
validation,part_name,45.19467140319716,216.67163411666846,0.8539638157135264,8.0,258.79342806394317,566.9853274343044,511.9327289011928,1689
validation,part_name+brand+model,24.56403197158082,102.8131133820182,0.9671183667761253,5.8500000000000085,258.79342806394317,566.9853274343044,576.9320985691459,1689
validation,oem_number,185.67235050325635,575.3883491818251,-0.02986070342980507,47.2,258.79342806394317,566.9853274343044,83.22104965479258,1689
test,part_name,60.63325387365912,235.52254481895702,0.8632918482941974,11.149999999999991,275.50929678188317,636.9939087108962,558.3280429492762,1678
test,part_name+brand+model,28.04913587604291,92.90351003432782,0.9787287169608908,6.0,275.50929678188317,636.9939087108962,671.1179479041263,1678
test,oem_number,207.94112038140642,646.998336477497,-0.03165804520475857,48.20000000000002,275.50929678188317,636.9939087108962,59.847558570815515,1678
