split,price_bin,count,mean_actual,mean_predicted,MAE,median_AE,RMSE,MAPE_percent
validation,0-25,100,20.094,32.67162593551589,12.819298435515908,6.835791666666697,19.062716476992446,68.85225405758656
validation,25-50,275,42.24727272727273,46.015015117604634,7.293883549062068,4.289750000000097,13.47286997580052,18.604564178450108
validation,50-100,452,71.16814159292035,67.65175266364662,7.325174073781411,3.774750000000118,11.862589187943163,9.859321413508304
validation,100-250,530,177.47150943396224,172.15813706985622,18.705825701931722,4.533250000000166,47.295373602818614,11.233457640028568
validation,250-500,209,369.76459330143535,365.803769936204,20.916848883572534,12.627999999999645,49.077505907508524,5.902778169741659
validation,500-1000,48,696.8729166666666,688.9923923611108,32.148305555556135,28.12900000000087,45.478621903542816,4.683520314930543
validation,1000+,75,2486.8813333333333,2500.082933333333,111.75050000000262,55.317499999991924,165.41659737650969,5.410345295061787
test,0-25,112,19.155357142857145,30.523592671130977,11.386523474702406,2.867125000000007,19.731090518162194,59.15487071466449
test,25-50,287,40.37038327526132,45.56846713124278,6.6408390949062595,1.9235000000001286,14.949720981312156,18.830044873351813
test,50-100,450,69.20311111111111,67.89413474911822,8.97075265652556,3.748874999999952,18.238385236578306,12.268422451419916
test,100-250,480,169.434375,165.20397726878159,13.06337825836485,8.372041666666405,21.214191821318853,8.636794319944045
test,250-500,206,349.7985436893204,349.5260156148866,26.97048074433655,17.94606249999896,46.635440486526846,8.299415318438355
test,500-1000,66,692.719696969697,699.6780435606057,43.93064204545433,40.65024999999861,76.69284158005155,6.674912863532589
test,1000+,77,2835.389610389611,2942.982814123376,207.1705040584425,151.6829999999968,266.62224000764803,8.429018765639597
