variant,feature_count,MAE,RMSE,R2,median_AE,target_mean,target_std,prediction_std,n_rows
full_selected_feature_set,66,18.240877268354186,48.60559518274329,0.9926509891181446,5.51850000000006,258.79342806394317,566.9853274343044,578.8828908127518,1689
remove_listing_dynamics_history,66,18.240877268354186,48.6055951827433,0.9926509891181446,5.51850000000006,258.79342806394317,566.9853274343044,578.8828908127518,1689
remove_registry_aggregate_columns,17,18.37627330988254,48.63407354738588,0.9926423749196155,5.245500000000057,258.79342806394317,566.9853274343044,579.0513172031043,1689
baseline_only_listing_features,17,18.37627330988254,48.634073547385874,0.9926423749196155,5.245500000000057,258.79342806394317,566.9853274343044,579.0513172031043,1689
baseline_plus_registry_only,66,18.39550819735792,49.26932772364545,0.9924489102490223,5.5433333333330665,258.79342806394317,566.9853274343044,579.3600354361096,1689
remove_high_cardinality_id_like_text_proxies,62,18.98915716263015,49.42200837740293,0.9924020376107506,6.311249999999838,258.79342806394317,566.9853274343044,580.5023194208807,1689
categorical_only,8,17.841437080453332,50.30725978431417,0.9921274091029332,4.024640825018366,258.79342806394317,566.9853274343044,577.6464761163245,1689
remove_date_like_columns,55,20.17330918002351,52.447942267060036,0.9914431628430109,5.162708333333221,258.79342806394317,566.9853274343044,580.2227432226915,1689
registry_only,49,259.7370381526953,567.6477611393778,-0.0023380523202534143,190.18080216364248,258.79342806394317,566.9853274343044,8.427388477947874,1689
numeric_only,58,249.6448066366148,587.4269737530565,-0.0734062731081655,74.35575000000046,258.79342806394317,566.9853274343044,367.88081576137057,1689
