feature,dtype,unique_count,missing_fraction,category_price_median_std,mutual_information,unique_ratio,train_coverage,validation_unseen_fraction,test_unseen_fraction,suspicion_flags
part_name,object,442,0.0,580.7621467885822,2.691138404352279,0.05556952476741262,1.0,0.0615748963883955,0.04946364719904649,high_mutual_information
quality_grade,object,10,0.0,1032.2373729549806,0.10285931737319398,0.001257229067136032,1.0,0.0,0.0,
oem_number,object,45,0.0,1151.106340241079,0.9918838403588541,0.005657530802112145,1.0,0.017169923031379514,0.017878426698450536,
brand,object,3,0.0,11.102252023801293,0.1998620938909177,0.00037716872014080966,1.0,0.0,0.0,
model,object,3,0.0,11.102252023801292,0.1930783870529198,0.00037716872014080966,1.0,0.0,0.0,
category,object,7,0.0,68.2879288343833,0.5721511613667642,0.0008800603469952225,1.0,0.0,0.0,
subcategory,object,136,0.0,585.4157585535096,2.1636682698590666,0.017098315313050037,1.0,0.007104795737122558,0.0,high_mutual_information
repair_status,object,1,0.0,0.0,0.0,0.00012572290671360322,1.0,0.0,0.0,
