fold,MAE,RMSE,R2,median_AE,target_mean,target_std,prediction_std,n_rows
1,28.212509305600012,75.87247866010674,0.9809074250017652,7.383249999999954,260.8333333333333,549.1007280476722,511.07999868047534,1989
2,35.086716716643934,127.02203450301926,0.9589760564250719,7.767916666667475,264.94942182001006,627.1340213703113,563.5997638638994,1989
3,32.679492057499175,72.07318696699812,0.987452646233337,8.831874999999883,289.890291750503,643.4245905963026,622.467428508047,1988
4,23.97740092968524,64.1006112395581,0.9883990187309106,8.641583333333358,273.70669014084507,595.1340627678015,598.7481567058553,1988
