model_type,stage,selection_mode,feature_variant,config_name,target_mode,feature_count,screen_validation_MAE,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_mean_median_AE,cv_folds
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,65,90.94523681276397,106.74262925906713,34.11422022861451,322.2974418444727,139.21936587128133,0.6778830686455859,23.70735014099155,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,66,90.67316520682081,106.76531572185083,33.996324727259136,321.8420315848362,138.75013159046804,0.679032370428494,23.73818148475608,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,65,90.62500212275852,106.77905732494929,34.05306523284682,322.22686757945485,139.02632246296514,0.6782040856086298,23.728589634318936,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features,log_ridge_alpha_0_001_minfreq_5,log,67,92.80798348128141,106.78081786477705,35.00832538897205,327.3299594997185,142.3632451178574,0.666059608079359,23.904302131668615,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,66,90.9860626441148,106.79576124034259,33.9995479123573,322.1099254095568,138.90263860635852,0.6783674367428525,23.744058958232362,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_recommended_features_without_listing_dates,log_ridge_alpha_0_001_minfreq_5,log,66,92.67347390269194,106.86400231690288,34.83203920600905,327.9536007844391,142.31215660236242,0.6648752127256201,24.071832095467588,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,62,91.1950216107492,106.90601756533873,34.212859119570545,322.321381110946,139.5458774145567,0.6772242383698562,23.891743728369285,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_manual_all_features_set,log_ridge_alpha_0_001_minfreq_5,log,63,93.66845734978851,106.94378811093533,35.091116626713465,326.40498414236527,141.66136082509263,0.6683675389111244,23.86675663810413,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,61,91.17831182473088,107.00610858054463,34.2498417406198,321.6576936381119,138.91813741234026,0.679146526008884,23.841722293565056,4
ridge,finalist_cv,strict_component_grouped_cv,trusted_extended_traficom_stack,log_ridge_alpha_0_001_minfreq_5,log,62,93.87043391358834,107.05153097934421,34.99152742352786,326.79189788087166,141.55349807005462,0.6677472618767919,23.858522970130064,4
