model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,65,90.62500212275852,244.95479666519952,0.8506121523579382,15.99330506630308
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,66,90.67316520682081,244.88769907025923,0.8506939812717433,16.080484797878647
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,65,90.94523681276397,245.45941777436536,0.8499960230934461,15.86552397709849
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,66,90.9860626441148,245.3143932507223,0.8501732241067217,16.11500354581772
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,61,91.17831182473088,245.0175117078802,0.8505356479194895,16.041989325940804
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_001_minfreq_5,log,62,91.1950216107492,244.94649788385314,0.8506222743567711,15.972532964253006
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,61,91.44831457722161,245.56500461550954,0.8498669438936515,16.063414795664855
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_003_minfreq_5,log,62,91.52535330266217,245.55213517790258,0.8498826796648976,15.963157429799054
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_01_minfreq_5,log,65,92.04696177715049,247.57381477473245,0.8474006123303333,15.889386402028038
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_01_minfreq_5,log,66,92.08907343426311,247.49794681074573,0.8474941248929191,16.04862575254559
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_01_minfreq_5,log,61,92.56054600854435,248.10837968018654,0.8467409113398494,15.79726980676287
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_01_minfreq_5,log,62,92.57633168264876,248.00837575972383,0.8468644333340594,15.828905962885159
