model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
xgboost,trusted_registry_lifecycle_stack,raw_sqerror_reference,raw,40,106.90872410484471,281.80403612935436,0.8022858319205747,27.094975280761716
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_sqerror_reference,raw,65,109.5528666834986,307.0125714677261,0.7653310164819337,27.070263671874997
xgboost,trusted_registry_lifecycle_stack_without_oem_number,raw_sqerror_reference,raw,39,111.26464919447548,320.30520873446835,0.7445703101841556,28.620985412597655
xgboost,trusted_manual_all_features_usable_by_xgboost,raw_sqerror_reference,raw,63,112.3415313655437,320.8694318755634,0.7436696300057841,23.6
xgboost,trusted_recommended_features,raw_sqerror_reference,raw,67,112.8909499448028,321.3705222481164,0.7428684008354705,25.746441650390636
xgboost,trusted_recommended_features_without_date_offsets,raw_sqerror_reference,raw,66,114.72908529894895,325.13758792874535,0.7368049404652266,28.216748046874997
xgboost,trusted_extended_traficom_stack,raw_sqerror_reference,raw,62,119.45964580434614,352.0433381320975,0.6914428357757775,26.904118347167966
xgboost,trusted_registry_lifecycle_stack_without_oem_number,raw_absoluteerror_balanced,raw,39,132.1588460277456,420.91338899110184,0.5589083312955357,25.512719726562494
xgboost,trusted_registry_lifecycle_stack,raw_absoluteerror_balanced,raw,40,132.54117739472068,421.4451645883844,0.5577930901907233,23.555343627929688
xgboost,trusted_recommended_features_without_date_offsets,log_sqerror_balanced,log,66,134.07013551679364,472.59330973451614,0.4439440243622469,18.345915518262302
xgboost,trusted_recommended_features,log_sqerror_balanced,log,67,135.26196964584338,477.17825241798806,0.43310234780921397,16.938594437289396
xgboost,trusted_extended_traficom_stack,log_sqerror_balanced,log,62,135.2957883078952,481.78673295645297,0.42209953101553077,18.087628452298077
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_absoluteerror_balanced,raw,65,135.32361231936113,453.3578078037227,0.48828803371445506,24.48379058837891
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_sqerror_balanced,log,65,137.40527237147205,482.61483283148715,0.42011122146005686,18.202797987925976
xgboost,trusted_registry_lifecycle_stack,log_sqerror_balanced,log,40,137.7162471473972,487.7673816808737,0.4076629709470144,18.509716978564043
xgboost,trusted_manual_all_features_usable_by_xgboost,log_sqerror_balanced,log,63,137.82864836344385,493.3499001105504,0.3940267363296741,17.542471586634157
xgboost,trusted_recommended_features,raw_absoluteerror_balanced,raw,67,137.99017050684026,469.72164764984495,0.45068112124222115,22.113937377929688
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_sqerror_balanced,log,39,138.8617783769338,495.66102619573314,0.3883360047315846,19.11931557026159
xgboost,trusted_extended_traficom_stack,raw_absoluteerror_balanced,raw,62,141.59801235367766,452.17424004324795,0.49095636854757296,26.999591064453128
xgboost,trusted_recommended_features_without_date_offsets,raw_absoluteerror_balanced,raw,66,145.4717343657277,505.09245973947236,0.3648370689592081,23.728119659423825
xgboost,trusted_recommended_features_without_date_offsets,log_absoluteerror_regularized,log,66,147.4199018879129,534.285266147384,0.28929434747682403,20.333254808069363
xgboost,trusted_manual_all_features_usable_by_xgboost,log_absoluteerror_regularized,log,63,149.11649121011587,544.2762045648096,0.2624659607629105,19.468951067902196
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_absoluteerror_balanced,log,39,150.39061335066708,541.9669694014746,0.2687110492465026,19.39723525582255
xgboost,trusted_recommended_features_without_date_offsets,log_absoluteerror_balanced,log,66,150.59713683368335,543.0357329807111,0.26582398904918414,19.003198527354073
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_absoluteerror_regularized,log,65,150.73771836531225,543.0931520493609,0.2656687214344545,21.186331713770358
xgboost,trusted_manual_all_features_usable_by_xgboost,raw_absoluteerror_balanced,raw,63,150.98147044494087,522.314442289469,0.3207847274325706,23.174633789062497
xgboost,trusted_extended_traficom_stack,log_absoluteerror_regularized,log,62,151.2495442202136,544.0452879320187,0.26309164583804223,19.769154201506936
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_absoluteerror_regularized,log,39,151.65354697221088,546.3599468862781,0.25680790432135947,21.596004921972707
xgboost,trusted_recommended_features,log_absoluteerror_regularized,log,67,151.8167418202495,545.4869221721422,0.25918108959626307,20.710485712003504
xgboost,trusted_registry_lifecycle_stack,log_absoluteerror_balanced,log,40,154.32885041746195,544.4540184117828,0.2619839805261077,19.785754163700158
xgboost,trusted_manual_all_features_usable_by_xgboost,log_absoluteerror_balanced,log,63,154.6274672426445,552.6886740025639,0.23949074512509672,16.47207898405989
xgboost,trusted_recommended_features,log_absoluteerror_balanced,log,67,155.00858240955353,559.3569637729429,0.22102867278248306,17.579318787438304
xgboost,trusted_registry_lifecycle_stack,log_absoluteerror_regularized,log,40,157.00555423282518,558.9246753036873,0.22223223409569492,21.9287104859946
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_absoluteerror_balanced,log,65,159.0627529225175,560.2964277654906,0.21840984395458696,20.459576427636804
xgboost,trusted_extended_traficom_stack,log_absoluteerror_balanced,log,62,159.47786464544382,563.3921026494169,0.20974931006692732,18.708691926540325
