model,feature_variant,feature_count,group_columns,group_count,row_count,mean_MAE,std_MAE,min_MAE,max_MAE,mean_RMSE,mean_R2,mean_median_AE
random_forest,trusted_recommended_features_without_listing_dates,66,part_name+brand+model+oem_number,1268,7954,35.66863182191352,2.1188289023624214,33.49687371944503,37.990733796520104,71.91317415008199,0.9857880927795017,14.85585677083339
xgboost,trusted_recommended_features,67,part_name+brand+model+oem_number,1268,7954,39.383793767887184,1.2814264806839792,37.26895076053243,40.65853567607682,85.10730118333223,0.9798403718545304,15.18062133789062
linear_ridge,trusted_recommended_features_without_listing_dates,66,part_name+brand+model+oem_number,1268,7954,53.79925105833266,3.8389993464540764,51.03467736655362,60.40207018668697,154.87462701897778,0.9325525129183229,16.803071683331737
catboost,trusted_recommended_features_without_date_offsets,66,part_name+brand+model+oem_number,1268,7954,99.58909114672953,16.434735232402545,79.15449838380006,121.33903625531978,262.0682768946627,0.7968150966388464,31.183397522246626
