model,role,feature_variant,config_name,feature_count,mae,rmse,r2,median_ae,status
random_forest,strict_tuned_finalist,trusted_recommended_features_without_oem_number,raw_half_features_leaf_1,66,34.479579306058405,70.3158412352766,0.9863514393980539,12.362859895833104,final_strict_tuned
xgboost,strict_tuned_finalist,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_065,65,40.35827867398239,87.11916851456989,0.97893395481482,16.780151748657225,final_strict_tuned
linear_ridge,strict_baseline_comparator,trusted_recommended_features_without_listing_dates,ridge_alpha_0_1,66,53.79925105833266,154.87462701897778,0.9325525129183229,16.803071683331737,pending_clean_rerun
catboost,strict_baseline_comparator,trusted_recommended_features_without_date_offsets,raw_rmse_reference,66,99.58909114672953,262.0682768946627,0.7968150966388464,31.183397522246626,pending_clean_rerun
