connected_components,average_component_size,median_component_size,maximum_component_size,minimum_component_size,singleton_components,singleton_component_pct,product_id_union_links_used,identity_union_links_used,graph
467,24.241970021413277,30.0,87,1,23,4.925053533190578,8702,10728,"product_id + canonical(part_name, brand, model)"
886,12.77765237020316,8.0,71,1,82,9.255079006772009,8702,10289,"product_id + canonical(part_name, brand, model, year_start, year_end)"
