model,fold,train_rows,validation_rows,train_groups,validation_groups,MAE,RMSE,R2,median_AE,target_mean,target_std,prediction_std,n_rows
catboost,1,5965,1989,951,317,87.53452931437357,234.45711905422974,0.8704180997122357,21.817834998548847,292.60251382604326,651.315257520851,517.4486239063265,1989
catboost,2,5965,1989,951,317,62.41851716960136,163.6227178369168,0.9117383082681876,27.420699300347906,259.17777777777775,550.7537697837478,477.77373349829253,1989
catboost,3,5966,1988,951,317,74.2316036053365,159.50614452278128,0.930216810869664,28.618078082680256,276.9516096579477,603.8123772280486,566.4642691804663,1988
catboost,4,5966,1988,951,317,91.21382308142599,270.1091790246289,0.8031306787833828,27.767536563123322,260.63475855130787,608.7659049224657,532.8518198512273,1988
