model_type,description,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
dummy_global_median,Predict the training-set median price for every listing.,238.2680235988201,662.6002509511085,-0.09306645325713014,59.09999999999999
dummy_subcategory_median,Predict the training-set median price of the listing's subcategory.,120.54318584070795,357.3391401781294,0.6820897358546054,23.5
